Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,41.520000,41.660000,41.250000,41.259998,37.398209,11136100
2017-02-02,41.410000,41.490002,41.250000,41.400002,37.525108,9459700
2017-02-03,41.580002,41.790001,41.459999,41.540001,37.652004,11882400
2017-02-06,41.529999,41.669998,41.400002,41.560001,37.670128,15742800
2017-02-07,41.700001,41.980000,41.669998,41.900002,37.978306,13315200
2017-02-08,41.910000,42.150002,41.840000,42.020000,38.087074,14219700
2017-02-09,42.020000,42.020000,40.720001,41.250000,37.389145,27240300
2017-02-10,41.020000,41.200001,40.549999,40.580002,36.781864,28847300
2017-02-13,40.770000,40.830002,40.500000,40.619999,36.818115,23617100
2017-02-14,40.380001,40.599998,40.220001,40.529999,36.736538,32177800
2017-02-15,40.419998,40.630001,40.400002,40.439999,36.654964,26600800
2017-02-16,40.549999,41.279999,40.500000,41.200001,37.343834,22214800
2017-02-17,41.130001,41.360001,41.049999,41.230000,37.371021,15065100
2017-02-21,41.200001,41.500000,41.200001,41.459999,37.579498,17072600
2017-02-22,41.509998,41.680000,41.400002,41.599998,37.706383,11186800
2017-02-23,41.669998,42.000000,41.619999,41.660000,37.760777,12856800
2017-02-24,41.700001,41.910000,41.599998,41.779999,37.869541,13215300
2017-02-27,41.750000,41.750000,41.590000,41.669998,37.769829,12186400
2017-02-28,41.680000,42.070000,41.639999,41.959999,38.032700,15946800
2017-03-01,42.009998,42.349998,41.880001,42.160000,38.213974,14662000
2017-03-02,42.080002,42.560001,42.070000,42.470001,38.494965,15507600
2017-03-03,42.470001,42.490002,42.250000,42.480000,38.504025,11740000
2017-03-06,42.340000,42.430000,42.119999,42.180000,38.232101,16307800
2017-03-07,42.000000,42.240002,41.950001,41.990002,38.059891,11273700
2017-03-08,42.000000,42.029999,41.740002,41.990002,38.059891,14636000
2017-03-09,42.090000,42.110001,41.919998,42.029999,38.096146,14496400
2017-03-10,42.230000,42.400002,42.150002,42.290001,38.331806,16369700
2017-03-13,41.919998,42.119999,41.840000,42.029999,38.432392,12831500
2017-03-14,41.980000,42.099998,41.830002,41.970001,38.377533,9844500
2017-03-15,41.980000,42.279999,41.970001,42.119999,38.514687,22757800
2017-03-16,42.029999,42.389999,41.900002,42.250000,38.633560,16004200
2017-03-17,42.279999,42.349998,42.009998,42.029999,38.432392,37526500
2017-03-20,42.099998,42.340000,42.070000,42.180000,38.569550,11484200
2017-03-21,42.310001,42.630001,42.209999,42.500000,38.862156,17187300
2017-03-22,42.560001,42.700001,42.250000,42.380001,38.752438,11605500
2017-03-23,42.209999,42.389999,42.060001,42.169998,38.560413,11503300
2017-03-24,42.230000,42.250000,41.910000,42.119999,38.514687,13804400
2017-03-27,42.110001,42.340000,42.049999,42.320000,38.697575,12387400
2017-03-28,42.240002,42.560001,42.240002,42.430000,38.798153,14123800
2017-03-29,42.509998,42.529999,42.290001,42.419998,38.789005,9580100
2017-03-30,42.349998,42.619999,42.259998,42.599998,38.953598,11999900
2017-03-31,42.549999,42.650002,42.430000,42.439999,38.807304,11551800
2017-04-03,42.580002,42.630001,42.270000,42.410000,38.779865,11240000
2017-04-04,42.509998,42.689999,42.369999,42.680000,39.026760,10946200
2017-04-05,42.650002,42.860001,42.529999,42.570000,38.926174,10142800
2017-04-06,42.580002,42.759998,42.470001,42.669998,39.017612,14597800
2017-04-07,42.639999,42.740002,42.509998,42.610001,38.962746,11028800
2017-04-10,42.730000,42.799999,42.560001,42.689999,39.035900,9426900
2017-04-11,42.680000,42.750000,42.520000,42.660000,39.008465,8909400
2017-04-12,42.540001,42.990002,42.509998,42.939999,39.264500,13417200
2017-04-13,42.869999,43.080002,42.779999,42.790001,39.127346,9891900
2017-04-17,42.790001,43.070000,42.779999,43.070000,39.383369,11318100
2017-04-18,43.110001,43.590000,43.090000,43.480000,39.758286,13181600
2017-04-19,43.740002,43.790001,43.189999,43.230000,39.529675,13893100
2017-04-20,43.200001,43.299999,43.049999,43.090000,39.401665,10838300
2017-04-21,42.980000,43.099998,42.889999,43.070000,39.383369,13833800
2017-04-24,43.240002,43.430000,43.150002,43.279999,39.575397,16703800
2017-04-25,42.849998,43.430000,42.820000,43.110001,39.419949,18745100
2017-04-26,43.060001,43.430000,42.980000,43.240002,39.538818,13626600
2017-04-27,43.169998,43.279999,42.919998,43.009998,39.328510,10386200
2017-04-28,42.959999,43.200001,42.849998,43.150002,39.456528,10337800
2017-05-01,43.150002,43.500000,43.099998,43.220001,39.520531,13208200
2017-05-02,43.220001,43.439999,43.160000,43.389999,39.675987,11823900
2017-05-03,43.330002,43.490002,43.150002,43.320000,39.611977,10389000
2017-05-04,43.419998,43.810001,43.400002,43.660000,39.922871,10193100
2017-05-05,43.790001,43.840000,43.560001,43.689999,39.950306,8133000
2017-05-08,43.590000,43.910000,43.540001,43.889999,40.133186,14284300
2017-05-09,43.889999,43.889999,43.380001,43.509998,39.785706,8694400
2017-05-10,43.480000,43.619999,43.360001,43.570000,39.840569,7597700
2017-05-11,43.490002,43.680000,43.430000,43.669998,39.932014,6860100
2017-05-12,43.639999,43.680000,43.459999,43.590000,39.858860,7275800
2017-05-15,43.459999,43.759998,43.459999,43.730000,39.986881,8493000
2017-05-16,43.869999,44.110001,43.770000,43.849998,40.096603,10454100
2017-05-17,43.849998,44.169998,43.709999,43.930000,40.169765,14538800
2017-05-18,43.869999,43.959999,43.639999,43.799999,40.050880,13832200
2017-05-19,43.849998,44.000000,43.759998,43.900002,40.142330,11796800
2017-05-22,43.889999,44.220001,43.810001,44.180000,40.398361,12857900
2017-05-23,44.250000,44.599998,44.209999,44.389999,40.590385,11996100
2017-05-24,44.509998,45.090000,44.509998,45.029999,41.175606,12738300
2017-05-25,45.000000,45.480000,44.970001,45.410000,41.523079,16704200
2017-05-26,45.349998,45.560001,45.330002,45.389999,41.504780,11341400
2017-05-30,45.160000,45.459999,45.110001,45.430000,41.541367,13093500
2017-05-31,45.430000,45.700001,45.369999,45.470001,41.577942,14148000
2017-06-01,45.450001,45.790001,45.230000,45.790001,41.870548,11049300
2017-06-02,45.830002,45.889999,45.610001,45.889999,41.961998,9923700
2017-06-05,45.779999,45.990002,45.689999,45.990002,42.053432,10015200
2017-06-06,45.900002,46.060001,45.779999,45.980000,42.044289,9836700
2017-06-07,45.500000,45.700001,45.349998,45.509998,41.614517,12776300
2017-06-08,45.509998,45.509998,45.029999,45.130001,41.267048,12879000
2017-06-09,45.060001,45.349998,44.970001,45.320000,41.440781,9358800
2017-06-12,45.320000,45.480000,45.200001,45.330002,41.449932,11228500
2017-06-13,45.000000,45.110001,44.799999,45.029999,41.514458,10023400
2017-06-14,45.180000,45.470001,45.160000,45.299999,41.763382,11497500
2017-06-15,45.180000,45.340000,45.040001,45.250000,41.717289,9908700
2017-06-16,45.310001,45.349998,45.009998,45.310001,41.772606,27025300
2017-06-19,45.349998,45.380001,45.099998,45.380001,41.837135,7624700
2017-06-20,45.349998,45.869999,45.320000,45.610001,42.049175,14920900
2017-06-21,45.619999,45.680000,45.169998,45.220001,41.689636,9515800
2017-06-22,45.169998,45.279999,45.029999,45.070000,41.551334,7446300
2017-06-23,45.049999,45.380001,45.029999,45.250000,41.717289,9544800
2017-06-26,45.320000,45.509998,45.299999,45.430000,41.883232,7747100
2017-06-27,45.340000,45.400002,45.000000,45.049999,41.532906,11432200
2017-06-28,45.250000,45.500000,45.230000,45.320000,41.781815,9218800
2017-06-29,45.130001,45.240002,44.650002,44.830002,41.330078,9283500
2017-06-30,44.889999,45.119999,44.849998,44.849998,41.348515,9352800
2017-07-03,45.110001,45.270000,44.759998,44.759998,41.265541,6434500
2017-07-05,44.790001,44.990002,44.730000,44.820000,41.320854,6853600
