Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,3.030000,3.240000,2.950000,3.040000,2.876525,4773900
2009-04-08,3.190000,3.200000,3.010000,3.100000,2.933299,3118600
2009-04-09,3.280000,3.500000,3.210000,3.460000,3.273940,7165500
2009-04-13,3.410000,3.730000,3.350000,3.620000,3.425336,8382400
2009-04-14,3.560000,3.600000,3.330000,3.370000,3.188779,5525100
2009-04-15,3.320000,3.780000,3.200000,3.700000,3.501034,8948300
2009-04-16,3.850000,3.920000,3.630000,3.810000,3.605119,5167200
2009-04-17,3.810000,4.140000,3.700000,3.970000,3.756515,5676900
2009-04-20,3.760000,3.910000,3.500000,3.580000,3.387487,4834000
2009-04-21,3.490000,4.180000,3.490000,4.180000,3.955222,6433800
2009-04-22,4.300000,4.810000,4.200000,4.360000,4.125542,10026500
2009-04-23,4.650000,4.840000,4.400000,4.800000,4.541882,9808700
2009-04-24,4.790000,5.060000,4.680000,4.840000,4.579731,7750200
2009-04-27,4.280000,4.310000,3.800000,4.000000,3.784901,16653500
2009-04-28,3.800000,4.260000,3.750000,3.840000,3.633506,10034800
2009-04-29,4.000000,4.070000,3.900000,3.990000,3.775439,8209000
2009-04-30,4.030000,4.100000,3.790000,3.790000,3.586194,6095400
2009-05-01,3.960000,4.070000,3.850000,4.010000,3.794364,3744900
2009-05-04,4.150000,4.590000,4.150000,4.580000,4.333713,7388800
2009-05-05,4.700000,5.050000,4.650000,4.950000,4.683815,6534000
2009-05-06,5.240000,5.350000,4.760000,5.000000,4.731126,6928400
2009-05-07,4.750000,4.880000,3.960000,3.970000,3.756515,13538100
2009-05-08,3.760000,3.800000,3.460000,3.690000,3.491571,32770500
2009-05-11,3.750000,3.900000,3.600000,3.750000,3.548345,11896700
2009-05-12,3.780000,3.790000,3.300000,3.410000,3.226629,10981200
2009-05-13,3.380000,3.380000,2.980000,2.980000,2.819752,11893200
2009-05-14,3.050000,3.310000,2.900000,3.160000,2.990072,9316400
2009-05-15,3.280000,3.290000,3.010000,3.040000,2.876525,5222600
2009-05-18,3.140000,3.160000,3.020000,3.160000,2.990072,6150000
2009-05-19,3.160000,3.250000,3.080000,3.100000,2.933299,8333700
2009-05-20,3.150000,3.220000,3.000000,3.000000,2.838675,7348300
2009-05-21,2.960000,3.000000,2.900000,2.990000,2.829213,5915600
2009-05-22,3.070000,3.090000,2.860000,2.890000,2.734591,4063200
2009-05-26,2.900000,2.960000,2.820000,2.890000,2.734591,6940800
2009-05-27,2.870000,2.900000,2.540000,2.590000,2.450724,12038900
2009-05-28,2.640000,2.710000,2.410000,2.560000,2.422337,13324300
2009-05-29,2.550000,2.700000,2.490000,2.580000,2.441261,12434300
2009-06-01,2.610000,3.020000,2.610000,2.950000,2.791365,15174800
2009-06-02,3.040000,3.200000,3.010000,3.080000,2.914374,10599600
2009-06-03,3.070000,3.070000,2.810000,2.950000,2.791365,7582100
2009-06-04,2.970000,2.990000,2.800000,2.860000,2.706205,4816400
2009-06-05,2.900000,2.950000,2.810000,2.910000,2.753516,7126600
2009-06-08,2.820000,2.820000,2.670000,2.730000,2.583196,6144100
2009-06-09,2.760000,2.800000,2.660000,2.750000,2.602119,5414900
2009-06-10,2.770000,2.810000,2.580000,2.630000,2.488572,6661700
2009-06-11,2.690000,2.730000,2.500000,2.670000,2.526422,7024600
2009-06-12,2.690000,2.810000,2.660000,2.710000,2.564271,5462800
2009-06-15,2.620000,2.650000,2.500000,2.610000,2.469648,5294000
2009-06-16,2.640000,2.740000,2.570000,2.650000,2.507497,6403100
2009-06-17,2.650000,2.800000,2.550000,2.700000,2.554809,7877400
2009-06-18,2.710000,2.730000,2.540000,2.630000,2.488572,5877500
2009-06-19,2.660000,2.710000,2.540000,2.570000,2.431799,6983100
2009-06-22,2.570000,2.570000,2.470000,2.470000,2.337177,3949300
2009-06-23,2.470000,2.500000,2.160000,2.170000,2.053309,13617800
2009-06-24,2.220000,2.310000,2.130000,2.150000,2.034385,9769200
2009-06-25,2.150000,2.380000,2.110000,2.370000,2.242554,7092900
2009-06-26,2.410000,2.470000,2.230000,2.350000,2.223630,8658400
2009-06-29,2.360000,2.360000,2.240000,2.260000,2.138469,4408700
2009-06-30,2.290000,2.460000,2.180000,2.430000,2.299328,6819500
2009-07-01,2.400000,2.480000,2.370000,2.410000,2.280404,3806800
2009-07-02,2.360000,2.460000,2.290000,2.460000,2.327715,3808200
2009-07-06,2.390000,2.550000,2.350000,2.370000,2.242554,4981300
2009-07-07,2.380000,2.420000,2.210000,2.220000,2.100620,4321400
2009-07-08,2.240000,2.270000,2.110000,2.140000,2.024922,5640900
2009-07-09,2.160000,2.210000,2.140000,2.160000,2.043847,4554700
2009-07-10,2.130000,2.150000,2.010000,2.060000,1.949224,11325400
2009-07-13,2.070000,2.120000,2.000000,2.110000,1.996535,7045600
2009-07-14,2.100000,2.140000,2.040000,2.040000,1.930300,4693500
2009-07-15,2.100000,2.220000,2.040000,2.100000,1.987073,15039900
2009-07-16,2.140000,2.160000,2.020000,2.080000,1.968149,5860200
2009-07-17,2.100000,2.100000,2.020000,2.040000,1.930300,3432900
2009-07-20,2.060000,2.150000,2.040000,2.130000,2.015460,4397200
2009-07-21,2.210000,2.240000,2.050000,2.080000,1.968149,6957500
2009-07-22,2.080000,2.090000,2.040000,2.050000,1.939762,3700800
2009-07-23,2.090000,2.300000,2.050000,2.300000,2.176318,13803000
2009-07-24,2.380000,2.800000,2.250000,2.790000,2.639969,16810700
2009-07-27,2.900000,2.900000,2.620000,2.800000,2.649431,14226400
2009-07-28,2.730000,2.960000,2.700000,2.900000,2.744053,10339800
2009-07-29,2.880000,3.070000,2.840000,3.020000,2.857601,11701400
2009-07-30,3.100000,3.120000,2.980000,3.040000,2.876525,9204900
2009-07-31,3.060000,3.060000,2.840000,2.930000,2.772441,8959900
2009-08-03,2.980000,2.980000,2.610000,2.740000,2.592657,11046100
2009-08-04,2.760000,3.120000,2.670000,3.010000,2.848138,16037200
2009-08-05,3.080000,3.330000,3.060000,3.260000,3.084695,18590800
2009-08-06,3.360000,3.360000,3.030000,3.060000,2.895450,11381900
2009-08-07,3.140000,3.320000,3.070000,3.210000,3.037384,11630700
2009-08-10,3.180000,3.200000,3.040000,3.070000,2.904912,6957000
2009-08-11,3.060000,3.070000,2.870000,2.910000,2.753516,8196500
2009-08-12,2.880000,3.100000,2.850000,3.040000,2.876525,7711500
2009-08-13,3.140000,3.160000,2.970000,3.130000,2.961686,9734400
2009-08-14,3.140000,3.140000,3.020000,3.080000,2.914374,6776000
2009-08-17,2.950000,3.000000,2.820000,2.910000,2.753516,7702400
2009-08-18,2.950000,2.980000,2.910000,2.930000,2.772441,5343700
2009-08-19,2.900000,2.960000,2.850000,2.890000,2.734591,4868700
2009-08-20,2.940000,3.080000,2.900000,3.010000,2.848138,10527900
2009-08-21,3.070000,3.200000,3.040000,3.150000,2.980610,8376300
2009-08-24,3.210000,3.430000,3.150000,3.190000,3.018459,10389400
2009-08-25,3.220000,3.450000,3.220000,3.450000,3.264478,8997400
2009-08-26,3.480000,3.880000,3.470000,3.760000,3.557808,19195000
2009-08-27,3.810000,3.810000,3.560000,3.650000,3.453723,9681500
2009-08-28,3.660000,3.780000,3.530000,3.570000,3.378025,6184600
2009-08-31,3.500000,3.500000,3.320000,3.400000,3.217166,8361400
2009-09-01,3.400000,3.500000,2.950000,3.000000,2.838675,14345600
2009-09-02,2.960000,3.140000,2.890000,3.130000,2.961686,8006800
2009-09-03,3.200000,3.270000,3.100000,3.260000,3.084695,7420400
2009-09-04,3.270000,3.410000,3.250000,3.380000,3.198241,7426700
2009-09-08,3.460000,3.490000,3.330000,3.420000,3.236091,5194200
2009-09-09,3.450000,3.620000,3.400000,3.580000,3.387487,9278200
2009-09-10,3.850000,4.200000,3.810000,4.020000,3.803826,27566200
2009-09-11,4.090000,4.180000,4.000000,4.030000,3.813288,10821500
2009-09-14,3.930000,4.190000,3.830000,4.130000,3.907912,13232800
2009-09-15,4.150000,4.450000,4.150000,4.400000,4.163392,14360700
2009-09-16,4.510000,4.660000,4.360000,4.380000,4.144468,14622000
2009-09-17,4.700000,5.350000,4.630000,5.130000,4.854136,42414100
2009-09-18,5.120000,5.150000,4.760000,4.980000,4.712202,13899000
2009-09-21,4.880000,5.500000,4.770000,5.430000,5.138004,22818400
2009-09-22,5.360000,5.600000,5.200000,5.230000,4.948759,14384000
2009-09-23,4.740000,4.790000,4.400000,4.520000,4.276939,47676200
2009-09-24,4.690000,4.910000,4.600000,4.910000,4.645967,36559900
2009-09-25,5.100000,5.170000,4.920000,4.960000,4.693277,16261300
2009-09-28,5.090000,5.120000,4.790000,4.940000,4.674354,10769500
2009-09-29,5.000000,5.040000,4.850000,4.870000,4.608118,9995100
2009-09-30,4.920000,4.950000,4.650000,4.700000,4.447260,14158300
2009-10-01,4.620000,4.650000,4.150000,4.260000,4.030920,14655800
2009-10-02,4.150000,4.350000,3.980000,4.310000,4.078230,11708000
2009-10-05,4.460000,4.480000,4.310000,4.350000,4.116081,10218200
2009-10-06,4.410000,4.460000,4.250000,4.380000,4.144468,8815900
2009-10-07,4.340000,4.390000,4.210000,4.250000,4.021457,4768700
2009-10-08,4.350000,4.540000,4.270000,4.370000,4.135005,7936300
2009-10-09,4.360000,4.550000,4.350000,4.470000,4.229626,5731400
2009-10-12,4.510000,4.640000,4.390000,4.510000,4.267477,6524900
2009-10-13,4.480000,4.540000,4.380000,4.440000,4.201241,6567900
2009-10-14,4.550000,4.550000,4.440000,4.480000,4.239090,6203300
2009-10-15,4.370000,4.700000,4.350000,4.520000,4.276939,7596500
2009-10-16,4.450000,4.490000,4.290000,4.290000,4.059308,6189000
2009-10-19,4.340000,4.340000,4.150000,4.180000,3.955222,5466000
2009-10-20,4.310000,4.470000,4.280000,4.350000,4.116081,6429000
2009-10-21,4.300000,4.460000,3.820000,3.870000,3.661892,13610000
2009-10-22,3.980000,4.080000,3.530000,3.860000,3.652430,19270400
2009-10-23,3.950000,3.980000,3.670000,3.690000,3.491571,8925000
2009-10-26,3.720000,3.780000,3.300000,3.370000,3.188779,13836300
2009-10-27,3.380000,3.450000,3.100000,3.140000,2.971148,13157400
2009-10-28,3.160000,3.280000,3.080000,3.130000,2.961686,16060800
2009-10-29,3.210000,3.290000,3.190000,3.210000,3.037384,6717100
2009-10-30,3.220000,3.250000,2.950000,3.060000,2.895450,14126900
2009-11-02,3.120000,3.130000,2.820000,2.910000,2.753516,10827400
2009-11-03,2.880000,3.030000,2.840000,2.930000,2.772441,7070500
2009-11-04,3.070000,3.140000,2.900000,2.920000,2.762978,8695800
2009-11-05,2.950000,2.990000,2.860000,2.950000,2.791365,6511200
2009-11-06,2.930000,3.260000,2.900000,3.190000,3.018459,12495000
2009-11-09,3.270000,3.280000,3.130000,3.200000,3.027921,6462000
2009-11-10,3.200000,3.220000,3.020000,3.060000,2.895450,6738600
2009-11-11,3.150000,3.240000,3.060000,3.230000,3.056308,7048700
2009-11-12,3.210000,3.370000,3.140000,3.150000,2.980610,8979500
2009-11-13,3.180000,3.280000,3.180000,3.220000,3.046846,5040800
2009-11-16,3.270000,3.440000,3.260000,3.380000,3.198241,8062400
