Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,6.170000,6.260000,6.000000,6.120000,4.825457,6320100
2009-04-08,6.160000,6.500000,6.050000,6.450000,5.085653,9214000
2009-04-09,6.670000,6.900000,6.490000,6.760000,5.330081,10260600
2009-04-13,6.740000,6.740000,6.440000,6.510000,5.132960,6918900
2009-04-14,6.480000,6.690000,6.420000,6.520000,5.140847,7792600
2009-04-15,6.490000,6.680000,6.480000,6.550000,5.164499,5095000
2009-04-16,6.640000,6.850000,6.520000,6.750000,5.322195,9097400
2009-04-17,6.800000,6.970000,6.700000,6.950000,5.479888,8443300
2009-04-20,6.820000,6.890000,6.510000,6.560000,5.172385,11349600
2009-04-21,6.650000,6.950000,6.650000,6.850000,5.401043,8861500
2009-04-22,6.750000,6.840000,6.660000,6.700000,5.282772,7911200
2009-04-23,6.660000,6.830000,6.660000,6.690000,5.274887,7213800
2009-04-24,6.790000,6.990000,6.700000,6.920000,5.456234,6566600
2009-04-27,6.800000,6.920000,6.510000,6.550000,5.164499,8696800
2009-04-28,6.520000,6.700000,6.330000,6.580000,5.188154,8040500
2009-04-29,6.630000,6.800000,6.570000,6.770000,5.337965,7842200
2009-04-30,6.860000,7.260000,6.800000,7.070000,5.574508,15795200
2009-05-01,7.090000,7.750000,7.020000,7.730000,6.094898,10006800
2009-05-04,7.680000,8.240000,7.680000,8.110000,6.394518,15039400
2009-05-05,8.020000,8.240000,8.010000,8.220000,6.481251,6910400
2009-05-06,8.290000,8.500000,8.190000,8.230000,6.489134,6554400
2009-05-07,8.330000,8.540000,8.050000,8.140000,6.418173,8234700
2009-05-08,8.390000,9.720000,8.270000,9.620000,7.585111,19658900
2009-05-11,9.480000,9.500000,9.010000,9.020000,7.112029,9216300
2009-05-12,9.040000,9.100000,8.770000,8.990000,7.088375,5116700
2009-05-13,8.840000,8.910000,8.340000,8.370000,6.599522,7030600
2009-05-14,8.370000,9.200000,8.350000,9.150000,7.214531,11755100
2009-05-15,9.040000,9.170000,8.430000,8.550000,6.741447,8035700
2009-05-18,8.670000,9.070000,8.660000,9.020000,7.112029,9292700
2009-05-19,9.110000,9.620000,9.010000,9.550000,7.529919,9497300
2009-05-20,9.460000,9.750000,8.810000,8.860000,6.985873,13249500
2009-05-21,8.730000,8.970000,8.540000,8.680000,6.843949,5851100
2009-05-22,8.590000,8.900000,8.510000,8.620000,6.796640,6998100
2009-05-26,8.670000,9.020000,8.530000,8.990000,7.088375,7677400
2009-05-27,9.010000,9.250000,8.840000,8.870000,6.993758,13844400
2009-05-28,8.990000,9.590000,8.910000,9.510000,7.498381,10365100
2009-05-29,9.570000,10.010000,9.360000,9.990000,7.876848,11786800
2009-06-01,10.190000,10.740000,10.160000,10.680000,8.420894,11332200
2009-06-02,10.660000,10.730000,10.450000,10.520000,8.294742,7394400
2009-06-03,10.400000,10.490000,9.900000,10.030000,7.908389,7340700
2009-06-04,10.120000,10.560000,10.060000,10.430000,8.223777,8523700
2009-06-05,10.700000,10.720000,10.260000,10.310000,8.129162,7095100
2009-06-08,10.330000,10.340000,10.100000,10.240000,8.073965,5302400
2009-06-09,10.300000,10.420000,9.940000,10.070000,7.939926,6728900
2009-06-10,10.180000,10.320000,9.900000,10.120000,7.979350,6925000
2009-06-11,10.170000,10.710000,10.160000,10.420000,8.215890,7226000
2009-06-12,10.360000,10.790000,10.210000,10.690000,8.428781,7467700
2009-06-15,10.660000,10.660000,9.880000,10.080000,7.947810,7724700
2009-06-16,10.140000,10.370000,9.860000,9.980000,7.868962,5757400
2009-06-17,9.970000,10.050000,9.640000,9.690000,7.640306,6401800
2009-06-18,9.680000,9.930000,9.550000,9.610000,7.577226,7570200
2009-06-19,9.700000,10.050000,9.690000,9.750000,7.687617,6831800
2009-06-22,9.600000,9.700000,9.030000,9.160000,7.222415,8381500
2009-06-23,9.140000,9.670000,9.140000,9.630000,7.592999,9504500
2009-06-24,10.140000,10.650000,10.100000,10.580000,8.342046,20811300
2009-06-25,10.540000,11.160000,10.370000,11.120000,8.767826,13536000
2009-06-26,11.040000,11.060000,10.610000,10.870000,8.570704,9040900
2009-06-29,10.950000,11.480000,10.800000,11.460000,9.035904,9186500
2009-06-30,11.440000,11.640000,10.980000,11.610000,9.154172,13424900
2009-07-01,11.660000,11.880000,11.660000,11.760000,9.272449,10775700
2009-07-02,11.600000,11.670000,11.290000,11.290000,8.901863,10417200
2009-07-06,11.210000,11.360000,10.930000,11.120000,8.767826,11746300
2009-07-07,11.120000,11.300000,10.860000,10.900000,8.594358,11618100
2009-07-08,10.950000,11.260000,10.670000,11.010000,8.681092,13049700
2009-07-09,11.060000,11.300000,10.800000,11.160000,8.799362,5294700
2009-07-10,11.040000,11.210000,10.840000,11.180000,8.815133,5462700
2009-07-13,11.190000,11.490000,10.870000,11.460000,9.035904,6540800
2009-07-14,11.460000,11.720000,11.300000,11.590000,9.138405,9162600
