Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,146.320007,152.139999,146.250000,149.699997,149.699997,1636500
2017-06-20,150.080002,150.839996,146.770004,146.990005,146.990005,943500
2017-06-21,147.160004,149.770004,147.149994,149.419998,149.419998,670200
2017-06-22,150.070007,150.979996,148.850006,149.690002,149.690002,654900
2017-06-23,154.850006,154.850006,151.240005,153.500000,153.500000,2206200
2017-06-26,153.660004,154.789993,151.449997,151.669998,151.669998,724800
2017-06-27,151.149994,152.830002,148.940002,149.339996,149.339996,883100
2017-06-28,150.190002,152.589996,149.619995,152.240005,152.240005,727700
2017-06-29,151.500000,152.089996,148.009995,148.619995,148.619995,781100
2017-06-30,148.330002,150.949997,148.330002,150.119995,150.119995,577200
2017-07-03,151.059998,152.229996,148.949997,149.029999,149.029999,340600
2017-07-05,151.520004,152.800003,149.160004,151.940002,151.940002,551900
2017-07-06,151.119995,151.479996,149.500000,149.740005,149.740005,679100
2017-07-07,150.979996,152.800003,150.919998,151.949997,151.949997,486400
2017-07-10,152.100006,153.479996,150.559998,151.580002,151.580002,533000
2017-07-11,151.559998,152.259995,150.330002,151.589996,151.589996,754800
2017-07-12,152.070007,152.929993,151.139999,152.509995,152.509995,682600
2017-07-13,153.130005,153.649994,150.759995,152.190002,152.190002,409800
2017-07-14,152.139999,154.820007,152.119995,154.300003,154.300003,517900
2017-07-17,155.009995,157.860001,154.899994,156.210007,156.210007,1003200
2017-07-18,155.990005,156.750000,155.110001,156.020004,156.020004,556000
2017-07-19,157.089996,159.449997,156.759995,159.279999,159.279999,892300
2017-07-20,159.500000,160.539993,158.100006,160.169998,160.169998,952700
2017-07-21,160.309998,160.929993,158.419998,158.869995,158.869995,837300
2017-07-24,158.669998,161.809998,158.649994,161.190002,161.190002,833300
2017-07-25,161.809998,161.809998,158.449997,158.559998,158.559998,1071000
2017-07-26,158.660004,159.929993,157.369995,158.690002,158.690002,810300
2017-07-27,160.520004,160.649994,155.550003,157.259995,157.259995,1489200
2017-07-28,168.100006,173.789993,160.369995,173.059998,173.059998,2454700
2017-07-31,173.339996,173.750000,166.110001,167.229996,167.229996,1289400
2017-08-01,167.410004,171.649994,167.369995,169.429993,169.429993,1286000
2017-08-02,170.279999,171.050003,166.380005,167.990005,167.990005,725800
2017-08-03,168.089996,170.619995,167.589996,170.460007,170.460007,757000
2017-08-04,170.880005,171.000000,168.570007,169.300003,169.300003,508600
2017-08-07,169.490005,174.820007,169.490005,174.009995,174.009995,1088100
2017-08-08,173.889999,176.839996,173.350006,173.619995,173.619995,1085400
2017-08-09,173.839996,176.440002,172.369995,175.770004,175.770004,991800
2017-08-10,174.919998,174.919998,171.149994,171.229996,171.229996,1084000
2017-08-11,171.759995,175.160004,171.479996,173.559998,173.559998,719200
2017-08-14,173.910004,175.360001,173.679993,174.160004,174.160004,610600
2017-08-15,174.880005,178.580002,174.179993,177.970001,177.970001,893500
2017-08-16,178.889999,179.759995,176.809998,178.460007,178.460007,628700
2017-08-17,177.899994,177.899994,169.130005,169.360001,169.360001,1957700
2017-08-18,169.960007,172.179993,167.270004,168.610001,168.610001,1393400
2017-08-21,168.509995,169.639999,165.179993,167.979996,167.979996,953400
2017-08-22,167.970001,173.000000,166.639999,172.550003,172.550003,899800
2017-08-23,172.330002,173.839996,170.789993,172.850006,172.850006,869700
2017-08-24,174.000000,175.960007,173.350006,175.309998,175.309998,926300
2017-08-25,175.410004,176.199997,171.550003,172.550003,172.550003,822600
2017-08-28,173.020004,175.929993,173.020004,175.110001,175.110001,598300
2017-08-29,173.029999,174.610001,172.270004,173.990005,173.990005,699000
2017-08-30,173.550003,174.910004,172.910004,174.880005,174.880005,589300
2017-08-31,175.050003,177.070007,173.940002,176.740005,176.740005,998700
2017-09-01,176.809998,177.399994,173.880005,176.380005,176.380005,665400
2017-09-05,176.419998,179.960007,176.419998,179.330002,179.330002,1043800
2017-09-06,180.000000,180.360001,175.369995,176.630005,176.630005,685600
2017-09-07,176.559998,180.550003,174.440002,179.990005,179.990005,1003500
