Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,4.935000,5.107500,4.775000,4.777500,4.235199,2481200
2009-04-08,4.795000,4.992500,4.777500,4.925000,4.365957,1298000
2009-04-09,5.082500,5.520000,5.010000,5.485000,4.862391,2427200
2009-04-13,5.410000,5.480000,5.270000,5.395000,4.782606,2341600
2009-04-14,5.297500,5.447500,4.910000,4.965000,4.401416,2402800
2009-04-15,4.910000,5.265000,4.710000,5.145000,4.560984,2910000
2009-04-16,5.157500,5.207500,4.817500,5.065000,4.490066,2752000
2009-04-17,5.065000,5.180000,4.812500,4.950000,4.388117,3423200
2009-04-20,4.817500,4.920000,4.570000,4.682500,4.150982,3585200
2009-04-21,4.677500,5.075000,4.542500,4.952500,4.390337,2516800
2009-04-22,4.922500,5.257500,4.867500,4.955000,4.392551,2724400
2009-04-23,4.977500,4.977500,4.045000,4.345000,3.851793,8406000
2009-04-24,4.452500,4.595000,4.375000,4.455000,3.949306,3188400
2009-04-27,4.230000,4.242500,3.967500,4.137500,3.667846,6728000
2009-04-28,4.082500,4.435000,4.027500,4.130000,3.661198,4361200
2009-04-29,4.210000,4.397500,4.140000,4.270000,3.785307,3480000
2009-04-30,4.322500,4.390000,4.152500,4.195000,3.718820,2573600
2009-05-01,4.260000,4.330000,4.147500,4.315000,3.825197,2193200
2009-05-04,4.430000,4.590000,4.312500,4.572500,4.053470,3869200
2009-05-05,4.557500,4.767500,4.537500,4.670000,4.139903,3894800
2009-05-06,4.717500,4.770000,4.420000,4.582500,4.062335,2654800
2009-05-07,4.607500,4.652500,4.287500,4.337500,3.845145,3107600
2009-05-08,4.395000,4.477500,4.292500,4.375000,3.878388,3486400
2009-05-11,4.272500,4.360000,4.075000,4.305000,3.816334,3556800
2009-05-12,4.247500,4.335000,4.000000,4.152500,3.681143,3527200
2009-05-13,4.025000,4.127500,3.945000,3.980000,3.528225,2860400
2009-05-14,3.900000,4.182500,3.632500,3.975000,3.523792,5312400
2009-05-15,3.947500,4.067500,3.907500,3.995000,3.541522,4153200
2009-05-18,4.030000,4.120000,3.937500,4.117500,3.650116,2502800
2009-05-19,4.112500,4.125000,3.862500,3.917500,3.472819,6228400
2009-05-20,4.017500,4.232500,3.982500,3.992500,3.539306,6558800
2009-05-21,4.017500,4.122500,3.950000,4.092500,3.627954,3914400
2009-05-22,4.137500,4.187500,3.975000,4.032500,3.574765,2386400
2009-05-26,3.972500,4.157500,3.972500,4.037500,3.579198,3803200
2009-05-27,4.035000,4.070000,3.760000,3.782500,3.353143,4490000
2009-05-28,3.865000,3.887500,3.750000,3.767500,3.339846,4518000
2009-05-29,3.770000,3.942500,3.727500,3.892500,3.450657,2945200
2009-06-01,3.990000,4.050000,3.902500,3.962500,3.512711,3241200
2009-06-02,3.985000,4.222500,3.970000,4.065000,3.603576,4086400
2009-06-03,4.010000,4.087500,3.950000,4.045000,3.585847,3576800
2009-06-04,4.045000,4.067500,3.852500,3.920000,3.475036,2801200
2009-06-05,3.990000,4.017500,3.850000,3.977500,3.526009,2854400
2009-06-08,3.960000,3.995000,3.867500,3.957500,3.508279,3915200
2009-06-09,3.960000,4.037500,3.865000,3.997500,3.543738,2551600
2009-06-10,4.025000,4.052500,3.862500,3.922500,3.477251,3118800
2009-06-11,3.917500,4.022500,3.845000,3.900000,3.457306,2982000
2009-06-12,3.910000,4.120000,3.887500,4.095000,3.630171,2928000
2009-06-15,3.985000,4.112500,3.955000,4.075000,3.612441,2911600
2009-06-16,4.125000,4.290000,4.125000,4.155000,3.683361,3533600
2009-06-17,4.205000,4.365000,4.145000,4.302500,3.814116,3290000
2009-06-18,4.345000,4.572500,4.192500,4.517500,4.004712,3998800
2009-06-19,4.580000,4.587500,4.417500,4.465000,3.958172,3103600
2009-06-22,4.390000,4.427500,4.250000,4.250000,3.767577,2686400
2009-06-23,4.245000,4.270000,4.017500,4.127500,3.658982,2867200
