Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,16.979010,17.788607,16.754124,17.518740,15.746882,23425800
2009-04-08,18.148426,18.350824,16.866568,18.125937,16.292669,33502400
2009-04-09,19.317841,19.902548,19.002998,19.902548,17.889589,21859700
2009-04-13,19.610195,21.116941,19.227886,20.577211,18.496023,20226100
2009-04-14,20.532234,21.071964,19.677662,19.857571,17.849165,18009200
2009-04-15,19.587706,20.509745,19.295353,20.352324,18.293877,17326700
2009-04-16,20.779610,20.802099,19.902548,20.577211,18.496023,13456900
2009-04-17,20.554722,21.004498,20.329836,20.824587,18.718374,11614800
2009-04-20,19.992504,20.239880,18.755623,18.800600,16.899096,15671100
2009-04-21,18.260870,19.677662,18.215893,19.542728,17.566168,16275800
2009-04-22,19.227886,20.262369,18.935532,19.430285,17.465096,12149400
2009-04-23,19.497751,20.127436,19.182909,20.014992,17.990664,13513400
2009-04-24,20.307346,20.869566,20.059971,20.554722,18.475807,12497900
2009-04-27,19.700150,20.307346,19.565218,19.767616,17.768307,9798600
2009-04-28,19.340330,19.610195,19.047976,19.160419,17.222523,9485800
2009-04-29,19.587706,20.059971,19.340330,19.790106,17.788517,10168400
2009-04-30,20.419790,20.959520,20.149925,20.397301,18.334309,12201900
2009-05-01,20.442278,22.331335,20.397301,21.791605,19.587587,16044600
2009-05-04,22.511244,23.568216,22.376312,23.298351,20.941948,21539900
2009-05-05,23.343328,23.365818,22.511244,22.781109,20.477011,13132000
2009-05-06,23.500750,23.973013,23.163418,23.613194,21.287989,12989800
2009-05-07,24.602699,24.692654,21.364317,22.151424,19.970160,25233100
2009-05-08,22.893553,23.163418,22.196402,22.511244,20.294552,18186500
2009-05-11,21.926537,22.061470,20.937031,21.566717,19.443033,12890800
2009-05-12,21.949026,22.241379,20.734632,21.274363,19.179461,11057200
2009-05-13,20.577211,20.667166,19.160419,19.407797,17.496700,17063500
2009-05-14,19.295353,19.925037,18.733133,19.655172,17.719717,12916800
2009-05-15,20.149925,21.341829,19.970015,20.307346,18.307667,20501500
2009-05-18,20.847076,21.341829,20.779610,21.341829,19.240292,11345900
2009-05-19,21.499250,22.331335,21.364317,21.769115,19.625500,13065300
2009-05-20,22.241379,23.005997,21.184408,21.341829,19.240292,15953400
