Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.250000,16.281250,15.468750,15.875000,10.025830,1888800
2000-01-04,15.750000,16.187500,15.375000,15.468750,9.769267,2201600
2000-01-05,15.750000,15.812500,14.968750,15.187500,9.591643,2388600
2000-01-06,15.031250,16.093750,15.000000,15.500000,9.789000,2937400
2000-01-07,15.656250,16.375000,15.500000,16.000000,10.104779,3058200
2000-01-10,16.312500,16.468750,15.656250,15.781250,9.966625,1416800
2000-01-11,15.687500,16.187500,15.500000,15.968750,10.085041,1642200
2000-01-12,15.781250,15.812500,15.281250,15.531250,9.808737,1852400
2000-01-13,15.468750,15.656250,15.000000,15.093750,9.532434,2249600
2000-01-14,15.312500,15.312500,14.718750,14.937500,9.433757,2474800
2000-01-18,14.812500,15.000000,14.312500,14.937500,9.433757,2214600
2000-01-19,15.031250,15.375000,14.812500,14.937500,9.433757,2593200
2000-01-20,15.000000,15.312500,14.687500,15.250000,9.631118,2332400
2000-01-21,15.375000,15.375000,14.093750,14.500000,9.157450,2408800
2000-01-24,14.468750,14.500000,13.593750,13.937500,8.802206,6116600
2000-01-25,13.937500,14.000000,13.406250,13.500000,8.525907,2615600
2000-01-26,13.375000,15.125000,12.968750,15.000000,9.473227,6461200
2000-01-27,16.125000,16.843750,15.968750,16.781250,10.598171,6128400
2000-01-28,16.656250,16.750000,16.031250,16.031250,10.124513,4056800
2000-01-31,16.250000,16.281250,15.875000,15.906250,10.045566,2675600
2000-02-01,16.000000,16.093750,15.875000,16.000000,10.104779,1508200
2000-02-02,16.000000,16.250000,16.000000,16.093750,10.163982,983800
2000-02-03,16.031250,16.187500,15.593750,16.156250,10.203456,1326200
2000-02-04,16.031250,16.062500,15.687500,15.875000,10.025830,1985600
2000-02-07,15.750000,15.750000,15.437500,15.562500,9.828472,945600
2000-02-08,15.312500,15.406250,15.000000,15.187500,9.591643,1491600
2000-02-09,14.937500,14.937500,14.281250,14.500000,9.157450,2010800
2000-02-10,14.437500,14.531250,14.281250,14.406250,9.098248,931800
2000-02-11,14.250000,14.468750,13.687500,14.125000,8.920625,2123200
2000-02-14,14.125000,14.281250,13.875000,14.093750,9.019012,1069400
2000-02-15,14.093750,14.468750,13.968750,14.343750,9.178995,1149800
2000-02-16,14.218750,14.500000,14.000000,14.125000,9.039011,1298200
2000-02-17,14.062500,14.125000,13.750000,13.937500,8.919024,1250600
2000-02-18,13.812500,13.906250,13.687500,13.843750,8.859026,1594000
2000-02-22,13.750000,14.687500,13.718750,14.687500,9.398972,2726400
2000-02-23,14.250000,14.531250,14.031250,14.156250,9.059008,2008600
2000-02-24,14.031250,14.093750,13.250000,13.656250,8.739043,1239200
2000-02-25,13.218750,13.218750,12.625000,12.687500,8.119110,1565400
2000-02-28,12.968750,13.187500,12.687500,13.125000,8.399078,1857200
2000-02-29,13.093750,14.000000,13.062500,13.531250,8.659050,2940600
2000-03-01,13.906250,14.937500,13.656250,14.875000,9.518956,5043600
2000-03-02,14.875000,15.000000,14.031250,14.687500,9.398972,2470600
2000-03-03,14.687500,15.250000,14.375000,14.812500,9.478958,1671800
2000-03-06,15.000000,15.218750,14.281250,14.375000,9.198993,2093800
2000-03-07,14.000000,14.812500,12.750000,14.593750,9.338974,5054200
2000-03-08,14.625000,14.625000,13.718750,14.343750,9.178995,3477200
2000-03-09,14.343750,14.437500,13.593750,13.875000,8.879030,2087600
2000-03-10,13.875000,13.875000,13.031250,13.125000,8.399078,2487200
2000-03-13,13.187500,14.156250,13.062500,14.031250,8.979014,2204600
2000-03-14,14.000000,14.093750,13.625000,13.937500,8.919024,1867600
2000-03-15,13.937500,15.062500,13.781250,15.062500,9.638945,2894400
2000-03-16,15.062500,17.250000,15.062500,17.000000,10.878807,3822200
2000-03-17,17.125000,17.125000,15.125000,15.218750,9.738936,2810200
2000-03-20,15.343750,15.406250,14.125000,15.062500,9.638945,2787000
2000-03-21,14.937500,14.968750,14.500000,14.968750,9.578953,3255200
2000-03-22,15.093750,15.093750,14.375000,14.843750,9.498957,1718600
2000-03-23,14.718750,15.156250,14.625000,15.093750,9.658940,1946600
2000-03-24,14.968750,15.062500,14.656250,14.718750,9.418968,1790400
2000-03-27,14.625000,14.843750,14.250000,14.312500,9.158997,1295200
2000-03-28,13.937500,14.375000,13.906250,14.187500,9.079004,3004000
2000-03-29,14.187500,14.250000,13.875000,13.968750,8.939020,1916200
2000-03-30,14.000000,15.468750,13.937500,15.250000,9.758930,3317800
2000-03-31,15.125000,15.500000,14.531250,14.625000,9.358975,2941800
2000-04-03,14.625000,15.125000,14.187500,15.062500,9.638945,2989000
2000-04-04,15.375000,16.625000,15.062500,15.812500,10.118896,3425400
2000-04-05,16.062500,16.906250,15.812500,16.906250,10.818816,3720200
2000-04-06,16.687500,16.812500,15.562500,15.750000,10.078894,2212000
2000-04-07,15.250000,15.687500,14.531250,15.062500,9.638945,5607800
2000-04-10,14.906250,15.406250,14.343750,14.625000,9.358975,2876000
2000-04-11,14.625000,15.062500,14.375000,14.656250,9.378972,3678800
2000-04-12,16.875000,17.843750,16.625000,17.468750,11.178773,9792200
2000-04-13,17.750000,18.625000,17.531250,17.937500,11.478744,6122800
2000-04-14,17.656250,17.687500,16.125000,16.500000,10.558845,4612600
2000-04-17,16.500000,17.218750,16.187500,17.031250,10.898806,2601400
2000-04-18,17.281250,17.281250,16.343750,16.625000,10.638834,3597600
2000-04-19,16.656250,17.000000,16.375000,16.906250,10.818816,2440600
2000-04-20,17.562500,17.875000,17.437500,17.781250,11.378754,2769800
2000-04-24,17.875000,19.250000,17.843750,19.000000,12.158670,4959600
2000-04-25,19.250000,19.593750,18.500000,18.875000,12.078675,7858800
2000-04-26,18.625000,19.062500,18.375000,18.906250,12.098677,3756600
2000-04-27,18.312500,19.937500,18.312500,19.343750,12.378649,4430600
2000-04-28,19.312500,21.000000,19.218750,20.750000,13.278545,5964800
2000-05-01,21.125000,21.125000,20.187500,20.375000,13.038572,4446600
2000-05-02,19.750000,19.937500,18.875000,19.531250,12.498631,3684200
2000-05-03,19.531250,19.875000,19.218750,19.406250,12.418642,3748200
2000-05-04,19.375000,19.500000,18.750000,18.843750,12.058676,2531800
2000-05-05,19.062500,19.875000,18.875000,19.437500,12.438635,1412200
2000-05-08,19.312500,20.125000,19.187500,19.875000,12.718608,2268200
2000-05-09,19.937500,20.343750,19.937500,20.093750,12.858588,3061200
2000-05-10,20.250000,21.000000,20.250000,20.906250,13.378538,4091200
2000-05-11,21.250000,21.468750,20.593750,20.781250,13.298541,2912800
2000-05-12,20.812500,20.875000,20.125000,20.234375,12.948580,3513400
2000-05-15,20.000000,20.437500,19.937500,20.281250,13.098333,3279800
2000-05-16,20.500000,20.500000,20.031250,20.218750,13.057969,2300800
2000-05-17,20.000000,20.093750,19.750000,19.968750,12.896508,2628000
2000-05-18,20.062500,21.218750,20.062500,20.500000,13.239610,2948000
2000-05-19,19.875000,20.093750,19.468750,19.687500,12.714871,3371800
2000-05-22,19.937500,19.968750,19.093750,19.406250,12.533225,1565200
2000-05-23,19.468750,19.500000,19.187500,19.250000,12.432315,2215000
2000-05-24,19.437500,20.031250,19.437500,19.781250,12.775419,3726200
2000-05-25,19.906250,19.937500,19.375000,19.625000,12.674505,1906400
2000-05-26,19.625000,19.750000,19.312500,19.531250,12.613959,1207000
2000-05-30,19.812500,20.000000,19.468750,19.906250,12.856147,1296600
2000-05-31,20.000000,20.750000,19.812500,20.656250,13.340526,2816600
2000-06-01,20.656250,21.812500,20.343750,21.593750,13.945995,4143000
2000-06-02,22.000000,22.000000,20.718750,21.312500,13.764351,2319600
2000-06-05,21.312500,21.312500,20.500000,20.656250,13.340526,1671400
2000-06-06,20.437500,20.437500,20.000000,20.250000,13.078156,2068800
2000-06-07,20.250000,21.000000,19.875000,20.593750,13.300156,2519200
2000-06-08,20.125000,20.531250,19.656250,20.500000,13.239610,1559200
2000-06-09,20.500000,20.968750,20.500000,20.812500,13.441435,2004000
2000-06-12,20.781250,21.343750,20.781250,20.937500,13.522161,2106800
2000-06-13,20.875000,21.250000,20.000000,20.312500,13.118518,2159200
2000-06-14,20.562500,20.593750,20.156250,20.468750,13.219427,1307200
2000-06-15,20.468750,21.593750,20.468750,21.437500,13.845082,3790000
2000-06-16,21.750000,21.750000,20.718750,21.031250,13.582711,2052400
2000-06-19,20.906250,21.125000,20.156250,20.437500,13.199249,887000
2000-06-20,20.312500,20.562500,20.031250,20.250000,13.078156,1223400
2000-06-21,20.343750,20.687500,20.218750,20.375000,13.158875,869600
2000-06-22,20.312500,20.750000,20.031250,20.593750,13.300156,1369000
2000-06-23,20.625000,20.875000,20.062500,20.312500,13.118518,1542000
2000-06-26,20.312500,20.937500,20.312500,20.718750,13.380888,1485800
2000-06-27,20.781250,21.187500,20.500000,20.875000,13.481800,1754600
2000-06-28,20.812500,21.093750,20.437500,20.765625,13.411163,1413800
2000-06-29,20.625000,21.062500,20.531250,20.875000,13.481800,916200
2000-06-30,20.656250,22.304688,20.656250,22.250000,14.369824,2537600
2000-07-03,22.000000,22.000000,21.359375,21.937500,14.167995,857000
2000-07-05,21.500000,21.843750,21.093750,21.312500,13.764351,2118800
2000-07-06,20.250000,20.687500,19.562500,20.437500,13.199249,5075800
2000-07-07,20.437500,20.843750,20.218750,20.750000,13.401070,3767200
2000-07-10,20.625000,20.718750,20.000000,20.125000,12.997421,1356600
2000-07-11,20.062500,20.312500,19.781250,19.937500,12.876329,2301400
2000-07-12,20.062500,20.156250,18.906250,19.187500,12.391954,3800200
2000-07-13,19.218750,19.437500,18.375000,18.750000,12.109400,4590800
2000-07-14,18.875000,19.281250,18.656250,18.781250,12.129579,3367600
2000-07-17,18.906250,19.000000,18.625000,18.765625,12.119489,2586000
2000-07-18,18.781250,18.843750,18.406250,18.625000,12.028667,2161600
2000-07-19,18.750000,19.812500,18.656250,19.812500,12.795594,3300400
2000-07-20,19.937500,20.125000,19.593750,19.750000,12.755233,3259200
2000-07-21,19.750000,19.812500,19.531250,19.593750,12.654324,1230800
2000-07-24,19.593750,19.593750,19.156250,19.375000,12.513044,1326000
2000-07-25,19.593750,20.062500,19.437500,19.718750,12.735051,1923600
2000-07-26,19.781250,19.781250,19.531250,19.593750,12.654324,1868600
2000-07-27,19.687500,19.687500,19.437500,19.468750,12.573590,792800
2000-07-28,19.468750,19.843750,19.218750,19.687500,12.714871,2148000
2000-07-31,19.687500,20.125000,19.656250,19.843750,12.815776,2170400
2000-08-01,19.937500,20.875000,19.687500,20.781250,13.421254,2642800
2000-08-02,20.500000,20.812500,20.406250,20.593750,13.300156,2049600
2000-08-03,20.593750,20.937500,20.250000,20.343750,13.138705,2507200
2000-08-04,20.562500,20.562500,19.718750,19.937500,12.876329,1559200
2000-08-07,19.968750,20.250000,19.750000,20.031250,12.936873,1554400
2000-08-08,20.187500,20.218750,19.781250,20.031250,12.936873,1132000
2000-08-09,19.968750,20.281250,19.937500,20.156250,13.017602,1229400
2000-08-10,20.062500,20.375000,20.062500,20.281250,13.098333,1248000
2000-08-11,20.312500,20.437500,20.031250,20.156250,13.017602,795800
2000-08-14,20.125000,20.250000,19.937500,20.156250,13.138190,779600
2000-08-15,20.125000,20.562500,20.031250,20.343750,13.260415,1439200
2000-08-16,20.250000,20.343750,20.000000,20.000000,13.036346,1478000
2000-08-17,20.218750,20.218750,19.687500,20.000000,13.036346,1000800
