Date,Open,High,Low,Close,Adj Close,Volume
2018-01-04,33.779999,33.970001,33.689999,33.779999,33.779999,2209671
2018-01-05,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-09,null,null,null,null,null,null
2018-01-10,null,null,null,null,null,null
2018-01-11,null,null,null,null,null,null
2018-01-12,null,null,null,null,null,null
2018-01-16,null,null,null,null,null,null
2018-01-17,null,null,null,null,null,null
2018-01-18,null,null,null,null,null,null
2018-01-19,null,null,null,null,null,null
2018-01-22,null,null,null,null,null,null
2018-01-23,null,null,null,null,null,null
2018-01-24,null,null,null,null,null,null
2018-01-25,null,null,null,null,null,null
2018-01-26,null,null,null,null,null,null
2018-01-29,null,null,null,null,null,null
2018-01-30,null,null,null,null,null,null
2018-01-31,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-02-02,null,null,null,null,null,null
2018-02-05,null,null,null,null,null,null
2018-02-06,null,null,null,null,null,null
2018-02-07,null,null,null,null,null,null
2018-02-08,null,null,null,null,null,null
2018-02-09,null,null,null,null,null,null
2018-02-12,null,null,null,null,null,null
2018-02-13,null,null,null,null,null,null
2018-02-14,null,null,null,null,null,null
2018-02-15,null,null,null,null,null,null
2018-02-16,null,null,null,null,null,null
2018-02-20,null,null,null,null,null,null
2018-02-21,null,null,null,null,null,null
2018-02-22,null,null,null,null,null,null
2018-02-23,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-02-27,null,null,null,null,null,null
2018-02-28,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-03-02,null,null,null,null,null,null
2018-03-05,35.110001,35.669998,35.044998,35.540001,35.540001,2282959
2018-03-06,null,null,null,null,null,null
2018-03-07,null,null,null,null,null,null
2018-03-08,null,null,null,null,null,null
2018-03-09,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-13,36.950001,37.029999,36.150002,36.270000,36.270000,2880562
2018-03-14,36.500000,36.570000,35.750000,35.840000,35.840000,2411720
2018-03-15,35.869999,35.919998,35.580002,35.689999,35.689999,2164930
2018-03-16,35.730000,36.160000,35.610001,35.790001,35.790001,4552787
2018-03-19,35.639999,35.790001,35.090000,35.380001,35.380001,2018268
2018-03-20,35.410000,35.810001,35.255001,35.400002,35.400002,2550853
2018-03-21,35.419998,35.680000,35.200001,35.310001,35.310001,2324732
2018-03-22,33.110001,35.080002,33.110001,34.310001,34.310001,2571772
2018-03-23,34.320000,34.450001,33.230000,33.240002,33.240002,2599587
2018-03-26,33.709999,34.200001,33.560001,34.150002,34.150002,2632153
2018-03-27,34.549999,34.580002,33.240002,33.430000,33.430000,2248199
2018-03-28,33.520000,33.750000,33.279999,33.480000,33.480000,2709086
2018-03-29,33.680000,34.169998,33.389999,33.900002,33.900002,2489463
2018-04-02,33.720001,33.849998,32.450001,32.700001,32.700001,3284507
2018-04-03,32.900002,33.250000,32.610001,33.110001,33.110001,3027063
2018-04-04,32.730000,33.959999,32.599998,33.840000,33.840000,3371788
2018-04-05,34.070000,34.110001,33.650002,33.910000,33.910000,1768231
2018-04-06,33.630001,33.820000,32.950001,33.180000,33.180000,2192775
2018-04-09,33.400002,33.830002,33.270000,33.290001,33.290001,1549632
2018-04-10,33.790001,34.619999,33.779999,34.529999,34.529999,4943729
2018-04-11,34.220001,34.790001,34.040001,34.490002,34.490002,2604050
