Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,15.640000,16.219999,15.360000,15.760000,13.591839,3469700
2009-04-08,15.810000,16.790001,15.470000,16.370001,14.117917,2842900
2009-04-09,16.910000,17.860001,16.209999,17.590000,15.170077,3285900
2009-04-13,17.370001,18.120001,16.799999,17.980000,15.541772,2805700
2009-04-14,17.750000,17.910000,16.959999,17.240000,14.902117,2474300
2009-04-15,17.250000,17.500000,16.730000,17.150000,14.824320,3280000
2009-04-16,17.469999,17.830000,16.750000,17.680000,15.282453,3660800
2009-04-17,17.610001,17.780001,17.000000,17.540001,15.161440,2462500
2009-04-20,17.160000,17.190001,15.960000,16.299999,14.089588,2989400
2009-04-21,15.910000,17.559999,15.910000,17.520000,15.144147,1723200
2009-04-22,17.190001,17.790001,16.549999,16.719999,14.452634,3109500
2009-04-23,16.600000,17.129999,15.900000,16.580000,14.331626,3151000
2009-04-24,17.240000,18.480000,16.830000,18.360001,15.870236,3745300
2009-04-27,18.059999,18.520000,17.389999,18.500000,15.991254,2994000
2009-04-28,18.600000,18.920000,17.830000,18.340000,15.852948,4841800
2009-04-29,18.520000,21.059999,18.430000,20.219999,17.478004,5054300
2009-04-30,20.910000,21.469999,20.309999,20.840000,18.013935,4271300
2009-05-01,21.030001,21.920000,20.740000,21.360001,18.463409,2532900
2009-05-04,21.750000,22.639999,21.510000,22.000000,19.016626,3252500
2009-05-05,21.530001,22.440001,21.530001,22.190001,19.180855,3096600
2009-05-06,22.620001,23.340000,21.010000,22.070000,19.077129,3458800
2009-05-07,22.510000,22.520000,19.240000,20.299999,17.547150,4754400
2009-05-08,20.590000,21.709999,19.719999,21.660000,18.722729,3124700
2009-05-11,22.010000,22.160000,19.290001,21.790001,18.835096,5567800
2009-05-12,22.459999,22.950001,19.760000,20.600000,17.806469,4463600
2009-05-13,19.200001,19.490000,18.360001,18.790001,16.241924,4552700
2009-05-14,18.670000,19.830000,18.670000,19.500000,16.855642,4016900
2009-05-15,19.629999,20.129999,18.600000,18.740000,16.198702,3221400
2009-05-18,19.000000,20.100000,18.910000,19.879999,17.184114,2898200
2009-05-19,20.030001,20.730000,19.350000,20.459999,17.685457,2789600
2009-05-20,20.700001,21.500000,20.370001,20.809999,17.988003,2785500
2009-05-21,20.520000,20.530001,19.299999,19.500000,16.855642,1928100
2009-05-22,19.350000,19.950001,19.120001,19.200001,16.596329,2149100
2009-05-26,18.879999,19.590000,18.299999,19.540001,16.890219,3261600
