Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.890625,3.921875,3.773438,3.773438,1.383845,331200
2000-01-04,3.773438,3.820313,3.750000,3.757813,1.378114,351200
2000-01-05,3.750000,3.765625,3.703125,3.703125,1.358058,660000
2000-01-06,3.734375,3.882813,3.710938,3.875000,1.421091,344800
2000-01-07,3.742188,3.875000,3.742188,3.828125,1.403901,553600
2000-01-10,3.843750,3.843750,3.718750,3.750000,1.375249,623200
2000-01-11,3.750000,3.773438,3.695313,3.695313,1.355193,252000
2000-01-12,3.703125,3.804688,3.703125,3.710938,1.360924,728000
2000-01-13,3.703125,3.789063,3.703125,3.757813,1.378114,356000
2000-01-14,3.757813,3.796875,3.750000,3.765625,1.380980,385600
2000-01-18,3.765625,3.789063,3.750000,3.750000,1.375249,236000
2000-01-19,3.750000,3.750000,3.687500,3.687500,1.352328,707200
2000-01-20,3.687500,3.710938,3.664063,3.671875,1.346598,538400
2000-01-21,3.656250,3.656250,3.484375,3.593750,1.317947,304800
2000-01-24,3.593750,3.648438,3.578125,3.578125,1.312217,209600
2000-01-25,3.570313,3.578125,3.507813,3.507813,1.286431,400000
2000-01-26,3.515625,3.531250,3.500000,3.523438,1.292161,1496000
2000-01-27,3.539063,3.562500,3.500000,3.515625,1.289296,170400
2000-01-28,3.500000,3.539063,3.500000,3.523438,1.292161,346400
2000-01-31,3.523438,3.523438,3.484375,3.492188,1.280701,347200
2000-02-01,3.492188,3.492188,3.406250,3.421875,1.254915,428000
2000-02-02,3.445313,3.445313,3.335938,3.343750,1.226264,287200
2000-02-03,3.343750,3.359375,3.320313,3.328125,1.220533,332800
2000-02-04,3.343750,3.414063,3.343750,3.406250,1.249185,399200
2000-02-07,3.406250,3.445313,3.406250,3.437500,1.260645,399200
2000-02-08,3.437500,3.453125,3.421875,3.437500,1.260645,200800
2000-02-09,3.437500,3.445313,3.414063,3.414063,1.252049,396000
2000-02-10,3.414063,3.453125,3.406250,3.445313,1.263510,786400
2000-02-11,3.445313,3.484375,3.445313,3.476563,1.274971,603200
2000-02-14,3.429688,3.429688,3.390625,3.390625,1.393797,325600
2000-02-15,3.375000,3.375000,3.304688,3.304688,1.358470,610400
2000-02-16,3.320313,3.351563,3.203125,3.218750,1.323143,430400
2000-02-17,3.242188,3.257813,3.195313,3.218750,1.323143,291200
2000-02-18,3.234375,3.234375,3.070313,3.148438,1.294239,529600
2000-02-22,3.148438,3.156250,3.085938,3.109375,1.278182,317600
2000-02-23,3.125000,3.164063,3.125000,3.148438,1.294239,185600
2000-02-24,3.117188,3.125000,3.039063,3.039063,1.249278,440800
2000-02-25,3.007813,3.007813,2.843750,2.929688,1.204317,365600
2000-02-28,2.968750,3.000000,2.890625,3.000000,1.233221,648000
2000-02-29,3.000000,3.117188,2.984375,3.117188,1.281394,251200
2000-03-01,3.117188,3.117188,3.007813,3.015625,1.239644,270400
2000-03-02,3.031250,3.101563,3.023438,3.070313,1.262124,250400
2000-03-03,3.070313,3.070313,2.968750,2.976563,1.223586,507200
