Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.229167,5.322917,5.041667,5.156250,3.513723,3039600
2000-01-04,5.010417,5.125000,4.927083,5.000000,3.407247,2536200
2000-01-05,5.031250,5.145833,4.958333,5.104167,3.478230,3399000
2000-01-06,5.104167,5.572917,5.031250,5.333333,3.634396,5304600
2000-01-07,5.333333,5.343750,5.270833,5.333333,3.634396,3403200
2000-01-10,5.312500,5.343750,5.291667,5.333333,3.634396,2851800
2000-01-11,5.333333,5.447917,5.333333,5.333333,3.634396,3345600
2000-01-12,5.333333,5.406250,5.322917,5.354167,3.648593,3196200
2000-01-13,5.333333,5.510417,5.312500,5.427083,3.698282,3115200
2000-01-14,5.354167,5.437500,5.333333,5.375000,3.662791,2815200
2000-01-18,5.333333,5.385417,5.291667,5.291667,3.606003,2487600
2000-01-19,5.291667,5.333333,5.229167,5.291667,3.606003,11016000
2000-01-20,5.239583,5.270833,5.000000,5.052083,3.442739,5173200
2000-01-21,5.270833,5.270833,5.093750,5.114583,3.485330,3034200
2000-01-24,5.218750,5.218750,5.020833,5.093750,3.471134,2826000
2000-01-25,5.093750,5.218750,4.989583,5.010417,3.414345,5508000
2000-01-26,5.104167,5.125000,4.937500,4.989583,3.400148,14192400
2000-01-27,4.989583,5.104167,4.968750,5.062500,3.449838,4808400
2000-01-28,5.000000,5.000000,4.760417,4.854167,3.307869,5104200
2000-01-31,4.895833,4.947917,4.843750,4.875000,3.322067,3303600
2000-02-01,4.875000,4.885417,4.802083,4.822917,3.286575,1580400
2000-02-02,4.822917,4.822917,4.666667,4.708333,3.208492,2608200
2000-02-03,4.729167,4.760417,4.625000,4.645833,3.165900,2348400
2000-02-04,4.687500,4.729167,4.593750,4.614583,3.144604,8008800
2000-02-07,4.614583,4.645833,4.354167,4.354167,2.967143,3981000
2000-02-08,4.250000,4.333333,4.125000,4.125000,2.810979,11040000
2000-02-09,4.239583,4.302083,4.125000,4.166667,2.839372,9291000
2000-02-10,3.958333,4.031250,3.812500,3.833333,2.612222,10611600
2000-02-11,3.833333,3.843750,3.520833,3.604167,2.456058,6285000
2000-02-14,3.583333,3.718750,3.500000,3.645833,2.484452,17692800
2000-02-15,3.708333,3.770833,3.645833,3.666667,2.498647,5235000
2000-02-16,3.687500,3.760417,3.625000,3.656250,2.491549,6755400
2000-02-17,3.666667,3.791667,3.572917,3.750000,2.555435,6585600
2000-02-18,3.729167,3.729167,3.593750,3.635417,2.477352,4262400
2000-02-22,3.593750,3.791667,3.593750,3.739583,2.548337,4395600
2000-02-23,3.666667,3.666667,3.541667,3.562500,2.460563,5307000
2000-02-24,3.552083,3.614583,3.375000,3.614583,2.496536,7553400
2000-02-25,3.583333,3.614583,3.510417,3.541667,2.446173,6822600
2000-02-28,3.541667,3.697917,3.510417,3.625000,2.503730,4640400
2000-02-29,3.625000,3.760417,3.625000,3.697917,2.554092,10687800
2000-03-01,3.697917,3.812500,3.635417,3.750000,2.590065,5541600
2000-03-02,3.750000,3.770833,3.625000,3.666667,2.532509,4014600
2000-03-03,3.708333,3.906250,3.687500,3.812500,2.633233,3727800
2000-03-06,3.739583,3.739583,3.666667,3.718750,2.568482,2813400
2000-03-07,3.687500,3.687500,3.531250,3.541667,2.446173,3510600
2000-03-08,3.562500,3.822917,3.562500,3.791667,2.618844,12570000
2000-03-09,3.750000,3.750000,3.625000,3.687500,2.546898,2119200
2000-03-10,3.666667,3.760417,3.656250,3.708333,2.561287,1803000
2000-03-13,3.718750,3.718750,3.593750,3.645833,2.518119,2094000
2000-03-14,3.604167,3.635417,3.572917,3.593750,2.482146,3678000
2000-03-15,3.593750,3.895833,3.583333,3.895833,2.690791,3100200
2000-03-16,3.875000,4.093750,3.843750,4.072917,2.813098,5694600
2000-03-17,4.166667,4.239583,4.093750,4.218750,2.913825,6405000
2000-03-20,4.250000,4.270833,4.104167,4.145833,2.863462,2631600
2000-03-21,4.187500,4.250000,4.083333,4.187500,2.892240,4725600
2000-03-22,4.187500,4.239583,4.114583,4.145833,2.863462,2983800
2000-03-23,4.145833,4.208333,4.062500,4.135417,2.856266,2404800
2000-03-24,4.135417,4.156250,4.020833,4.052083,2.798711,3758400
2000-03-27,4.083333,4.114583,4.000000,4.031250,2.784320,4095600
2000-03-28,3.958333,4.020833,3.843750,3.947917,2.726764,2797200
2000-03-29,3.937500,3.989583,3.916667,3.968750,2.741152,2559600
2000-03-30,3.947917,3.989583,3.875000,3.989583,2.755542,3409200
2000-03-31,3.875000,4.062500,3.854167,3.916667,2.705181,5368200
2000-04-03,3.958333,3.958333,3.802083,3.833333,2.647623,4395600
2000-04-04,3.833333,3.875000,3.760417,3.843750,2.654817,5691000
2000-04-05,3.833333,4.020833,3.770833,3.979167,2.748348,3804600
2000-04-06,3.979167,4.093750,3.916667,3.947917,2.726764,4063200
2000-04-07,3.895833,3.937500,3.750000,3.770833,2.604455,4859400
2000-04-10,3.770833,3.822917,3.697917,3.718750,2.568482,4741800
2000-04-11,3.750000,3.833333,3.697917,3.739583,2.582871,8786400
2000-04-12,3.666667,3.781250,3.572917,3.635417,2.510925,7806000
2000-04-13,3.666667,3.718750,3.479167,3.625000,2.503730,17148000
2000-04-14,3.666667,3.666667,3.479167,3.552083,2.453368,6823800
2000-04-17,3.510417,3.583333,3.479167,3.479167,2.403006,4546800
2000-04-18,3.437500,3.552083,3.427083,3.510417,2.424590,3045600
2000-04-19,3.531250,3.666667,3.479167,3.510417,2.424590,2505000
2000-04-20,3.489583,3.531250,3.427083,3.437500,2.374226,4004400
2000-04-24,3.458333,3.666667,3.437500,3.489583,2.410199,3634800
2000-04-25,3.468750,3.687500,3.458333,3.625000,2.503730,4812600
2000-04-26,3.625000,3.708333,3.625000,3.645833,2.518119,3371400
2000-04-27,3.625000,3.625000,3.458333,3.479167,2.403006,5276400
2000-04-28,3.468750,3.489583,3.395833,3.489583,2.410199,5170800
2000-05-01,3.447917,3.552083,3.437500,3.531250,2.438978,3339000
2000-05-02,3.500000,3.531250,3.437500,3.510417,2.424590,4691400
2000-05-03,3.531250,3.531250,3.427083,3.427083,2.367032,6544800
2000-05-04,3.427083,3.427083,3.291667,3.322917,2.295086,3930000
2000-05-05,3.333333,3.406250,3.291667,3.354167,2.316670,5062200
2000-05-08,3.447917,3.520833,3.427083,3.479167,2.403006,4780800
2000-05-09,3.500000,3.677083,3.500000,3.635417,2.510925,6050400
2000-05-10,3.625000,3.729167,3.583333,3.604167,2.489341,9306000
2000-05-11,3.739583,3.739583,3.645833,3.718750,2.568482,6219600
2000-05-12,3.718750,3.875000,3.718750,3.802083,2.626039,7437600
2000-05-15,3.875000,3.875000,3.760417,3.770833,2.604455,2819400
2000-05-16,3.791667,3.895833,3.770833,3.864583,2.669207,2009400
2000-05-17,3.833333,3.916667,3.833333,3.864583,2.669207,2757000
2000-05-18,3.895833,3.927083,3.854167,3.854167,2.662012,2878800
2000-05-19,3.885417,3.906250,3.843750,3.864583,2.669207,3138000
2000-05-22,3.927083,3.937500,3.718750,3.718750,2.568482,2584800
2000-05-23,3.729167,3.739583,3.677083,3.718750,2.603487,2076600
2000-05-24,3.791667,3.802083,3.708333,3.739583,2.618072,2340600
2000-05-25,3.750000,3.760417,3.604167,3.625000,2.537853,2421000
2000-05-26,3.614583,3.687500,3.614583,3.635417,2.545145,2907000
2000-05-30,3.708333,3.739583,3.666667,3.677083,2.574316,5142600
2000-05-31,3.718750,3.739583,3.625000,3.625000,2.537853,3119400
2000-06-01,3.666667,3.781250,3.645833,3.750000,2.625364,4244400
2000-06-02,3.708333,3.854167,3.697917,3.791667,2.654535,4888200
2000-06-05,3.750000,3.822917,3.687500,3.687500,2.581608,2760000
2000-06-06,3.666667,3.718750,3.645833,3.666667,2.567023,3917400
2000-06-07,3.635417,3.666667,3.562500,3.562500,2.494097,3483600
2000-06-08,3.562500,3.562500,3.354167,3.375000,2.362829,6673200
2000-06-09,3.385417,3.531250,3.375000,3.447917,2.413878,5960400
2000-06-12,3.468750,3.531250,3.468750,3.479167,2.435756,6103800
2000-06-13,3.500000,3.583333,3.479167,3.510417,2.457634,10123800
2000-06-14,3.510417,3.552083,3.395833,3.416667,2.391999,8757000
2000-06-15,3.500000,3.520833,3.437500,3.458333,2.421169,5981400
2000-06-16,3.458333,3.500000,3.437500,3.447917,2.413878,4612200
2000-06-19,3.458333,3.468750,3.354167,3.354167,2.348243,3012000
2000-06-20,3.354167,3.364583,3.270833,3.291667,2.304487,2861400
2000-06-21,3.270833,3.364583,3.250000,3.260417,2.282609,2527200
2000-06-22,3.302083,3.364583,3.250000,3.302083,2.311779,6121800
2000-06-23,3.302083,3.375000,3.302083,3.364583,2.355536,4611600
2000-06-26,3.364583,3.416667,3.291667,3.312500,2.319072,3712800
2000-06-27,3.343750,3.427083,3.312500,3.427083,2.399292,3046800
2000-06-28,3.625000,3.864583,3.614583,3.835938,2.685530,22540200
2000-06-29,3.833333,3.833333,3.677083,3.750000,2.625364,7490400
2000-06-30,3.760417,3.770833,3.500000,3.531250,2.472218,7234800
2000-07-03,3.625000,3.718750,3.614583,3.718750,2.603487,3247800
2000-07-05,3.875000,4.083333,3.791667,4.020833,2.814975,7698000
2000-07-06,4.020833,4.114583,3.927083,3.979167,2.785805,4884000
2000-07-07,4.020833,4.052083,3.958333,4.020833,2.814975,3026400
2000-07-10,4.041667,4.114583,4.031250,4.052083,2.836854,2509800
2000-07-11,4.041667,4.052083,3.937500,3.958333,2.771218,4893600
2000-07-12,4.000000,4.020833,3.927083,3.979167,2.785805,4289400
2000-07-13,4.000000,4.000000,3.843750,3.854167,2.698291,4519200
2000-07-14,3.979167,4.020833,3.916667,3.979167,2.785805,5472000
2000-07-17,4.083333,4.229167,3.989583,4.036458,2.825914,6973800
2000-07-18,4.010417,4.072917,3.968750,3.979167,2.785805,5389200
2000-07-19,4.000000,4.125000,3.864583,3.895833,2.727463,3886800
2000-07-20,3.916667,3.947917,3.833333,3.864583,2.705584,2690400
2000-07-21,3.843750,3.906250,3.770833,3.833333,2.683706,2882400
2000-07-24,3.864583,3.864583,3.781250,3.843750,2.690998,3285000
2000-07-25,3.885417,3.885417,3.677083,3.729167,2.610779,3363600
2000-07-26,3.718750,4.010417,3.718750,4.000000,2.800390,6916200
