Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,10.710000,10.760000,10.000000,10.200000,8.958559,7642800
2009-04-08,10.970000,10.970000,9.320000,9.790000,8.598460,16329900
2009-04-09,10.160000,10.740000,10.000000,10.640000,9.345011,8381100
2009-04-13,10.500000,10.840000,10.170000,10.720000,9.415271,5097400
2009-04-14,10.750000,10.950000,10.170000,10.310000,9.055170,5971400
2009-04-15,10.200000,11.510000,10.200000,11.160000,9.801718,12889500
2009-04-16,11.290000,11.840000,10.750000,11.600000,10.188166,9762100
2009-04-17,11.620000,12.610000,11.610000,12.340000,10.838101,10365300
2009-04-20,11.930000,12.130000,10.940000,11.100000,9.749021,8024400
2009-04-21,11.030000,11.910000,10.760000,11.880000,10.434090,9405600
2009-04-22,11.810000,12.580000,11.440000,12.020000,10.557047,10351500
2009-04-23,12.050000,12.440000,11.260000,12.010000,10.548264,8978800
2009-04-24,12.140000,13.140000,11.870000,12.990000,11.408989,13024400
2009-04-27,12.690000,13.740000,12.480000,12.850000,11.286029,13247900
2009-04-28,12.640000,13.160000,12.340000,12.820000,11.259681,9192300
2009-04-29,13.010000,13.410000,12.650000,12.980000,11.400206,8544400
2009-04-30,13.180000,13.370000,12.720000,13.050000,11.461687,12468200
2009-05-01,12.990000,13.240000,12.170000,12.360000,10.855664,8585700
2009-05-04,12.380000,13.610000,12.380000,13.490000,11.848134,10675300
2009-05-05,12.760000,13.290000,11.810000,12.350000,10.846880,15558000
2009-05-06,11.750000,12.230000,10.650000,10.790000,9.476751,22679800
2009-05-07,10.670000,10.750000,9.410000,9.790000,8.598460,26837500
2009-05-08,10.100000,10.240000,9.490000,10.000000,8.782902,15349600
2009-05-11,9.830000,10.210000,9.560000,9.830000,8.633593,10939800
2009-05-12,9.890000,10.140000,9.260000,9.480000,8.326191,10853900
2009-05-13,9.300000,9.350000,8.960000,9.020000,7.922178,12214300
2009-05-14,9.040000,9.480000,8.730000,9.160000,8.045135,12217400
2009-05-15,9.140000,9.530000,8.910000,8.990000,7.928285,9531700
2009-05-18,9.290000,9.850000,9.020000,9.780000,8.624988,12623900
2009-05-19,9.490000,10.200000,9.490000,9.960000,8.783727,15251900
2009-05-20,10.160000,10.440000,9.550000,9.650000,8.510340,12134100
2009-05-21,9.460000,9.560000,8.960000,9.150000,8.069390,8955600
2009-05-22,9.170000,9.280000,8.870000,9.010000,7.945923,5692800
2009-05-26,8.880000,9.600000,8.880000,9.470000,8.351598,8422500
2009-05-27,9.510000,10.040000,9.200000,9.220000,8.131122,11473500
2009-05-28,9.390000,9.510000,8.530000,8.690000,7.663714,16493900
2009-05-29,8.790000,9.350000,8.770000,9.210000,8.122308,11249400
2009-06-01,9.310000,9.580000,9.090000,9.250000,8.157578,10171100
2009-06-02,9.240000,9.830000,9.210000,9.630000,8.492700,9982900
2009-06-03,9.540000,9.600000,9.010000,9.160000,8.078206,8106700
2009-06-04,9.170000,9.540000,9.050000,9.410000,8.298684,7339800
2009-06-05,9.680000,9.680000,9.150000,9.210000,8.122308,9586000
2009-06-08,9.340000,9.790000,9.000000,9.660000,8.519160,10755800
2009-06-09,9.720000,9.900000,9.580000,9.690000,8.545612,6978600
2009-06-10,9.820000,9.910000,9.480000,9.620000,8.483884,6753800
2009-06-11,9.620000,9.660000,9.420000,9.590000,8.457428,8299400
2009-06-12,9.470000,9.580000,9.310000,9.570000,8.439788,7986800
