Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,6.750000,7.220000,6.280000,6.320000,3.920140,5049000
2009-04-08,6.440000,6.930000,6.270000,6.620000,4.106221,4656900
2009-04-09,6.800000,8.310000,6.800000,8.240000,5.111067,8241500
2009-04-13,8.150000,8.470000,7.640000,8.200000,5.086257,4698400
2009-04-14,8.090000,8.650000,7.560000,7.630000,4.732698,6785600
2009-04-15,7.620000,8.500000,7.400000,8.440000,5.235122,6195000
2009-04-16,8.250000,9.340000,8.000000,9.310000,5.774762,47565000
2009-04-17,8.970000,9.950000,8.850000,9.380000,5.818182,11470800
2009-04-20,9.110000,9.170000,7.940000,8.110000,5.030431,12855200
2009-04-21,7.980000,9.280000,6.880000,9.100000,5.644505,11929900
2009-04-22,8.610000,9.410000,8.250000,8.490000,5.266137,8812400
2009-04-23,8.560000,9.400000,8.430000,9.300000,5.768559,9038900
2009-04-24,9.270000,10.320000,9.120000,9.940000,6.165537,13134900
2009-04-27,9.450000,9.900000,8.610000,8.960000,5.557667,8651800
2009-04-28,8.850000,9.550000,8.620000,9.140000,5.669315,5839500
2009-04-29,9.190000,9.810000,9.060000,9.710000,6.022873,7139100
2009-04-30,9.780000,10.340000,9.700000,9.770000,6.060088,11221300
2009-05-01,9.640000,9.640000,9.080000,9.220000,5.718937,7864000
2009-05-04,9.550000,10.550000,9.400000,10.460000,6.488079,10495700
2009-05-05,10.430000,10.500000,9.870000,9.930000,6.159333,5860800
2009-05-06,10.220000,10.250000,9.570000,9.820000,6.091101,10024400
2009-05-07,10.150000,10.160000,8.520000,8.850000,5.489435,9789000
2009-05-08,8.930000,9.840000,8.930000,9.790000,6.072492,9222300
2009-05-11,9.150000,9.950000,9.100000,9.530000,5.911222,6765000
2009-05-12,9.770000,9.810000,8.790000,9.260000,5.848068,5873100
2009-05-13,8.990000,9.170000,8.020000,8.080000,5.102849,6813300
2009-05-14,8.090000,8.840000,7.840000,8.630000,5.450197,6158200
2009-05-15,8.600000,8.750000,7.960000,8.200000,5.178634,5860500
2009-05-18,8.360000,9.230000,8.320000,9.150000,5.778598,7744200
2009-05-19,9.070000,9.300000,8.660000,8.970000,5.664922,4821700
2009-05-20,9.220000,9.590000,8.930000,9.000000,5.683867,5583300
2009-05-21,8.830000,9.160000,8.610000,8.910000,5.627028,3152600
2009-05-22,8.950000,9.170000,8.550000,8.610000,5.437566,2978700
2009-05-26,8.550000,9.320000,8.440000,9.260000,5.848068,6542700
2009-05-27,9.260000,9.330000,8.630000,8.720000,5.507038,5713800
2009-05-28,8.840000,9.020000,8.520000,8.930000,5.639660,5619800
2009-05-29,9.010000,9.510000,8.880000,9.510000,6.005953,4924000
2009-06-01,9.610000,10.450000,9.530000,9.970000,6.296463,6107000
2009-06-02,9.920000,10.150000,9.730000,9.800000,6.189100,4581000
