Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,5.854377,5.862794,5.702862,5.719697,5.634592,28040800
2009-04-08,5.757576,5.879630,5.656566,5.871212,5.783853,26412000
2009-04-09,6.090067,6.329967,5.997475,6.321549,6.227489,41263200
2009-04-13,6.157407,6.195286,6.052188,6.157407,6.065789,25849600
2009-04-14,6.111111,6.170033,5.984848,6.052188,5.962137,30270000
2009-04-15,6.081650,6.195286,5.993266,6.026936,5.937260,57637400
2009-04-16,6.182660,6.195286,5.913300,6.064815,5.974576,44320000
2009-04-17,6.026936,6.098485,5.808081,6.056397,5.966283,41464000
2009-04-20,6.010101,6.010101,5.803872,5.917509,5.829461,32248200
2009-04-21,5.829124,6.026936,5.753367,6.014310,5.924822,45853700
2009-04-22,5.984848,6.355219,5.917509,6.220539,6.127982,73124900
2009-04-23,6.746633,7.091751,6.670876,6.994949,6.890870,143259900
2009-04-24,6.986532,7.129630,6.767677,7.062290,6.957209,76075000
2009-04-27,6.822391,7.011785,6.776094,6.931818,6.828678,45981300
2009-04-28,6.801347,6.973906,6.780303,6.818182,6.716733,50344800
2009-04-29,6.843434,7.070707,6.797138,6.931818,6.828678,47148100
2009-04-30,7.028620,7.180135,6.919192,6.931818,6.828678,44241300
2009-05-01,6.788721,7.015993,6.763468,6.948653,6.845263,33736100
2009-05-04,6.957071,7.091751,6.902357,7.045455,6.940623,29930200
2009-05-05,6.990741,7.268518,6.969697,7.234848,7.127200,47346000
2009-05-06,7.289562,7.415825,7.074916,7.218013,7.110615,49392700
2009-05-07,7.344276,7.398990,6.919192,7.045455,6.940623,47031400
2009-05-08,7.100168,7.398990,7.070707,7.314815,7.205976,41299800
2009-05-11,7.175926,7.361111,7.100168,7.251684,7.143785,26638200
2009-05-12,7.247475,7.344276,7.104377,7.184343,7.077446,22504200
2009-05-13,7.079124,7.117003,6.780303,6.805555,6.704294,40163400
2009-05-14,6.898148,7.188552,6.851852,7.087542,6.982085,42499000
2009-05-15,7.112794,7.184343,6.999158,7.117003,7.011108,31801000
2009-05-18,7.159091,7.449495,7.117003,7.449495,7.338652,37316200
2009-05-19,7.470539,7.601010,7.306397,7.521044,7.409137,34461000
2009-05-20,7.500000,7.723064,7.390573,7.453704,7.342799,28102600
2009-05-21,7.369529,7.407407,7.112794,7.218013,7.110615,33387500
2009-05-22,7.205387,7.407407,7.095960,7.306397,7.197684,30115800
2009-05-26,7.213805,7.462121,7.133838,7.382155,7.272314,35314900
2009-05-27,7.361111,7.403199,7.087542,7.121212,7.015254,44821800
2009-05-28,7.142256,7.344276,6.948653,7.297980,7.189391,40890000
2009-05-29,7.293771,7.415825,7.243266,7.415825,7.305483,31692500
2009-06-01,7.521044,7.739899,7.441077,7.676768,7.562543,36216800
2009-06-02,7.685185,7.702020,7.508418,7.558923,7.446452,39391200
2009-06-03,7.634680,7.680976,7.424242,7.563131,7.450598,79740900
2009-06-04,7.512626,7.622054,7.500000,7.575758,7.463036,44922500
2009-06-05,7.584175,7.634680,7.390573,7.508418,7.396698,44495100
2009-06-08,7.512626,7.554714,7.314815,7.424242,7.313776,29259200
2009-06-09,7.508418,7.542088,7.415825,7.453704,7.342799,29728500
2009-06-10,7.567340,7.575758,7.293771,7.420033,7.309629,40766200
2009-06-11,7.470539,7.638889,7.415825,7.525252,7.413282,78608000
2009-06-12,7.550505,7.554714,7.344276,7.491582,7.380114,25859900
2009-06-15,7.424242,7.466330,7.188552,7.323232,7.214269,36715300
2009-06-16,7.344276,7.432660,7.163300,7.251684,7.143785,33736500
2009-06-17,7.234848,7.314815,7.154882,7.192761,7.085738,37855300
2009-06-18,7.180135,7.255892,7.104377,7.205387,7.098176,35918900
2009-06-19,7.306397,7.356902,7.226431,7.272727,7.164515,33094100
2009-06-22,7.192761,7.264310,6.893939,6.923401,6.820386,38915700
2009-06-23,6.868687,6.978115,6.767677,6.910774,6.807947,39878500
2009-06-24,6.952862,7.205387,6.919192,7.053872,6.948916,32389600
2009-06-25,7.028620,7.222222,6.982323,7.213805,7.106469,26127600
2009-06-26,7.184343,7.365320,7.171717,7.302188,7.193538,67207000
2009-06-29,7.335859,7.445286,7.255892,7.306397,7.197684,124068000
2009-06-30,7.247475,7.352694,7.083333,7.209596,7.102323,61807800
2009-07-01,7.239057,7.264310,7.041246,7.062290,6.957209,38312500
2009-07-02,6.999158,6.999158,6.826599,6.877104,6.774778,33622300
2009-07-06,6.872896,6.944445,6.784512,6.923401,6.820386,42490900
2009-07-07,6.944445,6.982323,6.670876,6.696128,6.596495,43955700
2009-07-08,6.750842,6.902357,6.679293,6.742424,6.642102,42324400
2009-07-09,6.767677,6.839226,6.637206,6.771885,6.671125,42248100
2009-07-10,6.738215,6.914983,6.738215,6.860270,6.758193,38868900
2009-07-13,6.860270,7.070707,6.776094,7.053872,6.948916,42295800
2009-07-14,7.070707,7.209596,7.011785,7.192761,7.085738,53740600
2009-07-15,7.247475,7.554714,7.205387,7.504209,7.392552,60581100
2009-07-16,7.420033,7.933502,7.411616,7.819865,7.703511,79991800
2009-07-17,7.874579,7.878788,7.706229,7.807239,7.691074,29496800
2009-07-20,7.828283,7.946128,7.735690,7.925084,7.807165,29328800
2009-07-21,7.954545,7.992424,7.803030,7.967172,7.848626,46220000
2009-07-22,7.891414,8.207070,7.870370,8.186027,8.064225,82395800
2009-07-23,8.851010,9.078282,8.720539,9.057240,8.922476,138009700
2009-07-24,8.943603,9.019361,8.867846,8.939394,8.806382,45697800
2009-07-27,8.989899,9.242424,8.939394,9.162457,9.026127,44204200
2009-07-28,9.006734,9.255051,8.985690,9.191919,9.055150,45784800
2009-07-29,9.086700,9.284512,8.973064,9.006734,8.872721,34267100
2009-07-30,9.124579,9.284512,9.053030,9.116161,8.980520,39052600
2009-07-31,9.120370,9.120370,8.939394,8.943603,8.810529,42835700
2009-08-03,9.343434,9.351851,9.141414,9.276094,9.138074,60635200
2009-08-04,9.196128,9.284512,9.078282,9.191919,9.055150,37388900
2009-08-05,9.141414,9.225589,8.914142,9.095118,8.959789,49181700
2009-08-06,9.031986,9.515993,9.002525,9.457070,9.316357,62619900
2009-08-07,9.570707,9.739058,9.478114,9.490741,9.349527,55578900
2009-08-10,9.537037,9.537037,9.322391,9.465488,9.324649,31006300
2009-08-11,9.410774,9.465488,9.259259,9.309764,9.171243,37859400
2009-08-12,9.322391,9.511785,9.284512,9.402357,9.262458,35102700
2009-08-13,9.494949,9.499158,9.263468,9.326599,9.187826,35779400
2009-08-14,9.309764,9.330808,9.048821,9.107744,8.972228,36561100
2009-08-17,8.884680,9.027778,8.653198,8.771044,8.640538,47988500
2009-08-18,8.800505,8.876263,8.733165,8.821548,8.690291,28196200
2009-08-19,8.712121,8.926767,8.648990,8.893098,8.760775,34806400
2009-08-20,8.851010,9.044613,8.851010,9.006734,8.872721,21965800
2009-08-21,9.082492,9.301347,8.964646,9.292930,9.154658,38016000
2009-08-24,9.288720,9.431818,9.288720,9.356061,9.216850,25257800
2009-08-25,9.364478,9.478114,9.297138,9.389730,9.250019,25630300
2009-08-26,9.330808,9.393939,9.162457,9.372895,9.233434,38556500
2009-08-27,9.343434,9.494949,9.263468,9.431818,9.291479,29877200
2009-08-28,9.478114,9.654882,9.410774,9.452862,9.312211,32219200
2009-08-31,9.347643,9.385522,9.238215,9.318182,9.179535,23652100
2009-09-01,9.318182,9.755892,9.053030,9.124579,8.988813,90781400
2009-09-02,9.158249,9.179293,8.952021,8.985690,8.851991,45127600
2009-09-03,8.952021,9.048821,8.905724,9.019361,8.885159,32409300
2009-09-04,9.006734,9.242424,8.939394,9.221380,9.084174,31235300
2009-09-08,9.263468,9.301347,9.099326,9.187711,9.051004,29727500
2009-09-09,9.372895,9.633839,9.322391,9.545455,9.403426,53210900
2009-09-10,9.671718,9.941077,9.659091,9.894781,9.747555,50505600
2009-09-11,9.920033,10.037879,9.814815,9.915825,9.768286,42083400
2009-09-14,9.844276,10.037879,9.831650,10.025252,9.876085,32535200
2009-09-15,10.303030,10.315657,10.084175,10.159933,10.008761,52838400
2009-09-16,10.290404,10.324074,10.096802,10.235690,10.083390,62515800
2009-09-17,10.122054,10.361953,10.105219,10.281986,10.128999,40844600
2009-09-18,10.319865,10.412457,10.227273,10.244108,10.091684,50158000
2009-09-21,10.244108,10.244108,10.046296,10.164142,10.012907,30784800
2009-09-22,10.281986,10.307240,10.126263,10.290404,10.137291,33179400
2009-09-23,10.256734,10.340909,9.995791,10.021044,9.871939,30710500
2009-09-24,10.138889,10.164142,9.768518,9.907408,9.759993,38162800
2009-09-25,9.911616,9.945286,9.776936,9.869529,9.722678,30476700
2009-09-28,9.915825,10.105219,9.882154,10.067340,9.917545,25741300
2009-09-29,10.021044,10.084175,9.920033,10.046296,9.896815,26172500
2009-09-30,10.071548,10.079967,9.726431,9.932660,9.784870,55481000
2009-10-01,9.907408,9.911616,9.629630,9.781145,9.635609,39411600
2009-10-02,9.625421,9.709596,9.486532,9.553872,9.411718,34842100
2009-10-05,9.587543,9.709596,9.507576,9.642256,9.498786,30867300
2009-10-06,9.789562,10.084175,9.781145,10.079967,9.929985,68249100
2009-10-07,10.058923,10.256734,9.974748,10.248317,10.095829,39071400
2009-10-08,10.340909,10.580808,10.332492,10.441919,10.286552,60218500
2009-10-09,10.420876,10.462963,10.218855,10.277778,10.124853,28327800
2009-10-12,10.378788,10.492424,10.332492,10.429293,10.274113,27511700
2009-10-13,10.521886,10.677609,10.492424,10.597643,10.439959,48664200
2009-10-14,10.715488,10.723906,10.530303,10.707070,10.547757,37067200
2009-10-15,10.627105,10.681818,10.462963,10.484007,10.328012,32784700
2009-10-16,10.547138,10.559764,10.239899,10.307240,10.153875,44433500
2009-10-19,10.408249,10.627105,10.269361,10.585017,10.427521,41054600
2009-10-20,10.614478,10.643939,10.404040,10.547138,10.390205,34886800
2009-10-21,10.711280,10.858586,10.488215,10.534512,10.377766,97286500
2009-10-22,10.117846,10.277778,9.793771,10.088384,9.938276,125782300
2009-10-23,10.185185,10.269361,9.848485,9.915825,9.768286,59494300
2009-10-26,9.869529,10.021044,9.688552,9.819023,9.672924,43307800
2009-10-27,9.743266,9.962121,9.608586,9.743266,9.598294,38042300
2009-10-28,9.638047,9.928452,9.545455,9.574916,9.432449,46551000
2009-10-29,9.684343,9.802189,9.638047,9.684343,9.540248,29163400
2009-10-30,9.696970,9.722222,9.313973,9.372895,9.233434,44952400
2009-11-02,9.284512,9.579124,9.053030,9.444445,9.303919,51095800
2009-11-03,9.368687,9.507576,9.309764,9.473906,9.332942,33878100
2009-11-04,9.473906,9.633839,9.431818,9.490741,9.349527,28856900
2009-11-05,9.667508,9.848485,9.621212,9.781145,9.635609,29453100
2009-11-06,9.743266,9.890573,9.659091,9.823233,9.677071,21375400
2009-11-09,9.840067,9.890573,9.739058,9.793771,9.648047,34384500
2009-11-10,9.852694,9.941077,9.776936,9.861111,9.714385,29915000
2009-11-11,9.932660,10.042088,9.886364,10.000000,9.851208,31227000
2009-11-12,10.021044,10.134680,9.995791,10.063131,9.913400,35329200
2009-11-13,10.046296,10.122054,9.936869,9.991583,9.842916,27425900
2009-11-16,10.025252,10.151515,9.970539,10.008417,9.859500,26092700
2009-11-17,9.983165,10.004209,9.806397,9.953704,9.805600,27533000
2009-11-18,9.898990,9.920033,9.722222,9.760101,9.614880,25413600
