Date,Open,High,Low,Close,Adj Close,Volume
2001-12-03,28.500000,28.990000,28.500000,28.690001,12.065722,2827700
2001-12-04,28.549999,28.980000,28.549999,28.879999,12.145629,1685700
2001-12-05,28.850000,29.040001,28.799999,28.900000,12.154036,2803500
2001-12-06,28.969999,29.170000,28.760000,29.150000,12.259179,1215400
2001-12-07,29.160000,29.250000,28.990000,29.200001,12.280210,1182300
2001-12-10,28.799999,28.990000,28.750000,28.860001,12.137219,949700
2001-12-11,29.000000,29.250000,28.870001,29.190001,12.276004,671300
2001-12-12,29.219999,29.230000,28.670000,28.670000,12.057311,1099000
2001-12-13,28.660000,28.700001,28.150000,28.299999,11.901705,1135800
2001-12-14,28.299999,28.600000,28.200001,28.490000,11.981607,975800
2001-12-17,28.500000,28.799999,28.490000,28.750000,12.090956,1802400
2001-12-18,28.400000,28.490000,28.260000,28.480000,12.160342,1966400
2001-12-19,28.299999,28.430000,28.020000,28.100000,11.998089,1055300
2001-12-20,28.000000,28.120001,27.950001,27.950001,11.934036,2054700
2001-12-21,27.990000,28.049999,27.879999,28.049999,11.976740,2283800
2001-12-24,28.090000,28.469999,28.020000,28.389999,12.121910,251900
2001-12-26,28.250000,28.660000,28.200001,28.600000,12.211576,488500
2001-12-27,28.450001,28.900000,28.450001,28.549999,12.190225,785700
2001-12-28,28.500000,28.850000,28.389999,28.770000,12.284163,532900
2001-12-31,28.750000,28.950001,26.500000,28.709999,12.258542,824100
2002-01-02,28.559999,28.850000,28.150000,28.750000,12.275621,1025000
2002-01-03,28.700001,28.940001,28.610001,28.920000,12.348207,835500
2002-01-04,28.920000,28.930000,28.510000,28.549999,12.190225,565100
2002-01-07,28.549999,28.680000,28.379999,28.570000,12.198768,1190700
2002-01-08,28.570000,28.600000,28.430000,28.500000,12.168880,782100
2002-01-09,28.450001,28.580000,28.290001,28.290001,12.079215,1179500
2002-01-10,28.160000,28.219999,28.100000,28.139999,12.015162,875900
2002-01-11,28.200001,28.250000,27.950001,27.980000,11.946852,1202000
2002-01-14,28.100000,28.129999,27.840000,27.969999,11.942580,1254300
2002-01-15,27.969999,28.080000,27.650000,27.740000,11.844370,1031800
2002-01-16,27.870001,27.940001,27.450001,27.549999,11.763248,848900
2002-01-17,27.500000,27.510000,27.299999,27.360001,11.682124,1289000
2002-01-18,27.299999,27.430000,26.910000,27.200001,11.613808,1207500
2002-01-22,27.200001,27.620001,27.150000,27.520000,11.750443,916900
2002-01-23,27.440001,27.650000,27.330000,27.549999,11.763248,2587000
2002-01-24,27.500000,27.559999,27.299999,27.450001,11.720553,1353700
2002-01-25,27.459999,27.530001,27.260000,27.500000,11.741899,683400
2002-01-28,27.450001,27.490000,27.290001,27.440001,11.716284,537600
2002-01-29,27.440001,27.440001,26.920000,27.139999,11.588186,816900
2002-01-30,27.150000,27.280001,27.000000,27.070000,11.558302,899600
2002-01-31,27.020000,27.049999,26.670000,26.780001,11.434471,1548400
2002-02-01,26.750000,26.750000,26.629999,26.750000,11.421666,792100
2002-02-04,26.750000,26.830000,26.570000,26.799999,11.443015,978300
2002-02-05,27.000000,27.100000,26.870001,26.980000,11.519874,884000
2002-02-06,26.980000,26.980000,26.100000,26.139999,11.161205,2592100
2002-02-07,26.139999,26.219999,26.010000,26.020000,11.109974,1915000
2002-02-08,26.020000,26.100000,25.840000,26.100000,11.144132,1447200
2002-02-11,26.090000,26.450001,26.080000,26.400000,11.272221,2440400
2002-02-12,26.350000,26.490000,26.299999,26.330000,11.242332,1100800
2002-02-13,26.299999,26.500000,26.260000,26.469999,11.302112,1143300
2002-02-14,26.500000,26.690001,26.450001,26.650000,11.378963,1047900
2002-02-15,26.650000,26.780001,26.629999,26.700001,11.400316,1033600
2002-02-19,26.700001,26.700001,26.270000,26.450001,11.293572,826800
2002-02-20,26.459999,26.799999,26.450001,26.750000,11.421666,1085500
2002-02-21,26.750000,26.750000,26.280001,26.330000,11.242332,769400
2002-02-22,26.350000,26.799999,26.299999,26.709999,11.404587,945400
2002-02-25,26.719999,27.100000,26.629999,27.020000,11.536950,736200
2002-02-26,27.049999,27.080000,26.799999,26.969999,11.515603,484900
2002-02-27,27.049999,27.190001,26.760000,27.000000,11.528408,533100
2002-02-28,27.000000,27.200001,26.920000,26.950001,11.507066,1324100
2002-03-01,27.100000,27.280001,26.930000,27.270000,11.643695,572200
2002-03-04,27.270000,28.000000,27.270000,27.980000,11.946852,645900
2002-03-05,27.879999,28.480000,27.760000,28.400000,12.126181,893300
2002-03-06,28.490000,28.650000,28.309999,28.629999,12.224385,677200
2002-03-07,28.600000,28.680000,28.450001,28.600000,12.211576,662700
2002-03-08,28.650000,28.990000,28.559999,28.700001,12.254274,955900
2002-03-11,28.700001,28.770000,28.400000,28.530001,12.181685,1096100
2002-03-12,28.500000,28.610001,28.299999,28.580000,12.203039,642800
2002-03-13,28.549999,28.590000,28.299999,28.549999,12.190225,855200
2002-03-14,28.570000,29.000000,28.559999,28.980000,12.373829,1155000
2002-03-15,28.980000,29.150000,28.879999,29.150000,12.446410,2384500
2002-03-18,28.950001,28.950001,28.540001,28.690001,12.434499,1858400
2002-03-19,28.559999,28.850000,28.549999,28.740000,12.456161,1157700
2002-03-20,28.700001,28.969999,28.680000,28.799999,12.482171,630100
2002-03-21,28.799999,29.120001,28.700001,29.120001,12.620861,1344600
2002-03-22,29.000000,29.280001,28.870001,29.080000,12.603523,953300
2002-03-25,29.150000,29.150000,28.709999,28.830000,12.495172,731200
2002-03-26,28.650000,29.000000,28.650000,28.850000,12.503844,820800
2002-03-27,28.900000,29.190001,28.850000,29.049999,12.590521,1187500
2002-03-28,29.200001,29.330000,28.650000,28.740000,12.456161,1207400
2002-04-01,28.700001,29.000000,28.400000,28.980000,12.560184,982300
2002-04-02,29.049999,29.500000,29.010000,29.330000,12.711874,1128500
2002-04-03,29.299999,29.350000,29.049999,29.350000,12.720545,1001800
2002-04-04,29.450001,29.520000,29.160000,29.480000,12.776890,1045900
2002-04-05,29.490000,29.850000,29.490000,29.670000,12.859231,769800
2002-04-08,29.670000,30.090000,29.670000,30.040001,13.019601,1049600
2002-04-09,30.100000,30.340000,29.959999,30.270000,13.119281,703400
2002-04-10,30.260000,30.959999,30.260000,30.719999,13.314313,767000
2002-04-11,30.750000,30.750000,30.120001,30.469999,13.205962,773600
2002-04-12,30.549999,30.900000,30.400000,30.900000,13.392325,1035700
2002-04-15,30.450001,30.650000,30.320000,30.400000,13.175629,1174700
2002-04-16,30.200001,30.299999,29.600000,29.719999,12.880906,1116500
2002-04-17,29.750000,29.750000,29.200001,29.600000,12.828898,1137800
2002-04-18,29.600000,29.879999,29.400000,29.719999,12.880906,1066400
2002-04-19,29.889999,29.889999,29.389999,29.400000,12.742221,438000
2002-04-22,29.400000,29.490000,28.910000,28.959999,12.551515,752800
2002-04-23,29.110001,29.110001,27.900000,28.240000,12.239461,1682000
2002-04-24,28.280001,28.600000,28.110001,28.180000,12.213456,1267300
2002-04-25,28.190001,28.420000,28.080000,28.200001,12.222129,606000
2002-04-26,28.250000,28.389999,28.110001,28.230000,12.235128,953800
2002-04-29,28.299999,28.299999,28.000000,28.100000,12.178784,462000
2002-04-30,28.049999,28.360001,28.010000,28.200001,12.222129,1076200
2002-05-01,28.299999,28.850000,28.200001,28.799999,12.482171,1077500
2002-05-02,28.799999,29.290001,28.450001,29.219999,12.664204,942100
