Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,17.459999,17.820000,17.360001,17.570000,11.350259,742200
2009-04-08,17.709999,17.950001,17.600000,17.889999,11.556978,412400
2009-04-09,18.250000,18.309999,17.790001,18.049999,11.660339,779200
2009-04-13,17.969999,18.040001,17.590000,17.660000,11.408401,947900
2009-04-14,17.490000,17.580000,17.250000,17.270000,11.156459,855200
2009-04-15,17.209999,17.450001,17.209999,17.389999,11.233977,751300
2009-04-16,17.559999,17.820000,17.389999,17.740000,11.460076,1137400
2009-04-17,17.770000,17.910000,17.700001,17.840000,11.524681,839900
2009-04-20,17.620001,18.010000,17.450001,17.459999,11.279200,875600
2009-04-21,17.450001,17.820000,17.430000,17.610001,11.376099,744500
2009-04-22,17.549999,17.639999,17.330000,17.410000,11.246898,651600
2009-04-23,17.400000,17.400000,17.030001,17.190001,11.104778,1092300
2009-04-24,17.360001,17.420000,17.059999,17.170000,11.091859,830300
2009-04-27,17.020000,17.530001,17.000000,17.330000,11.195217,621000
2009-04-28,17.280001,17.629999,17.219999,17.370001,11.221057,773200
2009-04-29,17.490000,17.790001,17.350000,17.690001,11.427781,744600
2009-04-30,17.809999,17.870001,17.520000,17.530001,11.324420,840600
2009-05-01,17.469999,17.820000,17.410000,17.790001,11.492380,706200
2009-05-04,17.990000,18.049999,17.670000,18.049999,11.660339,691400
2009-05-05,18.000000,18.070000,17.719999,18.010000,11.634496,762000
2009-05-06,18.170000,18.250000,17.830000,18.090000,11.686179,827200
2009-05-07,18.180000,18.350000,17.959999,17.990000,11.621580,1165200
2009-05-08,18.230000,18.490000,17.870001,18.100000,11.692640,1416000
2009-05-11,17.900000,18.100000,17.590000,17.610001,11.376099,941400
2009-05-12,17.740000,17.889999,17.299999,17.469999,11.285657,1332100
2009-05-13,17.330000,17.580000,17.200001,17.250000,11.143537,1047100
2009-05-14,17.350000,17.510000,17.200001,17.350000,11.208139,854000
2009-05-15,17.280001,17.309999,16.830000,16.959999,10.956198,1031600
2009-05-18,17.129999,17.459999,16.910000,17.240000,11.137078,937100
2009-05-19,17.280001,17.410000,17.160000,17.290001,11.169380,745200
2009-05-20,17.350000,17.480000,17.020000,17.070000,11.027254,898800
2009-05-21,16.950001,16.969999,16.600000,16.820000,10.865760,1153000
2009-05-22,16.830000,17.020000,16.700001,16.760000,10.826998,701000
2009-05-26,16.770000,17.480000,16.700001,17.480000,11.292121,1307600
2009-05-27,17.370001,17.559999,17.250000,17.379999,11.227521,1083100
2009-05-28,17.469999,17.750000,17.350000,17.620001,11.382561,725600
2009-05-29,17.620001,17.860001,17.490000,17.850000,11.531140,799200
2009-06-01,18.040001,18.500000,18.000000,18.420000,11.899363,1120200
2009-06-02,18.340000,18.520000,18.340000,18.410000,11.892900,1267700
2009-06-03,18.370001,18.639999,18.139999,18.420000,11.899363,1655000
2009-06-04,18.379999,18.570000,18.290001,18.510000,11.957502,1046300
2009-06-05,18.200001,18.360001,17.879999,18.170000,11.931234,1054000
2009-06-08,18.030001,18.309999,17.639999,17.850000,11.721111,1001500
2009-06-09,17.860001,17.940001,17.430000,17.530001,11.510984,1461100
2009-06-10,17.600000,17.830000,17.530001,17.750000,11.655443,1408800
2009-06-11,17.790001,18.480000,17.780001,18.190001,11.944369,1172300
2009-06-12,18.160000,18.610001,17.969999,18.530001,12.167625,855900
2009-06-15,18.350000,18.469999,17.889999,18.170000,11.931234,935300
2009-06-16,18.299999,18.370001,18.020000,18.129999,11.904971,703100
2009-06-17,18.120001,18.480000,18.100000,18.389999,12.075695,908800
2009-06-18,18.459999,18.780001,18.400000,18.770000,12.325222,663300
2009-06-19,18.820000,18.990000,18.389999,18.510000,12.154496,1142500
2009-06-22,18.320000,18.709999,18.209999,18.490000,12.141362,1167400
2009-06-23,18.459999,18.530001,18.139999,18.230000,11.970634,922400
2009-06-24,18.360001,18.420000,18.139999,18.219999,11.964065,1186900
2009-06-25,19.190001,19.320000,18.389999,19.030001,12.495948,3867800
2009-06-26,19.070000,19.129999,18.330000,18.430000,12.101967,11790000
2009-06-29,18.540001,18.820000,18.510000,18.760000,12.318655,1761800
2009-06-30,18.770000,18.820000,18.469999,18.770000,12.325222,1211100
2009-07-01,18.940001,19.340000,18.809999,19.290001,12.666677,1619800
2009-07-02,19.120001,19.139999,18.620001,18.620001,12.226724,677700
2009-07-06,18.590000,18.830000,18.500000,18.650000,12.246424,1029300
2009-07-07,18.690001,18.750000,18.270000,18.270000,11.996898,582700
2009-07-08,18.290001,18.510000,17.980000,18.180000,11.937802,837100
2009-07-09,18.290001,18.320000,17.920000,18.120001,11.898404,947500
2009-07-10,18.139999,18.170000,17.910000,18.120001,11.898404,568600
2009-07-13,18.100000,18.510000,17.950001,18.510000,12.154496,882100
2009-07-14,18.440001,18.670000,18.219999,18.660000,12.252992,840800
2009-07-15,18.730000,18.969999,18.600000,18.940001,12.436854,800600
2009-07-16,18.830000,19.190001,18.680000,19.080000,12.528783,1034300
2009-07-17,19.030001,19.200001,18.930000,19.160000,12.581312,934300
2009-07-20,19.299999,19.299999,18.910000,19.299999,12.673244,865600
2009-07-21,19.340000,19.540001,19.190001,19.520000,12.817702,936900
2009-07-22,19.559999,19.590000,19.240000,19.340000,12.699508,717500
2009-07-23,19.350000,19.709999,19.139999,19.670000,12.916200,1434400
2009-07-24,19.670000,20.000000,19.559999,19.990000,13.126328,571900
2009-07-27,20.000000,20.000000,19.719999,19.990000,13.126328,553900
2009-07-28,19.910000,19.990000,19.620001,19.860001,13.040965,564600
2009-07-29,19.820000,19.889999,19.490000,19.719999,12.949035,601000
2009-07-30,19.850000,20.080000,19.690001,19.940001,13.093497,335600
2009-07-31,19.930000,19.930000,19.670000,19.670000,12.916200,525100
2009-08-03,19.790001,19.920000,19.620001,19.840000,13.027832,730300
2009-08-04,19.780001,19.900000,19.660000,19.809999,13.008132,489900
2009-08-05,19.780001,19.910000,19.500000,19.610001,12.876803,667400
2009-08-06,19.850000,19.850000,19.510000,19.700001,12.935902,455000
2009-08-07,19.809999,20.370001,19.700001,20.290001,13.323322,666600
2009-08-10,20.250000,20.350000,19.790001,20.070000,13.178863,632800
2009-08-11,20.070000,20.219999,19.889999,20.139999,13.224827,600500
2009-08-12,20.010000,20.370001,19.969999,20.219999,13.277350,520700
2009-08-13,20.250000,20.379999,20.100000,20.350000,13.362724,515200
2009-08-14,20.360001,20.420000,20.090000,20.420000,13.408683,901600
2009-08-17,20.240000,20.330000,19.980000,20.290001,13.323322,720000
2009-08-18,19.889999,20.320000,19.740000,20.250000,13.297056,1358400
2009-08-19,20.010000,20.309999,19.910000,20.219999,13.277350,848200
2009-08-20,20.129999,20.170000,19.950001,20.110001,13.205130,916700
2009-08-21,20.270000,20.480000,20.100000,20.459999,13.434952,909800
2009-08-24,20.559999,20.610001,20.370001,20.590000,13.520317,683300
2009-08-25,20.639999,20.870001,20.559999,20.740000,13.618814,658000
2009-08-26,20.610001,20.760000,20.469999,20.740000,13.618814,642000
2009-08-27,20.700001,20.709999,20.450001,20.610001,13.533448,637700
2009-08-28,20.629999,20.740000,20.459999,20.650000,13.559713,484900
2009-08-31,20.549999,20.620001,20.270000,20.520000,13.474352,888000
2009-09-01,20.480000,20.830000,20.370001,20.480000,13.448085,908700
2009-09-02,20.400000,20.540001,20.250000,20.360001,13.369287,662900
2009-09-03,20.510000,20.510000,20.150000,20.290001,13.323322,1003600
2009-09-04,20.110001,20.170000,19.860001,20.160000,13.436625,522100
2009-09-08,20.190001,20.389999,19.990000,20.250000,13.496613,760600
2009-09-09,20.250000,20.430000,20.160000,20.270000,13.509940,579300
2009-09-10,20.270000,20.430000,20.160000,20.340000,13.556599,659800
2009-09-11,20.389999,20.500000,20.260000,20.360001,13.569927,728100
2009-09-14,20.330000,20.590000,20.280001,20.590000,13.723223,593000
2009-09-15,20.520000,20.860001,20.510000,20.809999,13.869854,704500
2009-09-16,20.809999,21.230000,20.770000,21.219999,14.143117,782000
2009-09-17,21.219999,21.299999,21.049999,21.090000,14.056471,470600
2009-09-18,20.430000,20.990000,20.420000,20.799999,13.863187,1567600
2009-09-21,20.750000,20.750000,20.510000,20.590000,13.723223,1062600
2009-09-22,20.629999,21.559999,20.219999,20.389999,13.589926,1058000
2009-09-23,20.450001,20.730000,20.330000,20.389999,13.589926,926300
2009-09-24,19.730000,19.799999,19.160000,19.480000,12.983406,4077600
