Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,6.330000,6.400000,5.900000,5.930000,4.225749,1564800
2009-04-08,6.040000,6.410000,5.850000,6.050000,4.311261,1075100
2009-04-09,6.200000,6.900000,6.080000,6.890000,4.909849,1923500
2009-04-13,6.770000,7.150000,6.380000,6.870000,4.895598,1431000
2009-04-14,6.760000,6.850000,6.100000,6.140000,4.375396,1436700
2009-04-15,6.010000,6.460000,6.010000,6.420000,4.574926,1410800
2009-04-16,6.430000,7.250000,6.120000,7.020000,5.002489,2539900
2009-04-17,7.000000,7.840000,6.850000,7.610000,5.422927,1875400
2009-04-20,7.570000,7.570000,7.060000,7.130000,5.080875,1386300
2009-04-21,6.960000,7.750000,6.960000,7.700000,5.487059,1135700
2009-04-22,7.530000,7.820000,7.310000,7.490000,5.337415,1020500
2009-04-23,7.520000,7.870000,7.370000,7.730000,5.508438,1590100
2009-04-24,7.730000,8.160000,7.640000,8.000000,5.700840,1450700
2009-04-27,7.810000,8.000000,7.180000,7.390000,5.266152,1888600
2009-04-28,7.270000,7.500000,7.090000,7.180000,5.116505,2065000
2009-04-29,7.290000,7.520000,7.000000,7.340000,5.230522,2095400
2009-04-30,7.370000,7.520000,7.070000,7.110000,5.066624,2156300
2009-05-01,7.170000,7.170000,6.750000,6.800000,4.845716,2819300
2009-05-04,7.020000,7.940000,7.020000,7.890000,5.622455,3138500
2009-05-05,7.140000,7.250000,6.290000,7.090000,5.052370,2166800
2009-05-06,7.130000,7.270000,6.890000,7.130000,5.080875,1991300
2009-05-07,7.350000,7.390000,6.470000,6.490000,4.624808,1782800
2009-05-08,6.720000,7.190000,6.560000,7.060000,5.030993,2096800
2009-05-11,6.800000,7.070000,6.680000,6.880000,4.902725,1236400
2009-05-12,6.950000,6.960000,6.490000,6.790000,4.838590,860300
2009-05-13,6.640000,6.660000,6.310000,6.350000,4.525043,750400
2009-05-14,6.400000,6.810000,6.210000,6.720000,4.788708,1426700
2009-05-15,6.660000,6.860000,6.550000,6.620000,4.717446,1521100
2009-05-18,6.730000,7.250000,6.670000,7.190000,5.123632,768500
2009-05-19,6.970000,7.400000,6.870000,7.300000,5.202017,953400
2009-05-20,7.490000,7.630000,7.000000,7.050000,5.023867,1088100
2009-05-21,6.790000,7.290000,6.760000,7.170000,5.109379,1243800
2009-05-22,7.210000,7.300000,6.880000,6.900000,4.916976,632500
2009-05-26,6.760000,7.530000,6.750000,7.410000,5.280404,928000
2009-05-27,7.370000,7.370000,7.070000,7.170000,5.109379,958000
2009-05-28,7.240000,7.320000,7.030000,7.110000,5.066624,1409000
2009-05-29,7.120000,7.510000,7.070000,7.510000,5.351665,1304900
2009-06-01,7.670000,8.110000,7.560000,7.900000,5.629581,1351800
2009-06-02,7.870000,8.330000,7.720000,8.250000,5.878992,1291400
2009-06-03,7.920000,8.300000,7.570000,8.300000,5.914623,942400
2009-06-04,8.340000,8.650000,8.180000,8.640000,6.156909,875300
2009-06-05,8.750000,9.040000,8.560000,8.690000,6.192537,1282200
2009-06-08,8.750000,8.890000,8.300000,8.410000,5.993009,1156400
2009-06-09,8.430000,8.550000,8.310000,8.460000,6.028639,1173800
2009-06-10,8.510000,8.520000,8.140000,8.460000,6.028639,1419900
2009-06-11,8.490000,8.600000,8.390000,8.430000,6.007263,1391500
2009-06-12,8.410000,8.610000,8.320000,8.530000,6.078520,798800
2009-06-15,8.370000,8.370000,8.030000,8.110000,5.779228,1117200
2009-06-16,8.190000,8.250000,7.830000,7.950000,5.665211,1359800
2009-06-17,8.070000,8.100000,7.820000,7.830000,5.579700,1030500
2009-06-18,7.760000,8.010000,7.750000,7.900000,5.629581,1050800
2009-06-19,8.000000,8.180000,7.920000,8.140000,5.800608,1222200
2009-06-22,8.030000,8.200000,7.850000,7.860000,5.601076,890100
2009-06-23,7.810000,8.010000,7.750000,7.840000,5.586824,770100
2009-06-24,7.950000,8.300000,7.950000,8.060000,5.743598,1126700
2009-06-25,8.060000,8.220000,7.910000,8.070000,5.750725,1091700
2009-06-26,8.010000,8.490000,7.970000,8.420000,6.000135,1229500
2009-06-29,8.380000,8.410000,8.250000,8.270000,5.893245,496300
2009-06-30,8.300000,8.450000,8.190000,8.350000,5.950253,859400
2009-07-01,8.430000,8.600000,8.430000,8.550000,6.092774,494300
2009-07-02,8.340000,8.410000,8.040000,8.040000,5.729345,488000
2009-07-06,7.990000,8.190000,7.950000,8.170000,5.821984,805600
2009-07-07,8.180000,8.260000,7.920000,7.950000,5.665211,760400
2009-07-08,8.020000,8.020000,7.490000,7.670000,5.465682,1132700
2009-07-09,7.720000,7.740000,7.500000,7.500000,5.344539,459600
2009-07-10,7.460000,7.600000,7.380000,7.560000,5.387295,415200
2009-07-13,7.580000,7.860000,7.500000,7.820000,5.572574,453900
2009-07-14,7.790000,7.970000,7.570000,7.950000,5.665211,365000
2009-07-15,8.060000,8.240000,7.970000,8.200000,5.843361,804000
2009-07-16,8.110000,8.380000,7.970000,8.320000,5.928875,372300
2009-07-17,8.260000,8.350000,8.010000,8.100000,5.772102,810800
2009-07-20,8.180000,8.400000,8.100000,8.270000,5.893245,705600
2009-07-21,8.290000,8.300000,7.960000,8.110000,5.779228,540000
2009-07-22,8.020000,8.220000,7.990000,8.110000,5.779228,603600
2009-07-23,8.110000,8.560000,8.080000,8.280000,5.900369,730000
2009-07-24,8.240000,8.550000,8.210000,8.500000,6.057144,498600
2009-07-27,8.510000,8.560000,8.200000,8.360000,5.957378,522700
2009-07-28,8.300000,8.440000,8.220000,8.410000,5.993009,701400
2009-07-29,8.290000,8.450000,8.290000,8.440000,6.014389,407300
2009-07-30,8.540000,8.980000,8.440000,8.800000,6.270926,766700
2009-07-31,8.780000,8.950000,8.670000,8.780000,6.256673,763200
2009-08-03,8.950000,9.040000,8.790000,8.990000,6.406320,1060700
2009-08-04,8.320000,9.120000,8.320000,8.900000,6.342185,3418900
2009-08-05,8.890000,9.090000,8.710000,8.940000,6.370690,1696600
2009-08-06,8.980000,9.210000,8.790000,9.060000,6.456204,1173200
2009-08-07,9.130000,9.960000,9.070000,9.610000,6.848135,1298600
2009-08-10,9.500000,9.580000,9.130000,9.320000,6.641480,904000
2009-08-11,9.230000,9.280000,8.850000,8.930000,6.363562,757200
2009-08-12,8.970000,9.810000,8.800000,9.490000,6.762623,2089600
2009-08-13,9.500000,9.660000,9.240000,9.310000,6.634357,1560300
2009-08-14,9.320000,9.380000,8.860000,9.030000,6.434825,907800
2009-08-17,8.860000,8.910000,8.590000,8.850000,6.306555,878600
2009-08-18,8.910000,9.450000,8.780000,9.370000,6.677111,1369800
2009-08-19,9.230000,9.550000,9.140000,9.540000,6.798253,1006400
2009-08-20,9.540000,9.980000,9.520000,9.920000,7.069044,937000
2009-08-21,10.000000,10.700000,10.000000,10.230000,7.289953,1326800
2009-08-24,10.320000,10.340000,9.990000,10.010000,7.133178,529000
2009-08-25,10.130000,10.280000,9.990000,10.130000,7.218689,962900
2009-08-26,10.090000,10.170000,9.940000,10.060000,7.168810,1742600
2009-08-27,10.130000,10.170000,9.850000,9.970000,7.104674,1029200
2009-08-28,10.110000,10.190000,9.860000,10.190000,7.261448,1692900
2009-08-31,10.090000,10.130000,9.820000,9.900000,7.054791,915100
2009-09-01,9.800000,9.880000,9.400000,9.400000,6.698489,1030900
2009-09-02,9.330000,9.340000,8.890000,8.920000,6.356437,1137900
2009-09-03,9.000000,9.270000,8.910000,9.250000,6.591599,1295400
2009-09-04,9.240000,9.410000,9.100000,9.390000,6.691362,911800
2009-09-08,9.530000,9.710000,9.440000,9.610000,6.848135,916400
2009-09-09,9.620000,9.960000,9.610000,9.780000,6.969277,802800
2009-09-10,9.780000,9.870000,9.640000,9.870000,7.033413,841100
2009-09-11,9.870000,10.070000,9.760000,9.870000,7.033413,393300
2009-09-14,9.800000,10.400000,9.750000,10.390000,7.403968,567100
2009-09-15,10.340000,10.830000,10.280000,10.740000,7.653379,634000
2009-09-16,10.820000,11.240000,10.710000,11.190000,7.974052,831600
2009-09-17,11.200000,11.580000,10.850000,10.900000,7.767397,490500
2009-09-18,10.950000,10.980000,10.720000,10.770000,7.674758,689500
2009-09-21,10.650000,10.840000,10.540000,10.670000,7.603498,382800
2009-09-22,10.810000,11.310000,10.660000,11.200000,7.981177,569900
2009-09-23,11.200000,11.290000,11.020000,11.070000,7.888542,1313100
2009-09-24,11.130000,11.210000,10.390000,10.420000,7.425346,1692100
2009-09-25,10.350000,10.670000,10.230000,10.410000,7.418220,491400
2009-09-28,10.520000,11.160000,10.430000,11.160000,7.952673,572400
2009-09-29,11.140000,11.230000,10.880000,10.910000,7.774526,633300
2009-09-30,10.910000,11.010000,10.450000,10.550000,7.517986,563000
2009-10-01,10.450000,10.850000,9.920000,10.130000,7.218689,1715300
2009-10-02,9.940000,10.380000,9.750000,10.190000,7.261448,967700
2009-10-05,10.230000,10.430000,10.050000,10.140000,7.225816,846800
2009-10-06,10.220000,10.430000,9.930000,10.090000,7.190187,587400
2009-10-07,10.000000,10.190000,9.980000,10.100000,7.197313,335400
2009-10-08,10.220000,10.420000,10.150000,10.260000,7.311328,714600
2009-10-09,10.280000,10.490000,10.250000,10.440000,7.439599,466600
2009-10-12,10.500000,10.590000,10.410000,10.490000,7.475230,251700
2009-10-13,10.500000,10.540000,10.270000,10.320000,7.354084,300600
