Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,9.250000,9.322500,8.872500,8.962500,6.810149,8873200
2009-04-08,9.005000,9.142500,8.800000,9.077500,6.897534,7934800
2009-04-09,9.212500,9.637500,9.160000,9.607500,7.300254,12108000
2009-04-13,9.515000,9.675000,9.227500,9.545000,7.252763,8311200
2009-04-14,9.265000,9.337500,8.667500,8.740000,6.641084,19216800
2009-04-15,8.625000,8.847500,8.597500,8.815000,6.698071,7403600
2009-04-16,8.930000,8.972500,8.667500,8.940000,6.793056,7164400
2009-04-17,8.940000,9.007500,8.815000,8.912500,6.772160,8179600
2009-04-20,8.750000,8.752500,8.577500,8.605000,6.538504,6521600
2009-04-21,8.560000,8.847500,8.527500,8.805000,6.690474,6231600
2009-04-22,8.725000,9.112500,8.687500,8.907500,6.768361,9760400
2009-04-23,8.832500,8.885000,8.595000,8.840000,6.717070,8991200
2009-04-24,8.847500,9.377500,8.757500,9.337500,7.095093,10439600
2009-04-27,9.207500,9.400000,9.092500,9.197500,6.988715,6351600
2009-04-28,9.185000,9.275000,9.030000,9.125000,6.933624,3963200
2009-04-29,9.180000,9.715000,9.162500,9.560000,7.264160,6683200
2009-04-30,9.457500,10.080000,9.457500,9.590000,7.286956,7901200
2009-05-01,9.515000,9.697500,9.287500,9.390000,7.134988,5437200
2009-05-04,9.402500,9.697500,9.365000,9.685000,7.359140,6380800
2009-05-05,9.450000,9.537500,9.200000,9.257500,7.034307,10821200
2009-05-06,9.517500,9.767500,8.982500,9.017500,6.851943,8810000
2009-05-07,9.112500,9.295000,8.895000,9.012500,6.848142,10205200
2009-05-08,9.277500,9.277500,8.937500,9.155000,6.956421,6659200
2009-05-11,8.852500,9.080000,8.837500,8.870000,6.739865,4219200
2009-05-12,8.920000,8.995000,8.682500,8.865000,6.736065,5265600
2009-05-13,8.685000,8.720000,8.320000,8.337500,6.335244,6604800
2009-05-14,8.305000,8.477500,8.200000,8.242500,6.263060,6669200
2009-05-15,8.227500,8.470000,8.205000,8.397500,6.380837,6983200
2009-05-18,8.420000,8.580000,8.307500,8.577500,6.517608,4776400
2009-05-19,8.502500,8.610000,8.347500,8.385000,6.371337,8167600
2009-05-20,8.510000,8.577500,8.225000,8.265000,6.280157,6662800
2009-05-21,8.230000,8.250000,7.960000,8.037500,6.107291,6636400
2009-05-22,8.075000,8.187500,7.885000,8.067500,6.130086,5260400
2009-05-26,8.017500,8.575000,7.945000,8.542500,6.491014,7479200
2009-05-27,8.495000,8.502500,8.152500,8.192500,6.225067,6397200
2009-05-28,8.240000,8.265000,7.932500,8.212500,6.240263,5719600
2009-05-29,8.210000,8.312500,8.100000,8.305000,6.310550,7362800
2009-06-01,8.517500,9.122500,8.515000,9.042500,6.870939,9294400
