Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.937500,13.937500,12.937500,13.250000,12.625987,336400
2000-01-04,13.125000,13.312500,13.062500,13.125000,12.506873,237700
2000-01-05,13.250000,13.562500,13.125000,13.500000,12.864213,284100
2000-01-06,13.437500,14.875000,13.312500,14.812500,14.114902,633100
2000-01-07,14.812500,14.937500,14.250000,14.375000,13.698006,330600
2000-01-10,14.500000,15.125000,14.437500,14.937500,14.234014,169000
2000-01-11,14.812500,15.062500,14.500000,14.500000,13.817119,117400
2000-01-12,14.562500,15.000000,14.500000,14.625000,13.936233,203300
2000-01-13,14.875000,14.875000,14.437500,14.437500,13.757562,592100
2000-01-14,13.250000,13.375000,12.500000,13.312500,12.685545,540700
2000-01-18,13.000000,13.375000,12.375000,13.250000,12.625987,162300
2000-01-19,13.375000,13.750000,13.312500,13.562500,12.923770,179900
2000-01-20,13.812500,13.812500,11.875000,12.000000,11.434856,598600
2000-01-21,12.062500,14.250000,12.000000,12.375000,11.792194,531700
2000-01-24,13.250000,13.625000,12.250000,12.375000,11.792194,200800
2000-01-25,12.312500,12.375000,12.000000,12.250000,11.673083,215600
2000-01-26,12.312500,12.875000,12.000000,12.312500,11.732640,152900
2000-01-27,12.375000,12.375000,11.937500,12.062500,11.494414,103700
2000-01-28,12.187500,12.312500,11.750000,11.750000,11.196630,129300
2000-01-31,12.125000,12.375000,11.750000,12.000000,11.434856,344400
2000-02-01,11.812500,12.250000,11.812500,12.187500,11.613525,245700
2000-02-02,12.062500,12.125000,11.812500,12.000000,11.434856,156600
2000-02-03,12.000000,12.062500,11.437500,11.687500,11.137074,214000
2000-02-04,11.812500,11.937500,11.125000,11.625000,11.077518,365100
2000-02-07,11.750000,11.812500,11.250000,11.625000,11.077518,165800
2000-02-08,11.562500,12.000000,11.562500,11.875000,11.315746,208900
2000-02-09,11.937500,12.250000,11.812500,11.875000,11.315746,245900
2000-02-10,11.875000,13.187500,11.875000,12.500000,11.911309,472100
2000-02-11,12.500000,12.625000,12.000000,12.125000,11.553971,317500
2000-02-14,12.062500,12.125000,11.625000,11.937500,11.375300,230100
2000-02-15,12.062500,12.375000,11.937500,12.312500,11.732640,351500
2000-02-16,12.187500,12.437500,11.812500,11.875000,11.315746,86700
2000-02-17,11.875000,12.375000,11.875000,11.937500,11.375300,86500
2000-02-18,11.875000,11.937500,11.312500,11.312500,10.779736,250900
2000-02-22,11.187500,11.687500,11.187500,11.625000,11.077518,210100
2000-02-23,11.500000,11.500000,11.250000,11.437500,10.898849,211100
2000-02-24,11.312500,11.375000,10.562500,10.625000,10.124613,298100
2000-02-25,10.500000,10.500000,9.937500,9.937500,9.469489,709100
2000-02-28,9.937500,10.250000,9.937500,10.000000,9.529047,557400
2000-02-29,9.937500,10.250000,9.937500,10.062500,9.588603,203700
2000-03-01,10.062500,10.125000,9.875000,9.937500,9.469489,201900
2000-03-02,9.812500,10.125000,9.812500,10.125000,9.648161,521700
2000-03-03,10.250000,11.000000,10.187500,10.437500,9.945943,258800
2000-03-06,10.562500,10.562500,10.125000,10.375000,9.886387,215600
2000-03-07,10.250000,10.312500,10.000000,10.000000,9.529047,273200
2000-03-08,10.000000,10.187500,9.000000,9.500000,9.052595,454400
2000-03-09,9.625000,10.312500,9.375000,10.250000,9.767273,318700
2000-03-10,10.250000,10.625000,10.250000,10.250000,9.767273,354100
2000-03-13,10.312500,10.500000,10.000000,10.000000,9.529047,205900
2000-03-14,10.000000,10.187500,9.812500,10.000000,9.529047,233500
2000-03-15,9.875000,10.562500,9.750000,10.312500,9.826828,494400
2000-03-16,10.562500,12.437500,10.500000,12.250000,11.673083,922400
2000-03-17,11.937500,12.937500,11.062500,11.250000,10.720179,987700
2000-03-20,11.375000,11.812500,11.250000,11.250000,10.720179,276400
2000-03-21,11.375000,11.625000,11.250000,11.500000,10.958406,251200
2000-03-22,11.625000,11.625000,11.375000,11.437500,10.898849,160300
2000-03-23,11.125000,12.375000,11.125000,12.125000,11.553971,289100
2000-03-24,12.125000,12.312500,11.875000,12.312500,11.732640,295100
2000-03-27,12.875000,12.937500,12.062500,12.125000,11.553971,423300
2000-03-28,12.062500,12.375000,12.062500,12.125000,11.553971,139300
2000-03-29,12.437500,12.687500,12.125000,12.187500,11.613525,254900
2000-03-30,12.312500,13.250000,12.312500,12.687500,12.089980,352300
2000-03-31,12.812500,13.000000,12.500000,12.875000,12.268649,324300
2000-04-03,12.937500,12.937500,12.312500,12.562500,11.970865,326900
2000-04-04,12.562500,12.625000,11.625000,12.312500,11.732640,448900
2000-04-05,12.375000,12.500000,12.187500,12.375000,11.792194,249100
2000-04-06,12.625000,12.750000,12.500000,12.625000,12.030422,197000
2000-04-07,12.625000,12.937500,12.500000,12.812500,12.209090,311800
2000-04-10,12.937500,13.500000,12.875000,12.937500,12.328205,211400
2000-04-11,13.062500,13.500000,13.000000,13.312500,12.685545,529300
2000-04-12,13.312500,13.625000,13.250000,13.437500,12.804656,163000
2000-04-13,13.437500,13.937500,13.437500,13.437500,12.804656,198100
2000-04-14,13.125000,13.312500,12.375000,12.437500,11.851752,227800
2000-04-17,12.562500,12.875000,12.187500,12.375000,11.792194,211100
2000-04-18,12.500000,12.687500,12.312500,12.500000,11.911309,189300
2000-04-19,12.500000,12.500000,12.187500,12.250000,11.673083,81300
2000-04-20,12.312500,12.937500,12.250000,12.562500,11.970865,170000
2000-04-24,12.500000,13.000000,12.500000,13.000000,12.387762,226100
2000-04-25,13.625000,13.750000,12.750000,13.125000,12.506873,295200
2000-04-26,13.000000,13.312500,12.750000,12.750000,12.149535,265800
2000-04-27,12.750000,13.250000,12.687500,13.125000,12.506873,310700
2000-04-28,13.000000,13.125000,12.812500,13.000000,12.387762,129600
2000-05-01,13.000000,13.437500,13.000000,13.250000,12.625987,254600
2000-05-02,13.375000,13.437500,13.000000,13.375000,12.745100,211900
2000-05-03,13.375000,14.000000,13.375000,13.937500,13.281107,403100
2000-05-04,14.000000,14.687500,13.937500,14.437500,13.757562,284400
2000-05-05,14.312500,14.875000,14.250000,14.625000,13.936233,206100
2000-05-08,14.500000,14.500000,14.125000,14.250000,13.578892,200900
2000-05-09,14.187500,14.250000,13.312500,13.500000,12.864213,296500
2000-05-10,13.500000,13.718750,13.187500,13.500000,12.864213,186700
2000-05-11,14.000000,14.437500,13.812500,14.187500,13.519336,338100
2000-05-12,14.187500,14.312500,13.625000,13.750000,13.102440,200200
2000-05-15,13.500000,13.687500,13.125000,13.625000,12.983327,386600
2000-05-16,14.000000,14.000000,13.437500,13.562500,12.923770,333100
2000-05-17,13.562500,13.625000,13.125000,13.375000,12.745100,119000
2000-05-18,13.312500,13.437500,13.312500,13.375000,12.745100,118100
2000-05-19,13.250000,13.875000,13.250000,13.687500,13.042882,284500
2000-05-22,13.812500,14.125000,13.687500,13.875000,13.221552,428600
2000-05-23,13.750000,13.937500,13.750000,13.750000,13.102440,143700
2000-05-24,13.625000,13.812500,13.375000,13.812500,13.161996,142300
2000-05-25,13.687500,13.812500,13.312500,13.437500,12.804656,165100
2000-05-26,13.250000,13.500000,12.687500,12.812500,12.209090,402800
2000-05-30,12.812500,12.812500,12.562500,12.750000,12.149535,201700
2000-05-31,12.500000,13.062500,12.500000,12.562500,11.970865,214900
2000-06-01,12.562500,12.937500,12.562500,12.687500,12.089980,505100
2000-06-02,12.562500,12.937500,12.562500,12.750000,12.149535,381500
2000-06-05,12.687500,12.750000,12.500000,12.562500,11.970865,195800
2000-06-06,12.562500,12.875000,12.562500,12.562500,11.970865,172200
2000-06-07,12.562500,12.812500,12.562500,12.812500,12.209090,302900
2000-06-08,12.750000,12.750000,12.500000,12.625000,12.030422,174000
2000-06-09,12.687500,12.812500,12.562500,12.562500,11.970865,102100
2000-06-12,12.562500,12.687500,12.437500,12.437500,11.851752,238200
2000-06-13,12.437500,12.687500,12.437500,12.562500,11.970865,243500
2000-06-14,12.562500,12.937500,12.500000,12.750000,12.149535,233800
2000-06-15,12.875000,12.875000,12.562500,12.687500,12.089980,165300
2000-06-16,12.437500,12.500000,12.312500,12.375000,11.792194,303900
2000-06-19,12.500000,12.750000,12.125000,12.375000,11.792194,285800
2000-06-20,12.312500,12.375000,11.937500,12.062500,11.494414,235100
2000-06-21,12.187500,12.375000,11.875000,12.125000,11.553971,89300
2000-06-22,12.125000,12.187500,11.437500,11.500000,10.958406,286900
2000-06-23,11.750000,11.812500,11.687500,11.687500,11.137074,192400
2000-06-26,11.687500,11.750000,11.312500,11.375000,10.839291,180400
2000-06-27,11.375000,12.062500,11.375000,11.875000,11.315746,313800
2000-06-28,12.000000,12.250000,11.562500,11.812500,11.256186,239300
2000-06-29,12.000000,12.750000,11.750000,12.687500,12.089980,495800
2000-06-30,12.187500,12.562500,11.625000,12.125000,11.553971,1094100
2000-07-03,12.375000,12.625000,12.250000,12.625000,12.030422,103200
2000-07-05,12.750000,12.875000,12.187500,12.312500,11.732640,195200
2000-07-06,12.187500,12.312500,11.500000,11.812500,11.256186,189900
2000-07-07,11.750000,12.062500,11.625000,12.062500,11.494414,198500
2000-07-10,12.125000,12.500000,12.062500,12.437500,11.851752,212900
2000-07-11,12.312500,12.437500,11.750000,11.812500,11.256186,274300
2000-07-12,11.875000,12.062500,11.687500,12.000000,11.434856,102200
2000-07-13,12.125000,12.375000,11.875000,12.000000,11.434856,262700
2000-07-14,12.062500,12.125000,11.875000,12.062500,11.494414,151900
2000-07-17,11.937500,11.937500,11.812500,11.875000,11.315746,350300
2000-07-18,11.875000,12.062500,11.812500,11.812500,11.256186,159200
2000-07-19,11.812500,11.875000,11.500000,11.625000,11.077518,102100
2000-07-20,11.687500,11.750000,11.500000,11.687500,11.137074,156300
2000-07-21,11.562500,11.812500,11.375000,11.437500,10.898849,113400
2000-07-24,11.437500,11.812500,11.125000,11.125000,10.601064,287100
2000-07-25,11.250000,11.500000,11.000000,11.062500,10.541508,328700
2000-07-26,11.125000,11.250000,10.562500,10.625000,10.124613,234100
2000-07-27,10.750000,10.750000,10.125000,10.187500,9.707717,437800
2000-07-28,10.187500,10.187500,9.625000,9.750000,9.290822,436400
2000-07-31,9.750000,10.062500,9.687500,9.875000,9.409932,334000
2000-08-01,10.000000,10.000000,9.812500,9.875000,9.409932,153200
2000-08-02,9.937500,9.937500,9.625000,9.687500,9.231265,347400
2000-08-03,9.750000,9.812500,9.687500,9.687500,9.231265,242600
2000-08-04,9.812500,9.812500,9.375000,9.437500,8.993038,171600
2000-08-07,9.562500,9.750000,9.562500,9.687500,9.231265,138700
2000-08-08,9.625000,9.687500,9.625000,9.687500,9.231265,713100
2000-08-09,9.750000,9.937500,9.562500,9.937500,9.469489,773100
2000-08-10,9.937500,9.937500,9.750000,9.875000,9.409932,299500
2000-08-11,9.875000,10.125000,9.812500,10.062500,9.588603,301100
2000-08-14,10.000000,10.000000,9.812500,10.000000,9.529047,189900
2000-08-15,9.937500,10.000000,9.812500,9.875000,9.409932,66500
2000-08-16,9.875000,9.937500,9.812500,9.875000,9.409932,180400
2000-08-17,9.875000,9.937500,9.625000,9.750000,9.290822,159100
2000-08-18,9.625000,9.812500,9.562500,9.625000,9.171707,113800
2000-08-21,9.562500,9.750000,9.437500,9.437500,8.993038,110800
2000-08-22,9.562500,9.625000,9.437500,9.437500,8.993038,97700
2000-08-23,9.437500,9.437500,9.062500,9.062500,8.635700,183500
2000-08-24,9.187500,9.375000,9.125000,9.125000,8.695256,215100
2000-08-25,9.062500,9.187500,8.875000,8.875000,8.457028,259900
2000-08-28,9.000000,9.125000,8.875000,8.875000,8.457028,232700
2000-08-29,8.875000,8.937500,8.750000,8.750000,8.337916,360400
2000-08-30,8.812500,8.812500,7.750000,7.937500,7.563681,4467500
2000-08-31,7.937500,8.187500,7.812500,7.937500,7.563681,816700
