Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,229.020004,230.220001,226.419998,229.389999,222.783279,1108400
2018-01-04,230.500000,233.479996,229.410004,232.660004,225.959106,673600
2018-01-05,233.300003,235.429993,232.639999,233.750000,227.017715,570100
2018-01-08,233.600006,236.639999,232.369995,236.039993,229.241760,353000
2018-01-09,236.679993,240.130005,236.339996,239.199997,232.310745,513600
2018-01-10,238.059998,238.520004,236.009995,237.330002,230.494614,729900
2018-01-11,237.520004,239.869995,236.279999,239.270004,232.378754,482000
2018-01-12,240.979996,248.000000,240.970001,247.429993,240.303711,423700
2018-01-16,247.600006,248.369995,235.000000,235.149994,228.377396,701900
2018-01-17,237.029999,237.520004,235.520004,237.240005,230.407211,427300
2018-01-18,237.910004,238.210007,236.309998,236.880005,230.057571,329100
2018-01-19,237.970001,243.220001,236.820007,242.119995,235.146667,469500
2018-01-22,241.490005,241.759995,237.160004,238.880005,232.000000,292700
2018-01-23,239.320007,239.320007,234.410004,235.039993,228.270554,382600
2018-01-24,234.990005,239.529999,234.990005,238.139999,231.281296,483300
2018-01-25,238.479996,242.660004,238.289993,241.250000,234.301727,293700
2018-01-26,241.770004,248.149994,239.000000,247.759995,240.624207,395200
2018-01-29,247.169998,249.380005,246.690002,247.699997,240.565933,1065400
2018-01-30,246.940002,246.940002,241.979996,244.789993,237.739761,684400
2018-01-31,246.199997,246.199997,237.399994,237.539993,230.698532,576000
2018-02-01,237.630005,243.720001,237.630005,241.470001,234.515396,465800
2018-02-02,243.699997,245.380005,241.179993,243.770004,236.749146,514400
2018-02-05,241.669998,242.059998,226.029999,228.610001,222.025757,676700
2018-02-06,223.089996,229.619995,221.710007,227.669998,221.112823,713700
2018-02-07,227.669998,238.440002,227.410004,234.820007,228.056900,364600
2018-02-08,234.649994,236.220001,225.320007,225.369995,218.879074,330200
2018-02-09,227.619995,232.300003,222.559998,230.309998,223.676804,499600
2018-02-12,231.330002,237.440002,228.110001,234.929993,228.163727,438800
2018-02-13,233.369995,238.279999,232.449997,237.460007,230.620865,746500
2018-02-14,236.669998,242.470001,236.360001,241.399994,234.447403,492100
2018-02-15,244.059998,255.479996,244.059998,255.389999,248.034470,1055700
2018-02-16,258.529999,267.230011,258.529999,265.700012,258.047546,980900
2018-02-20,265.329987,269.880005,261.730011,266.109985,258.445709,782400
2018-02-21,266.549988,276.690002,265.739990,270.880005,263.078339,848500
2018-02-22,271.309998,272.049988,261.790009,262.829987,255.940506,514100
2018-02-23,263.660004,265.220001,259.700012,265.019989,258.073029,503200
2018-02-26,267.140015,267.890015,264.089996,266.170013,259.192963,757800
2018-02-27,266.660004,270.559998,262.459991,262.760010,255.872345,539500
2018-02-28,263.880005,266.529999,261.910004,262.010010,255.141953,1095900
2018-03-01,262.959991,266.799988,258.549988,260.309998,253.486557,631500
2018-03-02,258.799988,262.440002,255.190002,260.850006,254.012405,478000
2018-03-05,260.130005,261.269989,253.369995,260.079987,253.262573,597100
2018-03-06,260.350006,261.540009,257.339996,258.619995,251.840805,435200
2018-03-07,255.929993,260.130005,253.910004,259.549988,252.746475,516300
2018-03-08,261.170013,262.160004,258.119995,260.950012,254.109772,393800
2018-03-09,262.000000,264.390015,260.579987,264.029999,257.109039,309200
2018-03-12,264.019989,264.260010,257.480011,258.160004,251.392899,513100
2018-03-13,260.010010,260.700012,257.679993,258.670013,251.889557,481900
2018-03-14,259.339996,259.989990,254.679993,255.509995,248.812347,671600
2018-03-15,256.220001,256.250000,252.559998,253.869995,247.215332,510900
2018-03-16,253.160004,255.830002,252.029999,254.089996,247.429581,1103600
2018-03-19,254.000000,255.199997,252.089996,254.000000,247.341934,476700
