Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.875000,10.968750,10.421875,10.453125,4.750762,939200
2000-01-04,10.562500,11.125000,10.031250,10.171875,4.622940,4182800
2000-01-05,10.250000,11.218750,10.250000,11.125000,5.056118,4955200
2000-01-06,11.000000,11.093750,10.656250,11.015625,5.006410,1614800
2000-01-07,11.046875,11.500000,11.046875,11.390625,5.176841,1527200
2000-01-10,11.359375,11.406250,11.171875,11.296875,5.134232,828400
2000-01-11,11.250000,12.000000,11.203125,11.906250,5.411183,2268800
2000-01-12,11.906250,12.062500,11.656250,11.875000,5.396980,1739200
2000-01-13,11.843750,11.875000,11.593750,11.843750,5.382779,1216800
2000-01-14,11.812500,11.812500,11.562500,11.640625,5.290463,1292800
2000-01-18,11.609375,11.671875,11.500000,11.531250,5.240751,1086800
2000-01-19,11.500000,11.656250,11.453125,11.468750,5.212348,1524400
2000-01-20,11.343750,11.359375,11.171875,11.312500,5.141335,721200
2000-01-21,11.312500,11.312500,11.031250,11.234375,5.105828,1639200
2000-01-24,11.281250,11.312500,10.906250,10.953125,4.978004,1156800
2000-01-25,10.984375,10.984375,10.640625,10.875000,4.942498,1735600
2000-01-26,10.937500,11.093750,10.828125,10.921875,4.963802,1256800
2000-01-27,10.937500,11.156250,10.812500,10.953125,4.978004,1490800
2000-01-28,10.906250,10.937500,10.625000,10.937500,4.970903,1366000
2000-01-31,10.937500,10.937500,10.750000,10.781250,4.899892,1068000
2000-02-01,10.781250,11.000000,10.593750,10.640625,4.835977,1871600
2000-02-02,10.593750,11.171875,10.578125,11.125000,5.056118,1673600
2000-02-03,11.140625,11.421875,11.140625,11.343750,5.155539,2622800
2000-02-04,11.281250,11.500000,11.156250,11.500000,5.226550,1538800
2000-02-07,11.406250,11.421875,11.328125,11.359375,5.162639,1466000
2000-02-08,11.343750,11.468750,11.265625,11.328125,5.148437,1636000
2000-02-09,11.296875,11.296875,10.703125,10.765625,4.892789,1392400
2000-02-10,10.750000,10.812500,10.578125,10.781250,4.899892,1899200
2000-02-11,10.765625,10.875000,10.750000,10.796875,4.906990,1075200
2000-02-14,10.796875,10.828125,10.687500,10.687500,4.857285,1627200
2000-02-15,10.734375,10.843750,10.593750,10.843750,4.928295,1233200
2000-02-16,10.812500,10.984375,10.687500,10.734375,4.878587,1738000
2000-02-17,10.750000,10.750000,10.140625,10.171875,4.622940,1798800
2000-02-18,10.218750,10.390625,9.875000,10.093750,4.587433,1432400
2000-02-22,10.093750,10.296875,9.984375,10.109375,4.594532,1156000
2000-02-23,10.046875,10.296875,10.046875,10.171875,4.622940,1468000
2000-02-24,10.281250,10.625000,10.281250,10.625000,4.828876,3400800
2000-02-25,10.593750,10.953125,10.593750,10.718750,4.871486,1851200
2000-02-28,10.687500,10.703125,10.343750,10.406250,4.729460,1020400
2000-02-29,10.468750,11.031250,10.312500,10.968750,4.985104,2206400
2000-03-01,11.031250,11.125000,10.843750,10.937500,4.970903,1875200
2000-03-02,10.937500,11.000000,10.562500,10.984375,4.992207,1177200
2000-03-03,10.968750,11.234375,10.968750,11.218750,5.098729,2203200
2000-03-06,11.093750,11.250000,10.937500,11.187500,5.084526,1827600
2000-03-07,11.156250,11.156250,10.625000,10.625000,4.828876,796000
2000-03-08,10.656250,10.781250,10.437500,10.593750,4.814676,1261600
2000-03-09,10.468750,10.843750,10.468750,10.781250,5.030572,1358400
2000-03-10,10.750000,11.000000,10.656250,10.734375,5.008701,1012000
2000-03-13,10.671875,10.703125,10.484375,10.515625,4.906631,833600
2000-03-14,10.421875,10.484375,10.218750,10.250000,4.782691,899200
2000-03-15,10.312500,10.671875,10.265625,10.468750,4.884758,2139200
2000-03-16,10.812500,11.500000,10.718750,11.281250,5.263875,4383600
2000-03-17,11.281250,11.796875,11.218750,11.234375,5.242004,3069600
2000-03-20,11.234375,11.265625,10.812500,10.921875,5.096188,1115600
2000-03-21,10.984375,11.562500,10.968750,11.312500,5.278456,2819600
2000-03-22,11.218750,11.250000,10.812500,11.031250,5.147223,1467200
2000-03-23,11.093750,11.250000,10.953125,11.062500,5.161805,3941600
2000-03-24,11.250000,11.437500,10.593750,10.703125,4.994117,3626800
2000-03-27,10.734375,11.593750,10.734375,11.265625,5.256586,3370800
2000-03-28,11.171875,11.546875,11.156250,11.312500,5.278456,2541200
2000-03-29,11.312500,11.375000,11.078125,11.140625,5.198258,1204800
2000-03-30,11.156250,11.265625,11.062500,11.093750,5.176386,1135200
2000-03-31,11.031250,11.296875,10.921875,11.187500,5.220130,1413600
2000-04-03,11.187500,11.437500,11.187500,11.421875,5.329491,994400
2000-04-04,11.375000,11.406250,11.046875,11.109375,5.183678,1432800
2000-04-05,11.062500,11.390625,11.015625,11.390625,5.314911,1442800
2000-04-06,11.390625,11.500000,11.250000,11.359375,5.300328,1286400
2000-04-07,11.468750,11.609375,11.343750,11.562500,5.395106,1888800
2000-04-10,11.656250,12.125000,11.625000,12.015625,5.606536,2248800
2000-04-11,12.000000,12.203125,11.703125,11.718750,5.468015,1275600
2000-04-12,11.843750,12.375000,11.843750,12.046875,5.621117,2193200
2000-04-13,12.000000,12.109375,11.765625,11.843750,5.526339,1466400
2000-04-14,11.718750,11.718750,10.796875,10.828125,5.052446,2074800
2000-04-17,10.843750,11.171875,10.843750,11.109375,5.183678,1923600
2000-04-18,11.046875,11.187500,10.625000,10.765625,5.023283,2702800
2000-04-19,10.796875,10.937500,10.750000,10.906250,5.088898,1388400
2000-04-20,10.843750,11.296875,10.750000,11.203125,5.227421,1497200
2000-04-24,11.125000,11.406250,11.109375,11.375000,5.307618,1164400
2000-04-25,11.281250,11.546875,11.265625,11.468750,5.351364,969200
2000-04-26,11.343750,11.343750,10.921875,10.968750,5.118059,907200
2000-04-27,10.687500,10.687500,10.437500,10.671875,4.979539,1710000
2000-04-28,10.531250,10.546875,10.000000,10.453125,4.877469,2980000
2000-05-01,10.390625,10.640625,10.125000,10.640625,4.964956,2110400
2000-05-02,10.046875,10.062500,8.281250,8.781250,4.097364,19872800
2000-05-03,8.765625,9.031250,8.234375,8.281250,3.864062,7747600
2000-05-04,8.203125,8.437500,8.171875,8.328125,3.885935,5055200
2000-05-05,8.250000,8.296875,7.890625,8.000000,3.732831,5269600
2000-05-08,7.968750,8.171875,7.953125,8.046875,3.754704,2919200
2000-05-09,8.078125,8.109375,7.546875,7.687500,3.587017,4825600
2000-05-10,7.671875,7.921875,7.578125,7.781250,3.630762,3864800
2000-05-11,8.000000,8.312500,7.921875,8.250000,3.849482,4458000
2000-05-12,8.203125,8.234375,8.062500,8.140625,3.798448,2509600
2000-05-15,8.343750,8.750000,8.140625,8.296875,3.871354,4741600
2000-05-16,8.296875,8.343750,8.109375,8.203125,3.827610,3523600
2000-05-17,8.140625,8.140625,7.921875,7.968750,3.718249,1531200
2000-05-18,7.906250,8.062500,7.765625,7.843750,3.659924,3063600
2000-05-19,7.718750,7.843750,7.625000,7.671875,3.579726,2194800
2000-05-22,7.671875,7.750000,7.406250,7.484375,3.492239,1352800
2000-05-23,7.453125,7.484375,7.125000,7.234375,3.375588,4148800
2000-05-24,7.296875,7.531250,7.296875,7.484375,3.492239,5483200
2000-05-25,7.468750,7.609375,7.187500,7.250000,3.382876,2380800
2000-05-26,7.218750,7.343750,7.062500,7.140625,3.331841,3257600
2000-05-30,7.250000,7.515625,7.187500,7.500000,3.499528,1550000
2000-05-31,7.375000,7.781250,7.375000,7.718750,3.601598,2736400
2000-06-01,7.718750,8.218750,7.703125,8.156250,3.805738,2491600
2000-06-02,8.125000,8.421875,8.078125,8.109375,3.783866,1662000
2000-06-05,8.125000,8.312500,7.781250,7.921875,3.696378,2606800
2000-06-06,7.937500,7.953125,7.765625,7.859375,3.667214,1271200
2000-06-07,7.875000,8.171875,7.875000,8.062500,3.761993,1554400
2000-06-08,7.984375,8.078125,7.781250,7.843750,3.789265,1896800
2000-06-09,6.875000,7.484375,6.734375,7.171875,3.464687,22227200
2000-06-12,7.250000,7.359375,7.250000,7.296875,3.525074,3919200
2000-06-13,7.265625,7.359375,7.203125,7.312500,3.532621,2598800
2000-06-14,7.312500,7.406250,7.218750,7.265625,3.509977,2696400
2000-06-15,7.265625,7.468750,7.234375,7.328125,3.540169,4370000
2000-06-16,7.328125,7.468750,7.328125,7.390625,3.570363,2214400
2000-06-19,7.390625,7.531250,7.375000,7.500000,3.623200,1962800
2000-06-20,7.406250,7.437500,7.328125,7.421875,3.585460,1949200
2000-06-21,7.375000,7.593750,7.312500,7.500000,3.623200,1885200
2000-06-22,7.484375,7.796875,7.484375,7.750000,3.743973,7072400
2000-06-23,7.750000,7.843750,7.734375,7.796875,3.766620,2903200
2000-06-26,7.796875,7.937500,7.781250,7.921875,3.827005,2020400
2000-06-27,8.046875,8.250000,8.015625,8.140625,3.932682,4481600
2000-06-28,8.171875,8.187500,7.921875,7.937500,3.834554,1711200
2000-06-29,7.968750,8.328125,7.953125,8.234375,3.977974,2498000
2000-06-30,8.343750,8.421875,8.015625,8.093750,3.910037,2324800
2000-07-03,8.000000,8.312500,7.906250,8.203125,3.962874,1231600
2000-07-05,7.937500,8.140625,7.921875,8.000000,3.864748,1745200
2000-07-06,8.000000,8.078125,7.906250,7.921875,3.827005,3821200
2000-07-07,7.984375,8.062500,7.968750,8.000000,3.864748,4270000
2000-07-10,8.000000,8.203125,7.968750,8.000000,3.864748,2208000
2000-07-11,8.062500,8.078125,7.937500,7.937500,3.834554,1727600
2000-07-12,7.843750,8.140625,7.843750,7.984375,3.857199,2580400
2000-07-13,7.984375,8.187500,7.968750,8.171875,3.947780,1296000
2000-07-14,8.234375,8.437500,8.234375,8.296875,4.008168,1849200
2000-07-17,8.281250,8.359375,8.156250,8.164063,3.944005,2642000
2000-07-18,8.125000,8.234375,8.046875,8.093750,3.910037,1468800
2000-07-19,8.156250,8.234375,8.000000,8.156250,3.940230,1604400
2000-07-20,8.203125,8.203125,8.015625,8.078125,3.902490,1703200
2000-07-21,8.125000,8.171875,7.984375,8.000000,3.864748,983600
2000-07-24,8.093750,8.140625,7.921875,8.000000,3.864748,1113200
2000-07-25,7.984375,7.984375,7.859375,7.890625,3.811910,738800
2000-07-26,7.828125,8.046875,7.703125,7.937500,3.834554,1371200
2000-07-27,7.921875,8.093750,7.843750,7.859375,3.796813,1688800
2000-07-28,7.859375,7.921875,7.796875,7.828125,3.781716,1280400
2000-07-31,7.828125,8.078125,7.812500,8.000000,3.864748,1135200
2000-08-01,7.937500,8.078125,7.937500,8.062500,3.894940,1096800
2000-08-02,8.062500,8.125000,8.000000,8.046875,3.887393,1043600
2000-08-03,8.062500,8.062500,8.000000,8.015625,3.872298,750000
2000-08-04,8.062500,8.234375,8.031250,8.078125,3.902490,1367600
2000-08-07,8.046875,8.078125,7.937500,7.953125,3.842102,1086000
2000-08-08,8.000000,8.078125,7.953125,8.000000,3.864748,3652000
2000-08-09,8.000000,8.093750,8.000000,8.093750,3.910037,1716400
2000-08-10,8.093750,8.312500,8.015625,8.265625,3.993070,2420000
2000-08-11,8.296875,8.328125,8.218750,8.234375,3.977974,732400
2000-08-14,8.250000,8.250000,8.031250,8.156250,3.940230,777600
2000-08-15,8.156250,8.375000,8.093750,8.312500,4.015714,989600
2000-08-16,8.375000,8.375000,8.125000,8.125000,3.925135,704000
2000-08-17,8.140625,8.281250,8.109375,8.203125,3.962874,826000
2000-08-18,8.109375,8.109375,7.953125,8.062500,3.894940,616800
2000-08-21,8.031250,8.312500,8.000000,8.156250,3.940230,986800
2000-08-22,8.093750,8.406250,8.046875,8.296875,4.008168,1038400
2000-08-23,8.328125,8.671875,8.296875,8.656250,4.181777,2922000
2000-08-24,8.687500,8.703125,8.484375,8.484375,4.098745,1089200
2000-08-25,8.390625,8.546875,8.390625,8.500000,4.106295,695200
2000-08-28,8.531250,8.671875,8.500000,8.578125,4.144035,845200
2000-08-29,8.609375,8.687500,8.562500,8.609375,4.159134,1013600
2000-08-30,8.625000,8.796875,8.593750,8.687500,4.196874,811600
2000-08-31,8.750000,9.046875,8.750000,8.972656,4.334631,2651600
2000-09-01,9.000000,9.015625,8.812500,8.875000,4.287455,1292400
2000-09-05,8.890625,9.062500,8.875000,9.015625,4.355389,1586400
2000-09-06,9.015625,9.250000,8.937500,9.015625,4.355389,1953200
2000-09-07,9.031250,9.062500,8.843750,8.937500,4.466266,790000
2000-09-08,8.921875,8.984375,8.812500,8.843750,4.419417,981600
2000-09-11,8.875000,9.062500,8.875000,8.937500,4.466266,3463200
2000-09-12,8.937500,8.937500,8.812500,8.859375,4.427224,1956000
2000-09-13,8.750000,8.781250,8.593750,8.671875,4.333525,3588800
2000-09-14,8.656250,8.671875,8.500000,8.578125,4.286677,2139200
2000-09-15,8.500000,8.531250,8.437500,8.484375,4.239827,2988400
2000-09-18,8.375000,8.484375,8.312500,8.359375,4.177363,1369200
2000-09-19,8.375000,8.578125,8.375000,8.390625,4.192979,2212000
2000-09-20,8.375000,8.531250,8.375000,8.515625,4.255445,1808000
2000-09-21,8.515625,8.531250,8.406250,8.500000,4.247637,1704800
2000-09-22,8.437500,8.562500,8.437500,8.515625,4.255445,1639600
2000-09-25,8.531250,8.734375,8.500000,8.531250,4.263252,1238800
2000-09-26,8.656250,8.875000,8.625000,8.625000,4.310102,1437200
2000-09-27,8.625000,8.875000,8.625000,8.843750,4.419417,1637600
2000-09-28,8.859375,9.250000,8.859375,9.250000,4.622427,2236400
2000-09-29,9.234375,9.343750,9.109375,9.265625,4.630236,1516000
2000-10-02,9.265625,9.312500,9.109375,9.218750,4.606812,1205600
2000-10-03,9.203125,9.328125,9.125000,9.140625,4.567772,1196800
2000-10-04,9.125000,9.218750,8.984375,9.031250,4.513114,897600
2000-10-05,9.031250,9.093750,9.000000,9.015625,4.505305,1209200
2000-10-06,8.953125,8.968750,8.625000,8.640625,4.317910,1428400
2000-10-09,8.703125,8.828125,8.687500,8.765625,4.380376,721200
2000-10-10,8.750000,8.812500,8.640625,8.671875,4.333525,748000
2000-10-11,8.734375,8.812500,8.718750,8.750000,4.372567,1112000
2000-10-12,8.812500,8.812500,8.390625,8.453125,4.224211,1265200
2000-10-13,8.421875,8.718750,8.421875,8.656250,4.325719,1016000
2000-10-16,8.656250,8.734375,8.500000,8.625000,4.310102,1670800
2000-10-17,8.609375,8.687500,8.484375,8.515625,4.255445,1217600
2000-10-18,8.406250,8.421875,7.828125,8.000000,3.997775,3826400
2000-10-19,8.062500,8.718750,8.046875,8.671875,4.333525,2356800
2000-10-20,8.640625,8.703125,8.562500,8.640625,4.317910,662800
2000-10-23,8.640625,8.656250,8.468750,8.500000,4.247637,881600
2000-10-24,8.500000,8.609375,8.453125,8.546875,4.271060,959600
2000-10-25,8.531250,8.593750,8.484375,8.531250,4.263252,948400
2000-10-26,8.531250,8.562500,8.437500,8.500000,4.247637,1024400
2000-10-27,8.468750,8.734375,8.453125,8.640625,4.317910,996400
2000-10-30,8.656250,8.984375,8.656250,8.984375,4.489689,1288400
2000-10-31,8.937500,9.015625,8.890625,8.921875,4.458458,1304800
2000-11-01,8.906250,9.000000,8.843750,8.875000,4.435032,1596000
2000-11-02,8.890625,8.906250,8.734375,8.750000,4.372567,2338400
2000-11-03,8.750000,8.781250,8.656250,8.718750,4.356950,866000
2000-11-06,8.671875,8.765625,8.593750,8.718750,4.356950,1344800
2000-11-07,8.531250,8.718750,8.359375,8.515625,4.255445,1597200
2000-11-08,8.515625,8.609375,8.453125,8.515625,4.255445,1788800
2000-11-09,8.515625,8.593750,8.421875,8.484375,4.239827,1412800
2000-11-10,8.484375,8.484375,8.359375,8.375000,4.185168,1034800
2000-11-13,8.328125,8.375000,8.203125,8.281250,4.138324,1746000
2000-11-14,8.312500,8.609375,8.312500,8.484375,4.239827,5093200
2000-11-15,8.468750,8.546875,8.437500,8.500000,4.247637,1427600
2000-11-16,8.500000,8.531250,8.484375,8.484375,4.239827,2863200
2000-11-17,8.500000,8.578125,8.500000,8.500000,4.247637,2982400
2000-11-20,8.500000,8.500000,8.406250,8.437500,4.216405,1878000
2000-11-21,8.453125,8.515625,8.453125,8.484375,4.239827,1066800
2000-11-22,8.484375,8.500000,8.453125,8.468750,4.232020,1402400
2000-11-24,8.468750,8.578125,8.468750,8.546875,4.271060,427200
2000-11-27,8.609375,8.609375,8.531250,8.593750,4.294485,1423600
2000-11-28,8.609375,8.609375,8.531250,8.593750,4.294485,1582000
2000-11-29,8.593750,8.625000,8.218750,8.609375,4.302294,7257600
2000-11-30,8.546875,8.843750,8.453125,8.796875,4.395991,3050000
2000-12-01,8.875000,9.250000,8.875000,9.046875,4.520922,2469600
2000-12-04,9.000000,9.406250,8.984375,9.328125,4.661469,1997200
2000-12-05,9.437500,9.593750,9.406250,9.437500,4.716126,2188000
2000-12-06,9.468750,9.781250,9.359375,9.359375,4.677085,1409600
2000-12-07,9.281250,9.484375,9.281250,9.359375,4.677085,538000
2000-12-08,9.312500,9.390625,9.250000,9.250000,4.775500,1168000
2000-12-11,9.312500,9.312500,9.109375,9.203125,4.751301,1739600
2000-12-12,9.218750,9.343750,9.171875,9.265625,4.783566,1148000
2000-12-13,9.265625,9.359375,9.250000,9.250000,4.775500,1160800
2000-12-14,9.265625,9.328125,9.171875,9.296875,4.799698,1243200
2000-12-15,9.203125,9.328125,9.203125,9.250000,4.775500,1602800
2000-12-18,9.375000,9.625000,9.375000,9.500000,4.904568,1736000
2000-12-19,9.562500,9.843750,9.546875,9.828125,5.073968,2320800
2000-12-20,9.781250,9.984375,9.578125,9.609375,4.961034,2513600
2000-12-21,9.625000,9.796875,9.593750,9.703125,5.009435,1245200
2000-12-22,9.703125,9.812500,9.671875,9.765625,5.041702,738400
2000-12-26,9.734375,9.921875,9.734375,9.843750,5.082035,1401600
2000-12-27,9.859375,9.875000,9.718750,9.765625,5.041702,1447600
2000-12-28,9.781250,10.265625,9.765625,10.187500,5.259504,2000800
2000-12-29,10.218750,10.984375,10.218750,10.343750,5.340169,3858400
2001-01-02,10.281250,10.312500,10.000000,10.062500,5.194969,1778400
2001-01-03,10.062500,10.156250,9.968750,10.046875,5.186903,1872000
2001-01-04,10.140625,10.375000,10.109375,10.109375,5.219169,2094800
2001-01-05,10.156250,10.296875,10.093750,10.140625,5.235302,3181200
2001-01-08,9.687500,9.687500,9.234375,9.375000,4.840034,6743200
2001-01-09,9.281250,9.656250,9.156250,9.453125,4.880367,3927600
2001-01-10,9.406250,9.718750,9.406250,9.609375,4.961034,2392800
2001-01-11,9.546875,9.734375,9.515625,9.531250,4.920700,1526000
2001-01-12,9.546875,9.656250,9.437500,9.531250,4.920700,1732400
2001-01-16,9.515625,9.843750,9.515625,9.796875,5.057834,1466800
2001-01-17,9.859375,9.968750,9.718750,9.734375,5.025569,1814000
2001-01-18,9.750000,10.078125,9.750000,10.015625,5.170767,3009600
2001-01-19,9.984375,10.078125,9.937500,10.046875,5.186903,1904400
2001-01-22,10.046875,10.140625,10.015625,10.062500,5.194969,1581200
2001-01-23,10.078125,10.625000,10.078125,10.562500,5.453103,1968400
2001-01-24,10.500000,10.500000,10.265625,10.296875,5.315969,1523600
2001-01-25,10.296875,10.484375,10.281250,10.343750,5.340169,1664400
2001-01-26,10.359375,10.375000,10.296875,10.312500,5.324037,1251600
2001-01-29,10.275000,10.862500,10.275000,10.827500,5.589915,1297200
2001-01-30,10.850000,11.012500,10.812500,10.900000,5.627344,1987200
2001-01-31,10.925000,10.925000,10.800000,10.837500,5.595078,914000
2001-02-01,10.825000,10.837500,10.747500,10.800000,5.575721,1564000
2001-02-02,10.762500,10.825000,10.650000,10.750000,5.549906,1224000
2001-02-05,10.800000,10.825000,10.687500,10.725000,5.537000,1089200
2001-02-06,10.750000,10.765000,10.612500,10.670000,5.508603,1379200
2001-02-07,10.662500,10.740000,10.450000,10.470000,5.405349,3045200
2001-02-08,10.470000,10.675000,10.470000,10.545000,5.444069,1082000
2001-02-09,10.547500,10.867500,10.530000,10.705000,5.526673,1474000
2001-02-12,10.775000,10.937500,10.765000,10.855000,5.604112,1412800
2001-02-13,10.912500,10.975000,10.797500,10.812500,5.582173,848800
2001-02-14,10.762500,10.862500,10.725000,10.725000,5.537000,1914000
2001-02-15,10.975000,11.370000,10.975000,11.082500,5.721565,3867600
2001-02-16,11.125000,11.400000,11.087500,11.300000,5.833852,2024000
2001-02-20,11.400000,11.432500,11.190000,11.200000,5.782225,1791200
2001-02-21,11.225000,11.232500,11.000000,11.000000,5.678971,2062800
2001-02-22,11.025000,11.032500,10.737500,10.952500,5.654449,1614800
2001-02-23,10.950000,10.985000,10.775000,10.980000,5.668644,937200
2001-02-26,11.100000,11.175000,10.930000,11.172500,5.768029,1710800
2001-02-27,11.175000,11.425000,11.100000,11.362500,5.866121,1891600
2001-02-28,11.725000,12.375000,11.687500,12.325000,6.363030,5765600
2001-03-01,12.287500,12.675000,12.000000,12.475000,6.440471,5290800
2001-03-02,12.462500,12.720000,12.367500,12.650000,6.530817,4108800
2001-03-05,12.625000,12.912500,12.625000,12.725000,6.569540,2057200
2001-03-06,12.787500,12.975000,12.675000,12.762500,6.588896,2713600
2001-03-07,12.762500,13.067500,12.750000,13.055000,6.739906,2915600
2001-03-08,13.062500,13.097500,12.800000,13.062500,6.902395,3130800
2001-03-09,13.075000,13.085000,12.687500,12.745000,6.734620,2521600
2001-03-12,12.687500,12.700000,12.112500,12.132500,6.410970,2332400
2001-03-13,12.132500,12.625000,12.062500,12.575000,6.644792,2102800
2001-03-14,12.350000,12.562500,12.300000,12.500000,6.605161,2401200
2001-03-15,12.500000,12.612500,12.172500,12.500000,6.605161,3881200
2001-03-16,12.500000,12.612500,12.375000,12.492500,6.601198,1940000
2001-03-19,12.492500,12.525000,12.287500,12.487500,6.598557,1632400
2001-03-20,12.487500,12.487500,12.187500,12.187500,6.440030,1413200
2001-03-21,12.190000,12.225000,11.987500,12.002500,6.342275,2163200
2001-03-22,12.002500,12.025000,11.600000,11.875000,6.274902,2914400
2001-03-23,11.925000,12.422500,11.887500,12.137500,6.413612,2528000
2001-03-26,12.200000,12.675000,12.182500,12.625000,6.671212,2206800
2001-03-27,12.650000,12.712500,12.567500,12.625000,6.671212,2494000
2001-03-28,12.625000,12.625000,12.410000,12.487500,6.598557,1623200
2001-03-29,12.490000,12.500000,12.375000,12.425000,6.565530,1991600
2001-03-30,12.475000,12.625000,12.437500,12.515000,6.613090,2043600
2001-04-02,12.577500,12.717500,12.312500,12.387500,6.545717,2276400
2001-04-03,12.325000,12.350000,11.995000,12.035000,6.359449,1268400
2001-04-04,12.037500,12.300000,11.975000,12.300000,6.499482,1875600
2001-04-05,12.300000,12.712500,12.300000,12.625000,6.671212,2588000
2001-04-06,12.500000,12.500000,12.332500,12.445000,6.576099,1351200
2001-04-09,12.445000,12.500000,12.355000,12.500000,6.605161,2052800
2001-04-10,12.500000,12.850000,12.500000,12.767500,6.746512,4068000
2001-04-11,12.775000,12.812500,12.595000,12.695000,6.708202,1588400
2001-04-12,12.695000,12.762500,12.500000,12.752500,6.738585,1050400
2001-04-16,13.000000,13.067500,12.700000,12.875000,6.803317,2639600
2001-04-17,12.875000,13.095000,12.855000,13.045000,6.893148,2297200
2001-04-18,13.045000,13.370000,13.037500,13.210000,6.980334,3084400
2001-04-19,13.212500,13.550000,13.152500,13.507500,7.137534,1853600
2001-04-20,13.500000,13.562500,13.425000,13.427500,7.095263,2019200
2001-04-23,13.427500,13.427500,13.250000,13.370000,7.064881,1984000
2001-04-24,13.375000,13.475000,13.350000,13.362500,7.060919,3721600
2001-04-25,13.362500,13.577500,13.355000,13.500000,7.133578,1813600
2001-04-26,13.437500,13.552500,13.375000,13.412500,7.087340,3498400
2001-04-27,13.375000,13.650000,13.375000,13.650000,7.212836,1617600
2001-04-30,13.675000,13.750000,13.600000,13.750000,7.265678,2190400
2001-05-01,13.687500,13.687500,13.362500,13.477500,7.121687,1538800
2001-05-02,13.487500,13.525000,13.367500,13.445000,7.104511,2266800
2001-05-03,13.447500,13.447500,13.120000,13.250000,7.001474,1844800
2001-05-04,13.300000,13.495000,13.287500,13.345000,7.051672,3760000
2001-05-07,13.375000,13.727500,13.375000,13.552500,7.161318,2369600
2001-05-08,13.552500,13.700000,13.515000,13.615000,7.194343,2142000
2001-05-09,13.550000,13.812500,13.542500,13.807500,7.296063,1665600
2001-05-10,13.925000,13.990000,13.832500,13.945000,7.368715,2191200
2001-05-11,14.000000,14.125000,13.975000,14.012500,7.404387,1967200
2001-05-14,14.000000,14.002500,13.900000,13.972500,7.383249,1146400
2001-05-15,14.062500,14.112500,13.952500,14.020000,7.408349,1199600
2001-05-16,14.037500,14.502500,14.025000,14.492500,7.658026,1606800
2001-05-17,14.492500,14.625000,14.452500,14.552500,7.689729,1416400
2001-05-18,14.550000,14.642500,14.477500,14.615000,7.722755,1108800
2001-05-21,14.617500,15.437500,14.600000,15.427500,8.152089,3119600
2001-05-22,15.425000,15.425000,15.060000,15.092500,7.975071,3080800
2001-05-23,15.050000,15.125000,14.837500,14.987500,7.919591,3140400
2001-05-24,14.962500,15.075000,14.887500,14.975000,7.912984,2383600
2001-05-25,14.950000,15.000000,14.847500,14.930000,7.889207,1757200
2001-05-29,15.112500,15.150000,14.950000,15.037500,7.946012,3893200
2001-05-30,15.037500,15.250000,14.837500,14.842500,7.842967,2229600
2001-05-31,14.825000,14.980000,14.790000,14.910000,7.878637,1172000
2001-06-01,14.850000,15.257500,14.740000,15.240000,8.053012,1763200
2001-06-04,15.240000,15.625000,15.070000,15.565000,8.224747,2885600
2001-06-05,15.525000,16.150000,15.517500,15.932500,8.418938,3286800
2001-06-06,15.932500,15.937500,15.715000,15.790000,8.343641,1858400
2001-06-07,15.715000,16.000000,15.715000,15.980000,8.607577,2166000
2001-06-08,15.977500,15.980000,15.825000,15.925000,8.577951,1897200
2001-06-11,15.937500,15.975000,15.775000,15.875000,8.551021,1092000
2001-06-12,15.875000,15.875000,15.615000,15.812500,8.517358,2576400
2001-06-13,15.875000,15.975000,15.737500,15.750000,8.483687,2019200
