Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,7.947500,7.980000,7.825000,7.847500,5.064669,3162400
2009-04-08,7.882500,8.017500,7.850000,7.975000,5.146955,2215200
2009-04-09,8.090000,8.122500,7.885000,7.927500,5.116299,1664000
2009-04-13,7.925000,7.965000,7.862500,7.922500,5.113072,1054800
2009-04-14,7.880000,7.892500,7.755000,7.837500,5.058216,1411600
2009-04-15,7.775000,7.937500,7.757500,7.937500,5.250024,1912400
2009-04-16,7.975000,7.990000,7.875000,7.970000,5.271521,1609200
2009-04-17,7.975000,8.057500,7.907500,8.022500,5.306247,2520800
2009-04-20,7.995000,8.090000,7.897500,7.905000,5.228531,2083600
2009-04-21,7.887500,7.972500,7.832500,7.895000,5.221915,1692000
2009-04-22,7.865000,7.885000,7.765000,7.772500,5.140893,2034800
2009-04-23,7.770000,7.825000,7.717500,7.785000,5.149159,2164400
2009-04-24,7.785000,7.805000,7.622500,7.657500,5.064827,3432800
2009-04-27,7.390000,7.560000,7.290000,7.497500,4.959000,5065200
2009-04-28,7.507500,7.632500,7.460000,7.595000,5.023490,2433200
2009-04-29,7.637500,7.777500,7.637500,7.702500,5.094593,2525200
2009-04-30,7.725000,7.852500,7.675000,7.822500,5.173962,4580800
2009-05-01,7.805000,7.867500,7.742500,7.827500,5.177268,2221600
2009-05-04,7.855000,7.975000,7.795000,7.917500,5.236796,2599600
2009-05-05,7.900000,7.937500,7.802500,7.842500,5.187191,2208400
2009-05-06,7.865000,7.897500,7.785000,7.835000,5.182230,1945200
2009-05-07,7.865000,7.945000,7.815000,7.850000,5.192152,2006800
2009-05-08,7.915000,8.005000,7.905000,7.990000,5.284750,2018400
2009-05-11,7.967500,8.020000,7.852500,7.890000,5.218608,2096000
2009-05-12,7.890000,8.122500,7.885000,8.092500,5.352547,2513600
2009-05-13,8.030000,8.132500,8.017500,8.105000,5.360815,2829600
2009-05-14,8.105000,8.185000,8.085000,8.110000,5.364120,2241600
2009-05-15,8.095000,8.217500,8.010000,8.147500,5.388924,3098400
2009-05-18,8.185000,8.217500,8.090000,8.217500,5.435225,2634400
2009-05-19,8.215000,8.320000,8.160000,8.277500,5.474909,3143200
2009-05-20,8.282500,8.312500,8.200000,8.237500,5.448452,3251600
2009-05-21,8.445000,8.470000,8.212500,8.412500,5.564199,4476400
2009-05-22,8.382500,8.652500,8.382500,8.557500,5.660106,2234800
2009-05-26,8.542500,8.705000,8.452500,8.675000,5.737822,2249200
2009-05-27,8.650000,8.712500,8.552500,8.567500,5.666721,2151200
2009-05-28,8.602500,8.687500,8.525000,8.660000,5.727903,2348000
2009-05-29,8.657500,8.702500,8.607500,8.685000,5.744439,2254400
2009-06-01,8.730000,8.850000,8.697500,8.812500,5.828769,2225200
2009-06-02,8.812500,8.997500,8.812500,8.920000,5.899870,3039200
2009-06-03,8.887500,8.907500,8.800000,8.840000,5.846957,2032800
2009-06-04,8.860000,8.885000,8.717500,8.775000,5.803965,2407200
2009-06-05,8.872500,8.872500,8.717500,8.772500,5.802313,1825600
2009-06-08,8.775000,8.835000,8.682500,8.770000,5.800658,1838000
2009-06-09,8.755000,8.792500,8.732500,8.762500,5.795697,1420000
2009-06-10,8.785000,8.847500,8.557500,8.612500,5.696486,2395200
2009-06-11,8.602500,8.852500,8.602500,8.735000,5.777508,2124400
2009-06-12,8.712500,8.792500,8.640000,8.782500,5.808927,1940000
2009-06-15,8.700000,8.700000,8.597500,8.640000,5.714674,1853600
2009-06-16,8.642500,8.642500,8.445000,8.480000,5.608846,2072800
2009-06-17,8.410000,8.550000,8.410000,8.480000,5.608846,1931200
2009-06-18,8.472500,8.637500,8.467500,8.587500,5.679948,1588400
2009-06-19,8.650000,8.700000,8.595000,8.620000,5.701446,1807200
2009-06-22,8.580000,8.622500,8.432500,8.450000,5.589005,2556800
2009-06-23,8.492500,8.570000,8.417500,8.530000,5.641918,2130000
2009-06-24,8.557500,8.587500,8.485000,8.537500,5.646877,1742000
2009-06-25,8.480000,8.600000,8.417500,8.587500,5.679948,1999200
2009-06-26,8.545000,8.682500,8.510000,8.617500,5.699792,2284000
2009-06-29,8.585000,8.710000,8.557500,8.705000,5.757665,1615200
2009-06-30,8.680000,8.687500,8.550000,8.635000,5.711365,2447200
2009-07-01,8.645000,8.885000,8.645000,8.862500,5.861839,1193600
2009-07-02,8.810000,8.810000,8.595000,8.630000,5.708059,1367200
2009-07-06,8.577500,8.697500,8.567500,8.687500,5.746093,1490800
2009-07-07,8.685000,8.750000,8.617500,8.642500,5.716330,1464400
2009-07-08,8.675000,8.692500,8.487500,8.547500,5.653492,2563600
2009-07-09,8.550000,8.567500,8.432500,8.530000,5.641918,1939200
2009-07-10,8.517500,8.900000,8.512500,8.622500,5.703099,2659600
2009-07-13,8.680000,8.695000,8.557500,8.670000,5.734514,1248400
2009-07-14,8.685000,8.685000,8.570000,8.627500,5.706405,2244800
2009-07-15,8.662500,8.680000,8.595000,8.675000,5.867031,2690000
2009-07-16,8.675000,8.790000,8.670000,8.782500,5.939735,1580400
2009-07-17,8.777500,8.777500,8.635000,8.650000,5.850122,1715200
2009-07-20,8.657500,8.820000,8.612500,8.812500,5.960023,2506400
2009-07-21,8.850000,8.907500,8.720000,8.777500,5.936354,1811200
2009-07-22,8.780000,8.890000,8.780000,8.830000,5.971858,1345600
2009-07-23,8.830000,9.092500,8.812500,9.007500,6.091905,2044800
2009-07-24,8.997500,9.025000,8.920000,8.972500,6.068235,880000
2009-07-27,8.957500,9.010000,8.870000,8.980000,6.073308,784400
2009-07-28,8.970000,9.010000,8.897500,9.010000,6.093595,1027200
2009-07-29,8.995000,9.052500,8.897500,9.010000,6.093595,1678000
2009-07-30,9.072500,9.135000,9.010000,9.047500,6.118959,2391600
2009-07-31,9.012500,9.097500,8.965000,8.977500,6.071616,1775200
2009-08-03,8.965000,9.032500,8.885000,9.030000,6.107123,1551200
2009-08-04,9.045000,9.125000,9.012500,9.082500,6.142629,1285600
2009-08-05,9.077500,9.107500,8.915000,9.000000,6.086833,2236000
2009-08-06,8.982500,9.057500,8.945000,8.982500,6.074997,1532800
2009-08-07,9.000000,9.070000,8.997500,9.030000,6.107123,1173200
2009-08-10,9.685000,9.760000,9.437500,9.552500,6.460495,6516800
2009-08-11,9.607500,9.625000,9.455000,9.502500,6.426681,2542400
2009-08-12,9.472500,9.582500,9.347500,9.482500,6.413156,2559200
2009-08-13,9.480000,9.490000,9.287500,9.325000,6.306635,2396800
2009-08-14,9.355000,9.422500,9.265000,9.347500,6.321853,1710400
2009-08-17,9.320000,9.372500,9.170000,9.217500,6.233930,2877200
2009-08-18,9.227500,9.262500,9.075000,9.157500,6.193355,2842000
2009-08-19,9.137500,9.352500,9.085000,9.310000,6.296490,2258400
2009-08-20,9.637500,9.637500,9.307500,9.360000,6.330307,2806000
2009-08-21,9.407500,9.515000,9.337500,9.497500,6.423299,2038000
2009-08-24,9.475000,9.475000,9.297500,9.345000,6.320162,2650800
2009-08-25,9.402500,9.417500,9.302500,9.325000,6.306635,2026000
2009-08-26,9.295000,9.350000,9.235000,9.280000,6.276200,2352400
2009-08-27,9.277500,9.305000,9.167500,9.290000,6.282964,1868800
2009-08-28,9.292500,9.292500,9.177500,9.222500,6.237314,1586800
2009-08-31,9.215000,9.260000,9.165000,9.237500,6.247459,2450400
2009-09-01,9.200000,9.352500,9.192500,9.215000,6.232240,3624400
2009-09-02,9.177500,9.217500,9.115000,9.165000,6.198424,2221600
2009-09-03,9.167500,9.192500,9.060000,9.172500,6.203497,1872000
2009-09-04,9.172500,9.232500,9.135000,9.217500,6.233930,1620400
2009-09-08,9.270000,9.355000,9.205000,9.352500,6.325234,1823200
2009-09-09,9.335000,9.335000,9.245000,9.300000,6.289726,1817200
2009-09-10,9.287500,9.305000,9.215000,9.290000,6.282964,1721600
2009-09-11,9.340000,9.380000,9.262500,9.367500,6.335378,1880800
2009-09-14,9.390000,9.392500,9.290000,9.387500,6.348907,2063600
2009-09-15,9.390000,9.397500,9.312500,9.362500,6.331998,2778400
2009-09-16,9.387500,9.387500,9.200000,9.237500,6.247459,3234800
2009-09-17,9.222500,9.255000,9.157500,9.197500,6.220405,2107200
2009-09-18,9.242500,9.292500,9.177500,9.287500,6.281273,3022400
2009-09-21,9.252500,9.312500,9.165000,9.295000,6.286345,1559200
2009-09-22,9.292500,9.302500,9.160000,9.235000,6.245766,1748800
2009-09-23,9.215000,9.347500,9.197500,9.265000,6.266057,1717600
2009-09-24,9.277500,9.277500,9.145000,9.165000,6.198424,1449600
2009-09-25,9.135000,9.135000,8.990000,9.000000,6.086833,3308000
2009-09-28,9.000000,9.025000,8.942500,9.012500,6.095285,3194800
2009-09-29,8.845000,9.000000,8.845000,8.922500,6.034418,3538400
2009-09-30,8.932500,8.937500,8.835000,8.880000,6.005676,4267600
2009-10-01,8.840000,8.920000,8.815000,8.855000,5.988767,3025200
2009-10-02,8.815000,8.920000,8.725000,8.865000,5.995530,3726000
2009-10-05,8.887500,8.887500,8.660000,8.735000,5.907608,3015600
2009-10-06,8.835000,8.835000,8.702500,8.772500,5.932973,2615200
2009-10-07,8.787500,8.852500,8.760000,8.837500,5.976933,2113600
2009-10-08,8.860000,8.870000,8.805000,8.847500,5.983694,1923200
2009-10-09,8.827500,8.867500,8.775000,8.812500,5.960023,1596000
2009-10-12,8.837500,8.857500,8.792500,8.802500,5.953259,1697600
2009-10-13,8.790000,8.832500,8.755000,8.822500,5.966787,1689600
2009-10-14,8.850000,8.937500,8.802500,8.837500,5.976933,2005200
2009-10-15,8.752500,8.942500,8.752500,8.937500,6.044564,2394000
2009-10-16,8.870000,9.077500,8.870000,9.015000,6.096979,2475600
2009-10-19,9.037500,9.197500,9.032500,9.130000,6.174756,3387600
2009-10-20,9.140000,9.170000,9.087500,9.152500,6.189971,2592000
2009-10-21,9.140000,9.320000,9.047500,9.057500,6.255583,1660400
2009-10-22,9.042500,9.102500,8.972500,9.077500,6.269397,1548400
2009-10-23,9.097500,9.137500,9.062500,9.077500,6.269397,2026000
2009-10-26,9.092500,9.185000,9.042500,9.072500,6.265943,1964000
2009-10-27,9.102500,9.230000,9.095000,9.177500,6.338458,1924400
2009-10-28,9.175000,9.237500,9.080000,9.082500,6.272850,2680400
2009-10-29,9.135000,9.272500,9.005000,9.265000,6.398895,2083200
2009-10-30,9.227500,9.377500,9.107500,9.115000,6.295296,3481200
2009-11-02,9.142500,9.230000,9.082500,9.215000,6.364361,2476800
2009-11-03,9.225000,9.320000,9.190000,9.290000,6.416160,2158800
2009-11-04,9.297500,9.342500,9.215000,9.262500,6.397166,1824000
2009-11-05,9.275000,9.397500,9.260000,9.335000,6.447239,1971200
2009-11-06,9.345000,9.397500,9.315000,9.387500,6.483498,2065200
2009-11-09,9.422500,9.512500,9.407500,9.507500,6.566377,1261600
2009-11-10,9.482500,9.600000,9.482500,9.592500,6.625080,1904000
2009-11-11,9.607500,9.607500,9.507500,9.522500,6.576735,1761200
2009-11-12,9.525000,9.617500,9.510000,9.540000,6.588824,1430800
2009-11-13,9.555000,9.600000,9.510000,9.590000,6.623356,1360400
2009-11-16,9.607500,9.655000,9.577500,9.640000,6.657886,1345200
2009-11-17,9.607500,9.665000,9.577500,9.650000,6.664794,890400
2009-11-18,9.662500,9.662500,9.562500,9.627500,6.649256,1125600
2009-11-19,9.622500,9.622500,9.457500,9.592500,6.625080,1292400
2009-11-20,9.567500,9.680000,9.565000,9.572500,6.611269,3222000
2009-11-23,9.640000,9.737500,9.630000,9.722500,6.714866,2377200
2009-11-24,9.947500,10.115000,9.505000,9.562500,6.604361,4736000
2009-11-25,9.570000,9.610000,9.497500,9.522500,6.576735,3332800
2009-11-27,9.405000,9.475000,9.270000,9.390000,6.485226,2266400
2009-11-30,9.375000,9.427500,9.325000,9.380000,6.478319,3045600
2009-12-01,9.392500,9.600000,9.365000,9.562500,6.604361,4289600
2009-12-02,9.545000,9.617500,9.515000,9.557500,6.600910,3010400
2009-12-03,9.555000,9.605000,9.510000,9.522500,6.576735,2070800
2009-12-04,9.545000,9.615000,9.487500,9.602500,6.631988,2174000
2009-12-07,9.607500,9.795000,9.587500,9.745000,6.730405,5170400
2009-12-08,9.745000,9.777500,9.590000,9.630000,6.650981,3762000
2009-12-09,9.647500,9.647500,9.525000,9.597500,6.628534,2372400
2009-12-10,9.647500,9.715000,9.612500,9.627500,6.649256,1726400
2009-12-11,9.630000,9.740000,9.615000,9.647500,6.663067,1571200
2009-12-14,9.617500,9.692500,9.540000,9.577500,6.614723,2084000
2009-12-15,9.547500,9.552500,9.467500,9.495000,6.557743,2323600
2009-12-16,9.530000,9.592500,9.462500,9.475000,6.543930,1816400
2009-12-17,9.492500,9.492500,9.377500,9.395000,6.488677,1620800
2009-12-18,9.442500,9.442500,9.350000,9.430000,6.512850,2443200
2009-12-21,9.407500,9.535000,9.407500,9.445000,6.523211,1430400
2009-12-22,9.437500,9.527500,9.437500,9.515000,6.571555,2103600
2009-12-23,9.507500,9.570000,9.500000,9.512500,6.569829,1963600
2009-12-24,9.540000,9.727500,9.525000,9.692500,6.694147,1091200
2009-12-28,9.725000,9.725000,9.680000,9.712500,6.707962,1322800
2009-12-29,9.712500,9.735000,9.682500,9.707500,6.704507,1322000
2009-12-30,9.685000,9.732500,9.652500,9.685000,6.688968,1028000
2009-12-31,9.677500,9.725000,9.612500,9.612500,6.638894,926000
2010-01-04,9.630000,9.642500,9.525000,9.570000,6.609541,2705200
2010-01-05,9.577500,9.622500,9.505000,9.620000,6.644074,1854400
2010-01-06,9.650000,9.692500,9.537500,9.567500,6.607817,2583200
2010-01-07,9.587500,9.587500,9.442500,9.515000,6.571555,2227200
2010-01-08,9.475000,9.555000,9.447500,9.522500,6.576735,1298800
2010-01-11,9.515000,9.577500,9.500000,9.540000,6.588824,1304800
2010-01-12,9.532500,9.657500,9.500000,9.635000,6.654435,1262800
2010-01-13,9.665000,9.747500,9.645000,9.687500,6.690695,1285600
2010-01-14,9.667500,9.695000,9.587500,9.690000,6.692421,1430000
2010-01-15,9.687500,9.697500,9.600000,9.640000,6.657886,1252800
2010-01-19,9.655000,9.740000,9.615000,9.717500,6.711413,1745200
2010-01-20,9.595000,9.627500,9.517500,9.625000,6.794355,1169200
2010-01-21,9.652500,9.747500,9.562500,9.642500,6.806709,2625600
2010-01-22,9.645000,9.732500,9.625000,9.655000,6.815534,1940800
2010-01-25,9.690000,9.747500,9.605000,9.650000,6.812004,1884400
2010-01-26,9.650000,9.687500,9.562500,9.662500,6.820830,1164800
2010-01-27,9.697500,9.747500,9.647500,9.730000,6.868479,1581600
2010-01-28,9.705000,9.720000,9.600000,9.667500,6.824360,1787200
2010-01-29,9.707500,9.745000,9.635000,9.675000,6.829653,1996800
2010-02-01,9.715000,9.795000,9.657500,9.780000,6.903773,2498800
2010-02-02,9.767500,9.915000,9.765000,9.910000,6.995540,2017200
2010-02-03,9.862500,9.900000,9.812500,9.860000,6.960245,1518400
2010-02-04,9.810000,9.840000,9.695000,9.705000,6.850830,1852000
2010-02-05,9.725000,9.765000,9.650000,9.750000,6.882596,2098800
2010-02-08,9.775000,9.787500,9.710000,9.715000,6.857889,1730000
2010-02-09,9.755000,9.865000,9.720000,9.810000,6.924950,1414000
2010-02-10,9.860000,9.927500,9.777500,9.905000,6.992014,1916000
2010-02-11,9.877500,9.950000,9.772500,9.950000,7.023777,1276000
2010-02-12,9.872500,9.935000,9.822500,9.915000,6.999072,2121200
2010-02-16,9.942500,10.075000,9.897500,10.065000,7.104955,2831200
2010-02-17,10.062500,10.182500,10.062500,10.147500,7.163197,2933200
2010-02-18,10.662500,10.670000,10.462500,10.567500,7.459675,7535600
2010-02-19,10.415000,10.495000,10.207500,10.385000,7.330849,5826400
2010-02-22,10.440000,10.470000,10.347500,10.402500,7.343202,2711600
2010-02-23,10.400000,10.457500,10.285000,10.297500,7.269079,3058400
2010-02-24,10.300000,10.405000,10.295000,10.357500,7.311434,2748000
2010-02-25,10.260000,10.322500,10.212500,10.295000,7.267314,2755200
2010-02-26,10.332500,10.360000,10.237500,10.277500,7.254964,2124400
2010-03-01,10.325000,10.395000,10.290000,10.332500,7.293787,1599600
2010-03-02,10.390000,10.480000,10.332500,10.457500,7.382027,2898800
2010-03-03,10.295000,10.435000,10.192500,10.347500,7.304377,2535200
2010-03-04,10.380000,10.465000,10.362500,10.450000,7.376732,1935200
2010-03-05,10.500000,10.502500,10.422500,10.460000,7.383790,2484800
2010-03-08,10.427500,10.485000,10.377500,10.420000,7.355553,2328400
2010-03-09,10.425000,10.455000,10.380000,10.420000,7.355553,2424800
2010-03-10,10.455000,10.455000,10.345000,10.407500,7.346728,2031600
2010-03-11,10.392500,10.392500,10.275000,10.390000,7.334378,1496800
2010-03-12,10.390000,10.400000,10.267500,10.317500,7.283198,2466400
2010-03-15,10.315000,10.377500,10.292500,10.330000,7.292022,1585600
2010-03-16,10.365000,10.365000,10.307500,10.347500,7.304377,1366000
2010-03-17,10.360000,10.392500,10.297500,10.392500,7.336143,1717600
2010-03-18,10.387500,10.447500,10.362500,10.390000,7.334378,1782800
2010-03-19,10.350000,10.437500,10.277500,10.350000,7.306139,2388800
2010-03-22,10.265000,10.405000,10.265000,10.402500,7.343202,1498400
2010-03-23,10.452500,10.457500,10.342500,10.457500,7.382027,1370800
