Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.093750,5.140625,5.078125,5.125000,2.980772,1007600
2000-01-04,5.093750,5.109375,5.078125,5.078125,2.953509,1453600
2000-01-05,5.078125,5.093750,5.000000,5.046875,2.935333,2352800
2000-01-06,5.015625,5.093750,5.015625,5.078125,2.953509,1042400
2000-01-07,5.062500,5.156250,5.000000,5.078125,2.953509,13342400
2000-01-10,5.000000,5.171875,4.968750,5.062500,2.944420,3460000
2000-01-11,5.062500,5.312500,5.062500,5.281250,3.071648,2286400
2000-01-12,5.281250,5.484375,5.265625,5.453125,3.171613,2401200
2000-01-13,5.390625,5.484375,5.390625,5.437500,3.162527,1471200
2000-01-14,5.421875,5.437500,5.312500,5.421875,3.153440,904000
2000-01-18,5.359375,5.406250,5.296875,5.375000,3.126175,1301200
2000-01-19,5.343750,5.359375,5.312500,5.359375,3.117087,780800
2000-01-20,5.359375,5.640625,5.343750,5.609375,3.262491,4039600
2000-01-21,5.640625,5.812500,5.437500,5.484375,3.189790,1690000
2000-01-24,5.437500,5.562500,5.250000,5.250000,3.053474,1926000
2000-01-25,5.265625,5.359375,5.109375,5.140625,2.989859,690800
2000-01-26,5.156250,5.187500,5.062500,5.093750,2.962597,768400
2000-01-27,5.156250,5.171875,5.015625,5.078125,2.953509,640000
2000-01-28,5.062500,5.062500,4.937500,4.953125,2.880807,687200
2000-01-31,4.953125,5.125000,4.921875,4.921875,2.862631,1022400
2000-02-01,4.937500,5.171875,4.937500,5.109375,2.971685,487600
2000-02-02,5.062500,5.312500,5.046875,5.156250,2.998947,1092000
2000-02-03,5.218750,5.265625,5.000000,5.078125,2.953509,865200
2000-02-04,5.109375,5.140625,4.968750,5.000000,2.908070,482800
2000-02-07,5.015625,5.031250,4.921875,4.921875,2.862631,444000
2000-02-08,4.921875,5.062500,4.859375,4.859375,2.826282,1228800
2000-02-09,4.859375,4.984375,4.828125,4.828125,2.808104,907600
2000-02-10,4.843750,4.921875,4.718750,4.734375,2.753579,717600
2000-02-11,4.781250,5.000000,4.750000,4.843750,2.817194,730000
2000-02-14,4.765625,4.921875,4.765625,4.843750,2.817194,670400
2000-02-15,4.828125,4.890625,4.750000,4.750000,2.762666,974800
2000-02-16,4.750000,4.750000,4.625000,4.640625,2.699053,782800
2000-02-17,4.640625,4.796875,4.625000,4.734375,2.753579,608400
2000-02-18,4.718750,4.718750,4.515625,4.531250,2.635440,1191200
2000-02-22,4.515625,4.593750,4.437500,4.437500,2.580911,993600
2000-02-23,4.500000,4.500000,4.437500,4.484375,2.608175,715600
2000-02-24,4.453125,4.484375,4.359375,4.453125,2.589999,572000
2000-02-25,4.421875,4.531250,4.406250,4.437500,2.580911,753600
2000-02-28,4.375000,4.437500,4.359375,4.359375,2.535474,2339600
2000-02-29,4.421875,4.515625,4.390625,4.453125,2.589999,2493200
2000-03-01,4.406250,4.484375,4.375000,4.421875,2.571826,496800
2000-03-02,4.421875,4.531250,4.421875,4.515625,2.626350,1041200
2000-03-03,4.515625,4.671875,4.468750,4.640625,2.699053,1879200
2000-03-06,4.625000,4.703125,4.500000,4.546875,2.644527,840000
2000-03-07,4.531250,4.781250,4.531250,4.640625,2.699053,1012000
2000-03-08,4.625000,4.671875,4.531250,4.671875,2.717229,882800
2000-03-09,4.687500,4.796875,4.625000,4.656250,2.708141,755200
2000-03-10,4.718750,4.859375,4.656250,4.843750,2.817194,720000
2000-03-13,4.859375,4.859375,4.671875,4.671875,2.717229,641200
2000-03-14,4.687500,4.765625,4.687500,4.750000,2.762666,506000
2000-03-15,4.734375,4.812500,4.734375,4.781250,2.780842,1498000
2000-03-16,4.781250,4.937500,4.765625,4.906250,2.853543,847200
2000-03-17,4.781250,5.031250,4.781250,5.031250,2.926246,897200
2000-03-20,4.968750,4.984375,4.906250,4.937500,2.871719,757600
2000-03-21,4.937500,4.937500,4.812500,4.875000,2.835369,407200
2000-03-22,4.875000,4.921875,4.750000,4.906250,2.853543,10311200
2000-03-23,4.859375,5.031250,4.859375,4.937500,2.871719,974400
2000-03-24,4.906250,5.046875,4.875000,4.953125,2.880807,729600
2000-03-27,4.937500,4.968750,4.859375,4.906250,2.853543,440000
2000-03-28,4.750000,4.875000,4.750000,4.843750,2.817194,692800
2000-03-29,4.843750,4.890625,4.656250,4.750000,2.762666,778800
2000-03-30,4.812500,5.000000,4.812500,4.875000,2.835369,1437600
2000-03-31,4.937500,5.421875,4.937500,5.421875,3.153440,2524000
2000-04-03,5.359375,5.359375,5.156250,5.281250,3.071648,969600
2000-04-04,5.281250,5.343750,4.937500,5.062500,2.944420,1719600
2000-04-05,5.187500,5.609375,5.125000,5.562500,3.235228,1645600
2000-04-06,5.500000,5.812500,5.437500,5.718750,3.326105,1303200
2000-04-07,5.750000,5.968750,5.656250,5.968750,3.471509,1148000
2000-04-10,5.906250,5.906250,5.703125,5.781250,3.362457,1247200
2000-04-11,5.718750,5.812500,5.687500,5.765625,3.353369,506400
2000-04-12,5.781250,5.968750,5.625000,5.765625,3.353369,851600
2000-04-13,5.828125,5.828125,5.531250,5.593750,3.253404,478800
2000-04-14,5.656250,5.656250,5.406250,5.500000,3.198876,2098400
2000-04-17,5.406250,5.609375,5.250000,5.609375,3.262491,871600
2000-04-18,5.609375,5.906250,5.546875,5.906250,3.435158,907200
2000-04-19,5.828125,6.156250,5.718750,6.140625,3.571473,1764400
2000-04-20,6.250000,6.656250,6.250000,6.562500,3.816843,5909200
2000-04-24,6.437500,6.468750,6.125000,6.203125,3.607825,1239600
2000-04-25,6.250000,6.359375,6.250000,6.312500,3.671438,1804800
2000-04-26,6.281250,6.375000,6.250000,6.250000,3.635087,1270400
2000-04-27,6.296875,6.296875,6.015625,6.046875,3.516948,708000
2000-04-28,6.062500,6.187500,6.062500,6.093750,3.544210,1342400
2000-05-01,6.187500,6.312500,6.140625,6.296875,3.662350,1129200
2000-05-02,6.218750,6.343750,6.203125,6.250000,3.635087,1021600
2000-05-03,6.187500,6.296875,6.125000,6.187500,3.598737,709200
2000-05-04,6.250000,6.500000,6.218750,6.453125,3.753227,986400
2000-05-05,6.406250,6.421875,6.218750,6.281250,3.653262,1157200
2000-05-08,6.265625,6.375000,6.265625,6.312500,3.671438,722000
2000-05-09,6.250000,6.515625,6.250000,6.500000,3.780491,1834400
2000-05-10,6.437500,6.500000,6.406250,6.453125,3.753227,1970800
2000-05-11,6.390625,6.546875,6.390625,6.515625,3.789578,1844400
2000-05-12,6.531250,6.921875,6.500000,6.906250,4.016772,2123200
2000-05-15,6.937500,7.046875,6.843750,6.906250,4.016772,3281600
2000-05-16,6.906250,6.953125,6.718750,6.859375,3.989510,3118800
2000-05-17,6.812500,6.890625,6.343750,6.437500,3.744139,2344800
2000-05-18,6.562500,6.875000,6.562500,6.796875,3.953160,2815200
2000-05-19,6.812500,6.937500,6.687500,6.875000,3.998595,7212400
2000-05-22,6.843750,6.859375,6.593750,6.671875,3.880455,485600
2000-05-23,6.671875,6.812500,6.625000,6.703125,3.898633,996800
2000-05-24,6.687500,6.734375,6.625000,6.625000,3.853192,618400
2000-05-25,6.656250,6.921875,6.625000,6.781250,3.944070,839600
2000-05-26,6.781250,6.890625,6.781250,6.859375,3.989510,2360400
2000-05-30,6.906250,7.109375,6.906250,6.906250,4.016772,2498000
2000-05-31,6.921875,7.000000,6.781250,6.781250,3.944070,1023600
2000-06-01,6.843750,7.046875,6.718750,6.968750,4.053123,2939200
2000-06-02,7.015625,7.015625,6.953125,6.968750,4.053123,1921600
2000-06-05,7.015625,7.031250,6.937500,6.968750,4.053123,1367200
2000-06-06,6.968750,6.984375,6.906250,6.937500,4.034947,956400
2000-06-07,7.000000,7.046875,6.875000,6.906250,4.016772,1268400
2000-06-08,6.890625,6.937500,6.843750,6.859375,3.989510,1386400
2000-06-09,6.843750,6.968750,6.828125,6.921875,4.025858,1796400
2000-06-12,6.921875,6.968750,6.875000,6.953125,4.044035,1270800
2000-06-13,6.906250,6.968750,6.875000,6.890625,4.007683,1078400
2000-06-14,6.890625,7.000000,6.890625,6.968750,4.053123,690000
2000-06-15,6.968750,7.031250,6.921875,6.968750,4.053123,562000
2000-06-16,6.937500,7.046875,6.921875,6.937500,4.034947,994000
2000-06-19,6.906250,7.015625,6.875000,7.000000,4.071298,609200
2000-06-20,7.000000,7.015625,6.953125,7.000000,4.071298,839200
2000-06-21,6.984375,7.234375,6.953125,7.140625,4.153087,1290400
2000-06-22,7.078125,7.093750,6.890625,6.953125,4.044035,769600
2000-06-23,6.906250,6.921875,6.781250,6.875000,3.998595,1128000
2000-06-26,6.843750,7.078125,6.843750,7.046875,4.098560,985200
2000-06-27,7.031250,7.218750,6.937500,6.968750,4.053123,669600
2000-06-28,6.968750,7.171875,6.968750,7.062500,4.107649,599200
2000-06-29,7.031250,7.125000,6.937500,7.078125,4.116738,855600
2000-06-30,7.046875,7.062500,6.562500,6.625000,3.853192,2744800
2000-07-03,6.687500,6.859375,6.640625,6.843750,3.980422,656800
2000-07-05,6.781250,6.921875,6.656250,6.828125,3.971335,1054800
2000-07-06,6.687500,6.781250,6.687500,6.718750,3.907719,682400
2000-07-07,6.718750,6.812500,6.718750,6.718750,3.907719,580400
2000-07-10,6.718750,6.984375,6.718750,6.828125,3.971335,603600
2000-07-11,6.890625,6.921875,6.765625,6.796875,3.953160,1067200
2000-07-12,6.828125,6.859375,6.765625,6.781250,3.944070,558400
2000-07-13,6.812500,6.859375,6.734375,6.734375,3.916806,940800
2000-07-14,6.750000,6.968750,6.718750,6.859375,3.989510,705600
2000-07-17,6.906250,7.125000,6.906250,7.031250,4.089475,1719600
2000-07-18,7.015625,7.062500,6.859375,6.875000,3.998595,748400
2000-07-19,6.843750,7.000000,6.843750,7.000000,4.071298,516400
2000-07-20,7.000000,7.312500,6.859375,7.187500,4.180352,2022800
2000-07-21,7.125000,7.312500,7.093750,7.218750,4.198526,1454000
2000-07-24,7.281250,7.375000,7.265625,7.351563,4.275771,738400
2000-07-25,7.343750,7.375000,7.156250,7.375000,4.289404,1058800
2000-07-26,7.375000,7.531250,7.296875,7.531250,4.380280,2105600
2000-07-27,7.515625,7.546875,7.421875,7.437500,4.325753,1245600
2000-07-28,7.500000,7.578125,7.453125,7.453125,4.334841,1328800
2000-07-31,7.437500,7.515625,7.375000,7.421875,4.316665,827200
2000-08-01,7.375000,7.437500,7.328125,7.437500,4.325753,664000
2000-08-02,7.406250,7.515625,7.390625,7.421875,4.316665,1144800
2000-08-03,7.453125,7.453125,7.187500,7.390625,4.298491,1048000
2000-08-04,7.343750,7.390625,7.250000,7.312500,4.253051,973200
2000-08-07,7.375000,7.468750,7.312500,7.390625,4.298491,1029600
2000-08-08,7.281250,7.437500,7.281250,7.421875,4.316665,612800
2000-08-09,7.437500,7.531250,7.406250,7.484375,4.353019,892400
2000-08-10,7.500000,7.531250,7.281250,7.328125,4.262140,7291600
2000-08-11,7.328125,7.406250,7.250000,7.359375,4.280316,494400
2000-08-14,7.421875,7.468750,7.375000,7.468750,4.343930,636000
2000-08-15,7.453125,7.453125,7.281250,7.328125,4.262140,766800
2000-08-16,7.312500,7.437500,7.265625,7.406250,4.307580,556000
2000-08-17,7.437500,7.500000,7.437500,7.500000,4.362104,1213600
2000-08-18,7.500000,7.500000,7.437500,7.484375,4.353019,270800
2000-08-21,7.484375,7.484375,7.312500,7.390625,4.298491,472800
2000-08-22,7.390625,7.468750,7.359375,7.453125,4.334841,614000
2000-08-23,7.390625,7.406250,7.125000,7.156250,4.162175,1066400
2000-08-24,7.140625,7.359375,7.140625,7.312500,4.253051,510000
2000-08-25,7.359375,7.359375,7.281250,7.328125,4.262140,300000
2000-08-28,7.281250,7.312500,7.234375,7.234375,4.207614,372000
2000-08-29,7.250000,7.312500,7.062500,7.312500,4.253051,576800
2000-08-30,7.312500,7.312500,7.125000,7.187500,4.180352,254000
2000-08-31,7.156250,7.281250,7.125000,7.250000,4.216703,736800
2000-09-01,7.250000,7.265625,7.156250,7.250000,4.216703,1102000
2000-09-05,7.250000,7.359375,7.093750,7.296875,4.243966,970800
2000-09-06,7.312500,7.468750,7.296875,7.406250,4.307580,1219600
2000-09-07,7.484375,7.703125,7.406250,7.640625,4.443894,9716800
2000-09-08,7.671875,7.812500,7.593750,7.609375,4.425719,2171600
2000-09-11,7.625000,7.625000,7.515625,7.578125,4.407543,2492000
2000-09-12,7.625000,7.828125,7.625000,7.765625,4.516596,3401200
2000-09-13,7.750000,7.812500,7.687500,7.781250,4.525686,969200
2000-09-14,7.765625,7.875000,7.687500,7.843750,4.562034,2034800
2000-09-15,7.906250,8.000000,7.890625,7.937500,4.616561,2155600
2000-09-18,7.937500,8.062500,7.671875,7.687500,4.471159,2373200
2000-09-19,7.750000,7.750000,7.578125,7.625000,4.434807,2135200
2000-09-20,7.625000,7.625000,7.468750,7.515625,4.371194,1354800
2000-09-21,7.515625,7.609375,7.484375,7.500000,4.362104,1256800
2000-09-22,7.500000,7.640625,7.312500,7.609375,4.425719,1747200
2000-09-25,7.625000,7.859375,7.500000,7.812500,4.543862,1962400
2000-09-26,7.812500,7.875000,7.781250,7.828125,4.552946,1272800
2000-09-27,7.906250,8.343750,7.890625,8.171875,4.752876,2728800
2000-09-28,8.218750,8.906250,8.218750,8.625000,5.016420,5825600
2000-09-29,8.609375,8.671875,8.406250,8.406250,4.889193,3438800
2000-10-02,8.468750,8.468750,8.250000,8.250000,4.798316,1516000
2000-10-03,8.312500,8.421875,8.203125,8.203125,4.771051,1609600
2000-10-04,8.312500,8.343750,8.156250,8.281250,4.816492,1234400
2000-10-05,8.343750,8.531250,8.312500,8.437500,4.907369,996000
2000-10-06,8.437500,8.593750,8.281250,8.343750,4.852841,1175200
2000-10-09,8.359375,8.750000,8.359375,8.609375,5.007334,3513200
2000-10-10,8.968750,8.968750,8.640625,8.718750,5.070947,8134400
2000-10-11,8.718750,8.734375,8.296875,8.312500,4.834665,4953600
2000-10-12,8.375000,8.484375,8.328125,8.390625,4.880106,3464000
2000-10-13,8.406250,8.468750,8.343750,8.437500,4.907369,3049200
2000-10-16,8.500000,8.500000,8.343750,8.500000,4.943718,2192400
2000-10-17,8.500000,8.937500,8.500000,8.843750,5.143652,3225200
2000-10-18,8.828125,9.265625,8.671875,9.203125,5.352664,5079200
2000-10-19,9.328125,9.375000,9.062500,9.109375,5.298141,3257200
2000-10-20,9.171875,9.312500,9.125000,9.234375,5.370841,1706800
2000-10-23,9.234375,9.484375,9.203125,9.343750,5.434458,1962000
2000-10-24,9.296875,9.562500,9.281250,9.406250,5.470806,2879200
2000-10-25,9.343750,9.609375,9.250000,9.515625,5.534421,2066800
2000-10-26,9.578125,9.640625,9.390625,9.437500,5.488982,1256800
2000-10-27,9.484375,9.562500,9.390625,9.421875,5.479896,1552800
