Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,7.710000,7.750000,7.430000,7.450000,5.907569,8766900
2009-04-08,7.640000,7.640000,6.480000,6.570000,5.209762,29760900
2009-04-09,7.500000,17.299999,7.260000,8.250000,6.541938,22025300
2009-04-13,8.210000,9.270000,8.030000,9.230000,7.319042,17944100
2009-04-14,9.010000,9.820000,8.090000,8.200000,6.502288,20579000
2009-04-15,8.080000,8.430000,7.740000,8.350000,6.621233,12110600
2009-04-16,8.420000,8.940000,7.910000,8.610000,6.827404,13755600
2009-04-17,8.550000,9.750000,8.450000,9.050000,7.176309,17450600
2009-04-20,8.560000,8.560000,7.260000,7.400000,5.867920,19757900
2009-04-21,6.860000,7.480000,5.730000,7.050000,5.590384,39941500
2009-04-22,6.490000,6.670000,6.000000,6.150000,4.876718,35407900
2009-04-23,6.330000,6.410000,5.760000,6.140000,4.868787,25579100
2009-04-24,6.170000,7.100000,5.760000,7.000000,5.550736,33591600
2009-04-27,6.660000,6.900000,6.080000,6.160000,4.884646,17551200
2009-04-28,6.130000,6.530000,5.880000,6.070000,4.813281,14370400
2009-04-29,6.180000,6.740000,6.150000,6.260000,4.963945,16473800
2009-04-30,6.560000,6.620000,6.110000,6.150000,4.876718,14723800
2009-05-01,6.190000,6.260000,5.810000,5.880000,4.662617,11362700
2009-05-04,6.000000,7.020000,6.000000,7.020000,5.566595,19441600
2009-05-05,6.820000,7.010000,6.530000,6.590000,5.225620,12984000
2009-05-06,7.000000,8.030000,6.930000,7.690000,6.097878,31818500
2009-05-07,8.100000,8.270000,6.430000,6.780000,5.376285,30502900
2009-05-08,7.280000,7.710000,5.770000,6.970000,5.526947,45272100
2009-05-11,6.800000,6.810000,6.250000,6.280000,4.979802,31790300
2009-05-12,6.410000,6.440000,5.820000,6.000000,4.757772,36702200
2009-05-13,5.940000,6.090000,5.550000,5.650000,4.480236,27301900
2009-05-14,5.580000,6.100000,5.550000,5.930000,4.702266,25536900
2009-05-15,6.040000,6.080000,5.730000,5.800000,4.599181,16259300
2009-05-18,6.030000,6.080000,5.800000,6.050000,4.797421,21304700
2009-05-19,5.950000,6.050000,5.610000,5.700000,4.519886,18169800
2009-05-20,5.820000,5.910000,5.540000,5.640000,4.472306,16528700
2009-05-21,5.630000,5.680000,5.300000,5.440000,4.313714,15723300
2009-05-22,5.530000,5.540000,5.220000,5.260000,4.170982,11529500
2009-05-26,5.330000,5.350000,5.120000,5.200000,4.123403,12014000
2009-05-27,5.020000,5.150000,4.720000,4.760000,3.774500,28013400
2009-05-28,4.930000,5.060000,4.720000,5.030000,3.988602,20706800
2009-05-29,5.080000,5.100000,4.920000,5.000000,3.972710,22999200
2009-06-01,5.100000,5.210000,4.650000,4.740000,3.766129,42752600
2009-06-02,4.600000,4.950000,4.400000,4.820000,3.829690,93025600
2009-06-03,4.990000,5.020000,4.520000,4.600000,3.654891,58231000
2009-06-04,4.810000,5.590000,4.790000,5.500000,4.369979,89970600
2009-06-05,5.740000,5.770000,5.300000,5.430000,4.314360,45789800
2009-06-08,5.370000,5.560000,5.300000,5.460000,4.338198,19775300
2009-06-09,5.510000,5.660000,5.390000,5.640000,4.481215,22067500
2009-06-10,5.750000,5.750000,5.450000,5.600000,4.449434,21319900
