Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,9.270000,9.380000,8.520000,8.560000,5.023325,17008600
2009-04-08,8.520000,8.990000,8.400000,8.940000,5.246322,19263500
2009-04-09,9.160000,10.370000,8.810000,10.280000,6.032684,21536800
2009-04-13,9.850000,10.480000,9.700000,10.170000,5.968132,12645700
2009-04-14,10.050000,10.530000,8.970000,9.070000,5.322612,16371900
2009-04-15,9.380000,10.300000,9.150000,10.210000,5.991604,16629400
2009-04-16,10.330000,11.640000,9.700000,10.900000,6.396524,18046400
2009-04-17,10.900000,11.670000,10.500000,11.080000,6.502154,13676600
2009-04-20,10.810000,10.900000,9.810000,9.900000,5.809686,14786300
2009-04-21,9.520000,11.240000,9.280000,11.020000,6.466946,18342300
2009-04-22,10.510000,11.120000,10.280000,10.300000,6.044423,14355000
2009-04-23,10.450000,10.820000,10.040000,10.770000,6.320236,11761500
2009-04-24,10.800000,12.050000,10.550000,11.670000,6.848389,15031800
2009-04-27,11.360000,11.560000,10.380000,10.760000,6.314368,11731800
2009-04-28,10.490000,11.170000,10.430000,10.800000,6.337840,9614600
2009-04-29,10.950000,11.780000,10.810000,11.330000,6.648862,13248000
2009-04-30,11.630000,12.360000,11.480000,12.020000,7.053782,17683200
2009-05-01,11.950000,11.990000,10.960000,11.150000,6.543232,11899200
2009-05-04,11.360000,12.460000,11.350000,12.460000,7.311991,15365600
2009-05-05,12.230000,12.350000,11.320000,11.510000,6.754493,10868500
2009-05-06,11.810000,12.210000,11.420000,12.090000,7.094859,12442000
2009-05-07,12.330000,12.330000,10.730000,11.070000,6.496285,12746500
2009-05-08,11.350000,12.280000,11.060000,12.090000,7.094859,17454600
2009-05-11,11.530000,11.760000,11.320000,11.400000,6.689943,11168400
2009-05-12,11.550000,11.670000,10.850000,11.150000,6.543232,10068300
2009-05-13,10.900000,10.900000,10.050000,10.170000,5.968132,9882000
2009-05-14,9.990000,10.850000,9.860000,10.670000,6.261553,11098800
2009-05-15,10.570000,10.700000,9.860000,10.060000,5.903580,9454300
2009-05-18,10.300000,11.500000,10.170000,11.380000,6.678205,12496600
2009-05-19,11.210000,11.410000,10.820000,11.050000,6.484549,9638100
2009-05-20,11.290000,11.800000,11.120000,11.220000,6.584312,12549300
2009-05-21,11.000000,11.500000,10.710000,11.290000,6.625391,10621400
2009-05-22,11.330000,11.520000,10.950000,11.000000,6.455208,7218100
2009-05-26,10.940000,12.000000,10.750000,11.910000,6.989230,14604300
2009-05-27,11.950000,11.950000,11.390000,11.470000,6.731020,13394600
2009-05-28,11.650000,11.760000,11.190000,11.570000,6.789705,10219400
2009-05-29,11.620000,11.700000,11.170000,11.690000,6.860125,9623900
2009-06-01,11.850000,12.770000,11.600000,12.380000,7.265042,11742000
2009-06-02,12.140000,12.540000,12.060000,12.160000,7.135936,9021000
2009-06-03,12.080000,12.240000,11.940000,12.160000,7.135936,5017200
2009-06-04,12.230000,12.700000,12.050000,12.620000,7.405883,9994300
2009-06-05,12.760000,12.980000,12.220000,12.400000,7.276779,7339200
2009-06-08,12.370000,12.490000,12.040000,12.280000,7.206357,5880700
2009-06-09,12.180000,12.330000,11.740000,11.880000,6.971623,6557900
2009-06-10,11.990000,12.150000,11.120000,11.440000,6.713417,9947900
2009-06-11,11.380000,11.550000,11.000000,11.070000,6.496285,6777100
2009-06-12,11.160000,11.420000,10.970000,11.350000,6.660599,5985600
2009-06-15,11.260000,11.260000,10.260000,10.390000,6.097239,9938800
2009-06-16,10.470000,10.760000,10.150000,10.260000,6.020951,7818100
2009-06-17,10.220000,10.370000,9.880000,9.960000,5.844896,7171300
2009-06-18,10.080000,10.080000,9.680000,10.000000,5.868371,6484300
2009-06-19,10.140000,10.220000,9.960000,10.170000,5.968132,9114800
2009-06-22,9.940000,10.020000,9.210000,9.270000,5.439980,10426200
2009-06-23,9.330000,9.630000,9.210000,9.440000,5.539741,7062400
2009-06-24,9.510000,9.860000,9.340000,9.760000,5.727530,7232400
2009-06-25,9.620000,9.960000,9.550000,9.960000,5.844896,5744100
2009-06-26,9.930000,10.060000,9.730000,9.970000,5.850765,7547500
2009-06-29,10.000000,10.140000,9.650000,9.880000,5.797951,6104000
2009-06-30,9.950000,10.060000,9.730000,10.050000,5.897712,5220900
2009-07-01,10.110000,10.280000,9.920000,10.200000,6.021691,4060600
2009-07-02,10.050000,10.050000,9.340000,9.340000,5.513977,6960900
2009-07-06,9.050000,9.720000,9.050000,9.720000,5.738315,9126500
