Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,13.750000,13.930000,13.440000,13.520000,12.267147,1629500
2009-04-08,13.730000,14.050000,13.430000,14.020000,12.720814,1410400
2009-04-09,14.380000,15.480000,14.360000,15.300000,13.882199,2114200
2009-04-13,15.080000,15.760000,14.600000,15.480000,14.045519,1465300
2009-04-14,15.280000,15.610000,14.900000,15.130000,13.727953,918400
2009-04-15,15.040000,16.700001,15.040000,16.219999,14.716945,3033700
2009-04-16,16.430000,16.730000,16.070000,16.549999,15.016366,1349400
2009-04-17,16.629999,17.480000,16.410000,16.850000,15.288564,1497100
2009-04-20,16.690001,16.690001,15.470000,15.490000,14.054593,1465000
2009-04-21,15.390000,16.260000,15.320000,16.070000,14.580845,1541300
2009-04-22,15.950000,16.520000,15.610000,15.900000,14.426598,1843500
2009-04-23,15.910000,16.510000,15.650000,16.250000,14.744164,1517400
2009-04-24,16.520000,16.879999,16.309999,16.700001,15.152471,1515700
2009-04-27,16.270000,16.270000,15.060000,15.310000,13.891272,2716900
2009-04-28,15.110000,15.410000,14.780000,14.910000,13.528339,1688000
2009-04-29,15.250000,15.450000,14.580000,14.750000,13.383167,4599000
2009-04-30,14.980000,15.280000,14.600000,15.250000,13.836828,3568800
2009-05-01,15.240000,15.820000,14.710000,15.390000,13.963862,1557100
2009-05-04,15.640000,16.850000,15.600000,16.600000,15.061734,2335500
2009-05-05,16.650000,16.840000,15.890000,16.260000,14.753239,1957300
2009-05-06,16.410000,16.620001,15.820000,16.280001,14.771388,1760800
2009-05-07,16.510000,16.900000,15.940000,16.100000,14.608067,1903300
2009-05-08,16.389999,17.129999,16.100000,17.010000,15.433739,2331900
2009-05-11,16.590000,16.639999,15.660000,15.740000,14.281426,1572500
2009-05-12,15.800000,16.110001,15.160000,15.570000,14.127182,1289200
2009-05-13,15.320000,15.320000,14.300000,14.360000,13.029303,1886800
2009-05-14,14.190000,14.880000,14.190000,14.550000,13.201699,1835800
2009-05-15,14.440000,15.150000,14.440000,14.790000,13.419460,1501200
2009-05-18,14.970000,15.320000,14.570000,15.160000,13.755175,1246600
2009-05-19,15.720000,16.850000,15.710000,16.190001,14.689727,4000600
2009-05-20,16.389999,16.990000,16.080000,16.110001,14.617140,2066400
2009-05-21,15.920000,15.930000,15.400000,15.660000,14.208838,2273500
2009-05-22,15.800000,16.080000,15.500000,15.770000,14.308645,1044800
