Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,7.158309,7.246804,6.902655,7.010816,6.582013,5006100
2009-04-08,7.669617,8.003933,7.158309,7.364799,6.914346,9239700
2009-04-09,7.581121,8.043264,7.433628,8.043264,7.551315,7437300
2009-04-13,7.866273,8.180924,7.630285,8.082596,7.588240,6433600
2009-04-14,7.925271,8.092429,7.581121,7.649951,7.182056,6356300
2009-04-15,7.620452,8.888889,7.541790,8.544740,8.022117,11543700
2009-04-16,8.692232,8.869224,8.121927,8.652901,8.123663,7147300
2009-04-17,8.643068,9.390364,8.643068,9.183874,8.622157,5480200
2009-04-20,8.839725,8.888889,7.384464,7.472960,7.015892,9722900
2009-04-21,7.246804,8.013766,7.227139,7.885939,7.403611,6599000
2009-04-22,7.777778,8.308751,7.472960,7.836775,7.357453,7558900
2009-04-23,8.112094,8.593904,7.610620,8.525074,8.003657,11307400
2009-04-24,8.751229,10.117994,8.633235,9.803343,9.203740,23373400
2009-04-27,9.675516,10.727631,9.587021,9.862340,9.259129,13393400
2009-04-28,9.685349,10.167158,9.410029,9.695182,9.102197,6946900
2009-04-29,10.039331,10.206490,9.734513,9.901671,9.296055,6247500
2009-04-30,10.029498,10.078663,9.528024,9.577188,8.991420,6940400
2009-05-01,9.596853,9.832842,9.154376,9.301868,8.769567,4165200
2009-05-04,9.567355,10.255654,9.528024,10.167158,9.585340,6343400
2009-05-05,10.137660,10.688299,9.950836,10.344150,9.752198,7199600
2009-05-06,10.550639,10.757129,9.577188,10.314651,9.724390,7722400
2009-05-07,10.511308,10.511308,9.419863,9.646018,9.094022,7976900
2009-05-08,9.872173,10.167158,9.292035,10.147492,9.566799,5618000
2009-05-11,9.911505,10.108161,9.518190,9.655850,9.103290,4839900
2009-05-12,9.734513,9.911505,8.987217,9.233038,8.704672,5375700
2009-05-13,8.770895,9.006883,8.377582,8.436578,7.953792,6435800
2009-05-14,8.446411,9.262537,8.230088,8.879056,8.370946,5588800
2009-05-15,8.928220,9.301868,8.554572,8.662733,8.167004,3790100
2009-05-18,9.321534,10.245821,9.124877,9.852508,9.288695,12893100
2009-05-19,9.724681,10.167158,9.616519,9.803343,9.242342,8614700
2009-05-20,10.029498,10.412979,9.675516,9.734513,9.177451,6626700
2009-05-21,9.557522,9.852508,9.095379,9.292035,8.760296,7461600
2009-05-22,9.301868,9.449361,8.967551,9.272369,8.741755,4510300
2009-05-26,9.164208,9.734513,9.095379,9.596853,9.047671,4807400
2009-05-27,9.587021,10.108161,9.174042,9.213372,8.686133,6599500
2009-05-28,9.341200,9.439528,8.416912,8.751229,8.250434,10518700
2009-05-29,8.790561,9.390364,8.780727,9.351032,8.815915,8493400
2009-06-01,9.508358,9.665684,9.193707,9.429695,8.890077,7280700
2009-06-02,9.360866,9.832842,9.193707,9.557522,9.010588,4680000
2009-06-03,9.439528,9.449361,8.918387,9.065880,8.547085,3915400
2009-06-04,9.105211,9.134710,8.672566,8.839725,8.333868,5895200
2009-06-05,9.046214,9.154376,8.200590,8.308751,7.833279,10951900
2009-06-08,8.269420,8.810226,8.220256,8.721730,8.222624,6327300
2009-06-09,8.761062,8.967551,8.603737,8.780727,8.278246,4212400
2009-06-10,8.957719,8.987217,8.308751,8.515241,8.027950,6609300
2009-06-11,8.593904,8.593904,8.023599,8.062930,7.601527,7153600
2009-06-12,8.072763,8.092429,7.767945,7.846608,7.397583,6777600
2009-06-15,7.708948,7.758112,7.413963,7.492625,7.063859,5210500
2009-06-16,7.866273,8.053098,7.463127,7.590954,7.156558,7685900
2009-06-17,7.620452,7.807276,7.256637,7.640118,7.202908,5789900
2009-06-18,7.630285,7.669617,7.286136,7.394297,6.971155,4517900
2009-06-19,7.551622,7.767945,7.433628,7.659784,7.221451,5560900
2009-06-22,7.571288,7.640118,7.286136,7.305801,6.887723,5593800
2009-06-23,7.364799,7.610620,7.158309,7.354966,6.934073,5164900
2009-06-24,7.472960,7.984267,7.453294,7.689282,7.249260,8562000
2009-06-25,8.013766,9.075713,7.954769,9.036382,8.519270,23192100
2009-06-26,8.957719,9.282203,8.751229,9.026548,8.510001,8084000
2009-06-29,9.154376,9.577188,9.006883,9.547689,9.001319,11342000
2009-06-30,9.508358,9.803343,9.390364,9.528024,8.982779,8809500
2009-07-01,9.596853,9.636185,9.242871,9.459194,8.917889,8319700
2009-07-02,9.233038,9.341200,8.918387,9.006883,8.491460,4789300
2009-07-06,8.849558,8.997050,8.682399,8.820059,8.315327,7630000
2009-07-07,8.731564,8.761062,8.348083,8.387414,7.907440,4810200
2009-07-08,8.426745,8.446411,7.846608,8.082596,7.620066,8835500
2009-07-09,8.190757,8.466077,8.161259,8.328417,7.851821,6138900
2009-07-10,8.269420,8.269420,7.876106,8.180924,7.712769,4932000
2009-07-13,8.210423,8.367748,7.846608,8.328417,7.851821,5907400
2009-07-14,8.220256,8.721730,8.161259,8.643068,8.148468,5861600
2009-07-15,8.859390,9.213372,8.820059,8.997050,8.482191,5076400
2009-07-16,8.997050,9.508358,8.849558,9.390364,8.852994,5069300
2009-07-17,9.636185,9.832842,9.429695,9.577188,9.029130,5130200
2009-07-20,9.675516,10.000000,9.547689,9.734513,9.215940,3328100
2009-07-21,9.813176,9.921337,9.449361,9.695182,9.178704,4089200
2009-07-22,9.596853,10.698132,9.577188,10.442478,9.886191,10975800
2009-07-23,10.570305,11.543756,10.471976,11.071780,10.481971,13708200
2009-07-24,10.884955,11.061947,10.560472,10.924287,10.342333,5275400
2009-07-27,11.170108,11.819076,10.491642,11.671583,11.049824,15448000
2009-07-28,11.248771,11.573255,10.953786,11.445428,10.835718,11829300
2009-07-29,11.297935,11.553589,11.071780,11.445428,10.835718,5192000
2009-07-30,11.612586,11.661750,11.189774,11.494592,10.882260,6559200
2009-07-31,11.435595,11.799410,11.376597,11.642084,11.021894,5781400
2009-08-03,11.828909,12.084562,11.701081,12.005899,11.366330,5637500
2009-08-04,11.838741,12.645035,11.465094,12.359882,11.701456,8565400
2009-08-05,12.369715,12.851524,12.153393,12.487709,11.822472,7612200
2009-08-06,12.448378,12.684366,12.133727,12.261554,11.608361,6158800
2009-08-07,12.635201,13.588987,12.536873,13.205506,12.502028,11470100
2009-08-10,13.156343,13.156343,12.536873,12.605703,11.934184,7723700
2009-08-11,12.586038,12.831859,12.192723,12.782694,12.101744,7233600
2009-08-12,13.244838,13.726647,13.048181,13.294002,12.585812,8077900
2009-08-13,13.529990,13.746313,13.097345,13.520157,12.799923,6821900
2009-08-14,13.520157,13.559488,12.959685,13.185841,12.483414,6213400
2009-08-17,12.645035,12.969519,12.182891,12.615536,11.943488,7999500
2009-08-18,12.556539,13.028515,12.448378,12.969519,12.278616,5362400
2009-08-19,12.546706,13.382498,12.487709,13.294002,12.585812,6956200
2009-08-20,13.352999,14.070796,13.284169,13.834808,13.097810,6957500
2009-08-21,14.051131,14.405113,13.952803,14.277287,13.516717,6608200
2009-08-24,14.444445,14.985250,14.257621,14.326450,13.563260,7628100
2009-08-25,14.572271,15.162242,14.483776,14.719764,13.935624,8191700
2009-08-26,14.896755,15.506392,14.552606,15.319568,14.503474,10839600
2009-08-27,15.044248,15.122910,14.355948,15.083579,14.280056,8941300
2009-08-28,15.191740,15.653884,14.837758,15.467060,14.643110,6788600
2009-08-31,15.201573,15.201573,14.650934,14.896755,14.103187,7733100
2009-09-01,14.827926,15.368731,14.159292,14.228122,13.470173,8000700
2009-09-02,14.011800,14.385448,13.756145,13.815143,13.079194,5866600
2009-09-03,13.883972,14.296952,13.628319,14.247787,13.488791,5499100
2009-09-04,14.365782,14.857424,14.169125,14.847591,14.056641,4515400
2009-09-08,15.122910,15.231071,14.670600,15.142576,14.335915,4771600
2009-09-09,15.083579,15.535890,14.798427,15.339233,14.522092,8373600
2009-09-10,15.467060,15.644052,14.995084,15.594887,14.764127,5016500
2009-09-11,15.644052,15.860373,15.221239,15.447394,14.624492,4729600
2009-09-14,15.231071,15.408063,14.995084,15.408063,14.587253,3390900
2009-09-15,15.486726,16.076696,15.437561,15.998034,15.145797,6121800
2009-09-16,16.175024,17.099312,16.106195,17.089479,16.179098,6815100
2009-09-17,17.118977,17.364798,16.017698,16.322517,15.452993,7522400
2009-09-18,16.804327,17.079645,16.263519,16.263519,15.397141,8400500
2009-09-21,15.840708,15.899705,14.985250,15.752213,14.913070,8908300
2009-09-22,15.889873,16.135693,15.496558,15.624386,14.792054,5356600
2009-09-23,15.604720,15.830875,15.250737,15.250737,14.438310,6091700
2009-09-24,15.486726,15.762045,14.296952,14.572271,13.795983,8803100
2009-09-25,14.375614,14.739429,14.159292,14.346116,13.581882,5680000
2009-09-28,14.464110,14.621435,14.208456,14.405113,13.637737,4251800
2009-09-29,14.670600,15.083579,14.473943,14.523108,13.749439,5322700
2009-09-30,14.532940,14.631269,13.834808,14.011800,13.265371,6688900
2009-10-01,13.903638,13.903638,12.979351,13.028515,12.334470,9376100
2009-10-02,12.733530,13.058014,12.389380,12.812193,12.129668,7436100
2009-10-05,13.058014,13.372664,12.772861,13.136677,12.436871,6660400
2009-10-06,13.362832,13.874140,13.313667,13.451327,12.734756,6205000
2009-10-07,13.461161,13.470993,12.940020,12.959685,12.269306,6431200
2009-10-08,13.264503,14.434611,13.126843,14.149459,13.395696,10299100
2009-10-09,14.169125,14.365782,13.815143,14.090462,13.339844,5760500
2009-10-12,14.257621,14.434611,13.962635,14.100295,13.349151,3710000
2009-10-13,14.080629,14.995084,14.011800,14.877090,14.084564,9914600
2009-10-14,15.191740,15.221239,14.660767,14.936087,14.140423,7009400
2009-10-15,14.788594,14.945919,14.700098,14.827926,14.038024,3827900
2009-10-16,14.680432,14.798427,14.336283,14.405113,13.637737,3893200
2009-10-19,14.552606,14.700098,14.100295,14.149459,13.395696,3652700
2009-10-20,14.139627,14.139627,13.647985,13.746313,13.014028,4412900
2009-10-21,13.765979,14.090462,13.431662,13.451327,12.771926,3885100
2009-10-22,13.352999,14.641101,13.176008,14.473943,13.742886,7313400
2009-10-23,14.552606,14.936087,13.667650,13.893806,13.192053,7261600
2009-10-26,13.893806,14.355948,13.274336,13.343166,12.669223,6327000
2009-10-27,13.343166,13.756145,13.176008,13.421829,12.743913,5867300
2009-10-28,13.156343,13.264503,12.310718,12.418880,11.791624,7974900
2009-10-29,12.782694,13.018682,12.428712,12.704031,12.062368,7132500
2009-10-30,12.595870,12.772861,12.291052,12.389380,11.763612,8153200
2009-11-02,12.556539,12.841691,11.848575,12.379548,11.754274,8679500
2009-11-03,12.133727,12.910522,12.094396,12.871190,12.221087,5326000
2009-11-04,12.979351,13.893806,12.969519,13.313667,12.641218,8441300
2009-11-05,13.461161,14.031466,13.008849,13.284169,12.613208,6650900
2009-11-06,13.451327,14.110127,13.372664,13.903638,13.201386,7505200
2009-11-09,14.169125,14.405113,13.952803,14.365782,13.640191,5013600
2009-11-10,14.365782,14.621435,13.893806,14.060964,13.350769,4704400
2009-11-11,14.562439,15.063913,14.375614,14.867256,14.116336,7336000
2009-11-12,14.857424,14.857424,14.218289,14.296952,13.574839,3980700
2009-11-13,14.326450,14.729597,14.169125,14.228122,13.509480,3452200
2009-11-16,14.493608,14.749263,14.237955,14.405113,13.677535,4262800
2009-11-17,14.346116,14.552606,14.100295,14.277287,13.556164,4306100
2009-11-18,14.021632,14.719764,14.021632,14.375614,13.649524,3353300
2009-11-19,14.267453,14.267453,13.618485,13.933137,13.229392,4819700
2009-11-20,13.598820,13.726647,13.264503,13.441495,12.762588,5063900
2009-11-23,13.765979,14.031466,13.313667,13.421829,12.743913,4644600
2009-11-24,13.382498,13.500492,12.674533,12.822025,12.174406,7453400
2009-11-25,12.881022,13.077680,12.802360,12.920354,12.267766,3336900
2009-11-27,12.487709,12.871190,12.350049,12.645035,12.006351,2175400
2009-11-30,12.664701,12.812193,12.330383,12.458210,11.828967,5054900
2009-12-01,12.654867,12.949853,12.595870,12.664701,12.025027,4964800
2009-12-02,12.772861,12.930187,12.418880,12.576204,11.941002,3649100
2009-12-03,12.576204,12.576204,12.015733,12.045231,11.436845,6790500
2009-12-04,12.418880,12.527040,11.887906,12.222222,11.604896,4890900
2009-12-07,12.251720,12.379548,11.750246,11.789577,11.194105,5580000
2009-12-08,11.622418,11.848575,11.524091,11.622418,11.035389,5007700
2009-12-09,11.789577,11.809243,11.504425,11.651917,11.063398,3647700
2009-12-10,11.838741,11.848575,11.386431,11.435595,10.858002,3585700
2009-12-11,11.435595,11.691249,11.366765,11.651917,11.063398,3845900
2009-12-14,11.848575,12.045231,11.553589,11.986234,11.380829,3732300
2009-12-15,11.907571,12.153393,11.779744,11.848575,11.250123,5507300
2009-12-16,11.956736,12.527040,11.897738,12.409046,11.782285,5142300
2009-12-17,12.251720,12.399214,11.996067,12.114061,11.502201,3307400
2009-12-18,12.123894,12.261554,11.858407,12.241888,11.623569,5201600
2009-12-21,12.310718,12.684366,12.064897,12.645035,12.006351,5336600
2009-12-22,12.733530,13.225172,12.635201,13.048181,12.389137,6706600
2009-12-23,13.215340,13.303835,12.999017,13.048181,12.389137,5775200
2009-12-24,13.038348,13.156343,12.999017,13.136677,12.473165,526100
2009-12-28,13.235005,13.264503,12.645035,12.733530,12.090381,2757900
2009-12-29,12.802360,12.861357,12.438544,12.625369,11.987682,2466400
2009-12-30,12.576204,12.871190,12.458210,12.694199,12.053036,2020800
2009-12-31,12.713864,12.723697,12.527040,12.556539,11.922328,1627900
