Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,5.410000,5.650000,4.330000,4.450000,4.238373,36302900
2009-04-08,4.750000,4.980000,4.430000,4.750000,4.524107,12649500
2009-04-09,4.910000,5.330000,4.730000,5.300000,5.047951,18129500
2009-04-13,5.990000,6.330000,5.620000,6.250000,5.952773,24972400
2009-04-14,6.650000,7.570000,6.490000,6.600000,6.286127,25626000
2009-04-15,6.920000,7.190000,6.100000,6.390000,6.086113,18461000
2009-04-16,6.710000,6.790000,5.800000,5.900000,5.619417,16623600
2009-04-17,5.110000,6.850000,4.810000,6.300000,6.000395,55643000
2009-04-20,5.940000,5.940000,5.000000,5.020000,4.781267,17406400
2009-04-21,4.680000,5.440000,4.500000,5.400000,5.143195,12731300
2009-04-22,5.470000,5.870000,5.310000,5.520000,5.257487,15189600
2009-04-23,5.670000,6.040000,5.500000,5.720000,5.447977,13904200
2009-04-24,5.840000,6.280000,5.760000,6.080000,5.790857,20734600
2009-04-27,5.800000,5.900000,5.470000,5.510000,5.247964,11338100
2009-04-28,5.310000,6.200000,5.240000,5.800000,5.524173,21978400
2009-04-29,6.100000,6.280000,6.000000,6.180000,5.886101,14272900
2009-04-30,8.760000,9.940000,7.900000,8.380000,7.981477,72899700
2009-05-01,8.340000,8.440000,7.600000,7.860000,7.486206,25200700
2009-05-04,8.190000,9.500000,8.100000,9.440000,8.991066,33471900
2009-05-05,11.060000,13.600000,10.750000,12.800000,12.191277,76389300
2009-05-06,13.500000,14.010000,11.180000,11.780000,11.219784,45822700
2009-05-07,12.420000,12.500000,10.950000,11.550000,11.000721,19688100
2009-05-08,11.640000,12.740000,11.310000,12.580000,11.981738,20270700
2009-05-11,12.260000,13.460000,11.600000,13.100000,12.477010,21566000
2009-05-12,13.460000,13.780000,11.500000,12.400000,11.810298,23428800
2009-05-13,10.830000,11.010000,8.320000,8.700000,8.286260,59661000
2009-05-14,7.730000,8.800000,7.250000,7.760000,7.390962,136844900
2009-05-15,7.990000,8.500000,7.530000,7.670000,7.305242,52549100
2009-05-18,8.250000,8.770000,8.000000,8.740000,8.324355,52893500
2009-05-19,8.860000,9.070000,8.300000,8.340000,7.943378,40953300
2009-05-20,8.640000,8.780000,8.080000,8.170000,7.781464,29296800
2009-05-21,7.950000,8.170000,7.650000,7.790000,7.419535,24750400
2009-05-22,7.920000,7.960000,7.210000,7.590000,7.229046,36720100
2009-05-26,7.340000,7.730000,7.080000,7.140000,6.800447,41579400
2009-05-27,7.410000,7.580000,7.010000,7.240000,6.895691,43177600
2009-05-28,7.400000,7.490000,6.950000,7.140000,6.800447,22514500
2009-05-29,7.240000,7.520000,7.100000,7.460000,7.105228,28439300
2009-06-01,7.750000,8.400000,7.640000,8.360000,7.962427,40840000
2009-06-02,8.270000,8.300000,7.770000,7.920000,7.543353,29150300
2009-06-03,7.780000,7.780000,7.350000,7.490000,7.133801,19298700
2009-06-04,7.580000,7.700000,7.240000,7.530000,7.171900,25344000
2009-06-05,7.730000,7.750000,7.310000,7.520000,7.162375,21310000
2009-06-08,7.380000,7.390000,7.100000,7.310000,6.962361,17427300
2009-06-09,7.260000,7.300000,7.090000,7.150000,6.809970,15791200
2009-06-10,7.410000,7.420000,6.950000,7.040000,6.705202,26899900
2009-06-11,7.120000,7.220000,6.940000,6.980000,6.648056,18982700
2009-06-12,7.070000,7.150000,6.710000,7.130000,6.790923,18007900
2009-06-15,6.960000,6.990000,6.500000,6.530000,6.219456,22163900
2009-06-16,6.650000,6.970000,6.500000,6.650000,6.333749,23650700
2009-06-17,6.670000,6.700000,6.180000,6.450000,6.143260,21878500
2009-06-18,6.480000,6.570000,6.200000,6.370000,6.067065,16616100
2009-06-19,6.470000,6.650000,6.380000,6.570000,6.257554,17233300
2009-06-22,6.420000,6.430000,5.890000,5.920000,5.638465,20877300
2009-06-23,5.950000,6.080000,5.510000,5.840000,5.562270,23220400
2009-06-24,6.370000,6.830000,6.300000,6.690000,6.371847,48138600
2009-06-25,6.600000,6.940000,6.510000,6.770000,6.448043,25657000
2009-06-26,6.790000,6.820000,6.490000,6.780000,6.457567,16360100
2009-06-29,6.800000,6.850000,6.570000,6.650000,6.333749,12577900
2009-06-30,6.630000,6.650000,6.320000,6.390000,6.086113,13666600
2009-07-01,6.420000,6.500000,6.250000,6.250000,5.952773,11957800
2009-07-02,5.990000,6.040000,5.920000,5.920000,5.638465,10551500
2009-07-06,5.780000,5.930000,5.530000,5.690000,5.419404,15814000
2009-07-07,5.760000,6.130000,5.630000,5.890000,5.609892,17757700
2009-07-08,6.080000,6.080000,5.340000,5.520000,5.257487,20542600
2009-07-09,5.620000,6.000000,5.460000,5.850000,5.571795,19729500
2009-07-10,5.710000,5.750000,5.550000,5.710000,5.438452,9472900
2009-07-13,5.800000,5.850000,5.520000,5.850000,5.571795,9902300
2009-07-14,5.830000,6.100000,5.680000,5.980000,5.695612,12168700
2009-07-15,6.190000,6.510000,6.070000,6.460000,6.152786,21827200
2009-07-16,6.380000,6.670000,6.100000,6.540000,6.228980,21990700
2009-07-17,6.530000,6.530000,6.300000,6.340000,6.038492,9320000
2009-07-20,6.520000,6.930000,6.410000,6.850000,6.524238,29509600
2009-07-21,7.150000,7.150000,6.480000,6.630000,6.314701,19634100
2009-07-22,6.510000,7.130000,6.490000,7.000000,6.667105,18943700
2009-07-23,7.050000,7.340000,6.760000,7.260000,6.914741,22448200
2009-07-24,7.070000,8.030000,7.000000,7.730000,7.362388,41592700
2009-07-27,7.840000,8.000000,7.580000,7.800000,7.429060,25530700
