Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,43.880001,44.169998,42.750000,42.939999,35.487076,8056200
2009-04-08,40.990002,45.669998,40.380001,45.610001,37.693665,17971400
2009-04-09,45.939999,46.730000,44.029999,44.570000,36.834160,10615200
2009-04-13,43.599998,44.660000,43.310001,44.250000,36.569695,5336200
2009-04-14,43.790001,45.230000,43.599998,44.509998,36.784576,4730100
2009-04-15,44.110001,44.630001,43.529999,44.619999,36.875481,4973700
2009-04-16,44.720001,44.990002,43.369999,43.689999,36.106911,3864600
2009-04-17,43.689999,43.730000,42.160000,42.180000,34.858990,4643600
2009-04-20,41.369999,41.580002,38.889999,39.330002,32.503647,7907400
2009-04-21,38.509998,39.939999,38.160000,38.880001,32.131763,5381600
2009-04-22,38.189999,39.889999,37.080002,38.590000,31.892094,7149800
2009-04-23,38.490002,39.599998,37.790001,38.209999,31.578047,6834400
2009-04-24,38.869999,41.189999,38.599998,40.959999,33.850731,6270400
2009-04-27,39.740002,40.110001,38.619999,38.970001,32.206131,5993700
2009-04-28,38.410000,39.380001,37.889999,38.900002,32.148273,4127900
2009-04-29,39.299999,40.240002,39.000000,40.029999,33.082153,4186200
2009-04-30,40.970001,42.250000,40.119999,40.450001,33.429260,5532100
2009-05-01,40.779999,43.200001,40.529999,42.349998,34.999485,6788300
2009-05-04,43.410000,44.500000,43.000000,44.270000,36.586239,8080400
2009-05-05,44.180000,46.619999,43.790001,46.270000,38.282341,9261700
2009-05-06,47.060001,47.340000,45.150002,45.799999,37.893486,6307300
2009-05-07,46.790001,47.279999,44.049999,45.529999,37.670086,8630700
2009-05-08,46.169998,46.459999,44.439999,45.450001,37.603893,5274700
2009-05-11,44.889999,45.619999,43.950001,44.570000,36.875805,4476100
2009-05-12,45.290001,48.000000,44.209999,47.669998,39.440643,9394100
2009-05-13,47.630001,49.250000,45.630001,46.340000,38.340271,10745500
2009-05-14,46.060001,50.840000,45.700001,50.330002,41.641453,12234400
2009-05-15,51.470001,52.820000,49.900002,51.299999,42.444012,11526600
