Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,22.410000,24.469999,22.400000,23.320000,19.630659,45463000
2009-04-08,23.770000,23.780001,22.120001,22.690001,19.100323,37673700
2009-04-09,24.100000,25.370001,23.250000,25.350000,21.339493,53190900
2009-04-13,24.570000,27.350000,24.500000,26.889999,22.635870,45126500
2009-04-14,25.540001,25.969999,23.559999,23.670000,19.925287,48230500
2009-04-15,23.430000,23.730000,22.020000,23.450001,19.740086,52402900
2009-04-16,23.580000,24.389999,23.190001,23.969999,20.177818,40052600
2009-04-17,23.870001,25.889999,23.570000,25.000000,21.044876,51614300
2009-04-20,24.180000,25.200001,23.510000,23.520000,19.799009,45375900
2009-04-21,23.059999,25.110001,22.629999,24.650000,20.750248,50197600
2009-04-22,22.650000,24.549999,22.260000,22.440001,18.889879,104008800
2009-04-23,22.709999,22.959999,21.160000,21.959999,18.485819,62367200
2009-04-24,22.350000,22.629999,21.320000,21.959999,18.485819,53830900
2009-04-27,21.600000,22.280001,21.160000,21.260000,17.896563,33354300
2009-04-28,20.870001,21.780001,20.690001,21.080000,17.786860,27676600
2009-04-29,21.450001,23.250000,21.260000,23.070000,19.465984,47127600
2009-04-30,23.780001,24.459999,23.480000,23.639999,19.946945,48998400
2009-05-01,23.740000,26.480000,23.690001,25.820000,21.786379,59562100
2009-05-04,26.240000,27.230000,25.660000,27.020000,22.798914,45301100
2009-05-05,26.830000,27.780001,26.559999,27.209999,22.959232,26135900
2009-05-06,27.520000,29.049999,26.820000,28.510000,24.056149,45925100
2009-05-07,28.740000,28.980000,26.209999,27.139999,22.900171,42149000
2009-05-08,24.990000,28.200001,24.730000,28.200001,23.794579,150072600
2009-05-11,27.660000,27.940001,26.020000,26.070000,21.997330,48442400
2009-05-12,26.629999,27.080000,25.040001,26.420000,22.292648,41782000
2009-05-13,25.639999,26.350000,24.889999,25.100000,21.178865,32058300
2009-05-14,25.219999,26.770000,24.850000,26.570000,22.419218,31546600
2009-05-15,26.590000,27.080000,25.969999,26.129999,22.047951,28703200
2009-05-18,26.959999,28.309999,26.690001,28.280001,23.862078,35991500
2009-05-19,28.490000,29.860001,27.059999,28.910000,24.393658,41899400
2009-05-20,29.500000,29.620001,27.770000,28.000000,23.625822,36005400
2009-05-21,27.639999,28.650000,27.530001,28.090000,23.701757,28180900
2009-05-22,28.420000,29.090000,28.090000,28.230000,23.819893,18412800
2009-05-26,28.059999,29.059999,27.950001,29.020000,24.486473,23546600
2009-05-27,29.049999,30.230000,28.600000,28.610001,24.140526,35960500
2009-05-28,28.969999,29.540001,28.420000,29.430000,24.832420,21050600
2009-05-29,30.090000,30.350000,29.570000,30.320000,25.583389,29253100
2009-06-01,30.670000,31.299999,29.670000,29.889999,25.220562,31242100
2009-06-02,28.270000,30.350000,28.200001,30.090000,25.389320,67635700
2009-06-03,29.889999,30.170000,29.100000,29.719999,25.077122,27895900
2009-06-04,29.879999,31.490000,29.879999,31.200001,26.325918,28273400
2009-06-05,31.780001,31.990000,30.940001,30.969999,26.131853,20837800
2009-06-08,30.670000,31.670000,30.430000,31.389999,26.486233,17866800
2009-06-09,31.629999,31.760000,30.510000,30.980000,26.140284,28935100
2009-06-10,31.170000,31.200001,28.629999,29.260000,24.688984,54484000
2009-06-11,29.580000,30.150000,29.000000,29.490000,24.883047,29085000
2009-06-12,29.309999,29.910000,28.900000,29.700001,25.060247,15945200
2009-06-15,29.299999,29.450001,28.150000,28.400000,23.963335,23275200
2009-06-16,28.719999,28.879999,27.809999,28.100000,23.710203,24482200
2009-06-17,27.959999,28.129999,27.040001,27.480000,23.187056,24421700
2009-06-18,27.540001,28.900000,27.490000,28.030001,23.651133,23203700
2009-06-19,28.270000,28.370001,27.639999,28.270000,23.853638,32327600
2009-06-22,27.850000,28.040001,26.629999,26.629999,22.469847,27695300
2009-06-23,26.780001,27.860001,26.129999,27.700001,23.372690,31675700
2009-06-24,27.980000,28.469999,27.260000,27.650000,23.330500,22642900
2009-06-25,27.410000,28.389999,27.120001,27.870001,23.516130,22530800
2009-06-26,27.809999,28.820000,27.790001,28.620001,24.148966,30089800
2009-06-29,28.770000,29.290001,28.299999,29.100000,24.553980,18546300
2009-06-30,28.870001,29.180000,28.200001,28.510000,24.056149,17694900
2009-07-01,28.580000,28.910000,27.930000,28.360001,23.929583,13111500
2009-07-02,27.879999,28.049999,26.910000,26.990000,22.773603,19930300
2009-07-06,26.600000,26.879999,26.250000,26.850000,22.655481,22724600
2009-07-07,26.900000,27.320000,26.120001,26.150000,22.064833,19928100
2009-07-08,26.340000,26.400000,24.850000,25.500000,21.516375,33320100
2009-07-09,25.969999,26.490000,25.709999,25.879999,21.837008,20602200
2009-07-10,25.650000,26.150000,25.340000,25.940001,21.887640,17073400
2009-07-13,26.690001,27.940001,26.299999,27.910000,23.549881,31765500
2009-07-14,27.969999,28.360001,27.299999,27.879999,23.524570,21765200
2009-07-15,28.459999,29.330000,27.950001,28.799999,24.300848,31602500
2009-07-16,28.520000,28.709999,27.920000,28.559999,24.098337,21801000
2009-07-17,28.549999,28.580000,27.520000,27.990000,23.617390,22092800
2009-07-20,28.450001,28.799999,28.059999,28.340000,23.912704,19654500
2009-07-21,28.389999,28.400000,27.129999,27.559999,23.254551,25383700
2009-07-22,26.350000,27.990000,25.879999,27.540001,23.237684,50806600
2009-07-23,27.559999,28.670000,27.160000,28.540001,24.081459,31300100
2009-07-24,28.270000,28.389999,27.540001,28.250000,23.836771,14741200
2009-07-27,28.330000,28.680000,27.820000,28.049999,23.668005,15635200
2009-07-28,27.639999,27.920000,27.340000,27.430000,23.144869,18936100
2009-07-29,26.860001,27.200001,26.440001,27.160000,22.958895,22644200
2009-07-30,27.510000,28.660000,27.430000,28.360001,23.973278,24374900
2009-07-31,28.400000,28.830000,28.190001,28.500000,24.091623,20850300
2009-08-03,28.930000,29.350000,28.770000,29.309999,24.776335,17579900
2009-08-04,29.180000,30.100000,29.040001,30.070000,25.418776,20979900
2009-08-05,29.930000,31.270000,29.520000,31.049999,26.247192,27668600
2009-08-06,31.680000,32.000000,30.230000,30.549999,25.824532,25779800
2009-08-07,30.930000,31.920000,30.549999,31.219999,26.390898,21656400
2009-08-10,31.170000,31.360001,30.379999,30.830000,26.061228,14104800
2009-08-11,30.549999,30.750000,29.889999,29.889999,25.266617,17328200
2009-08-12,29.770000,30.230000,29.610001,29.980000,25.342699,17797500
2009-08-13,30.420000,30.430000,29.309999,29.879999,25.258167,17862900
2009-08-14,29.870001,29.920000,29.260000,29.790001,25.182089,12448700
2009-08-17,28.920000,29.200001,28.510000,28.540001,24.125444,17527800
2009-08-18,28.850000,29.040001,28.510000,28.780001,24.328314,12071000
2009-08-19,28.250000,29.000000,28.100000,28.830000,24.370581,12720500
2009-08-20,28.799999,29.450001,28.719999,29.360001,24.818598,12759800
2009-08-21,29.860001,29.950001,29.000000,29.690001,25.097551,24292800
2009-08-24,29.920000,30.490000,29.549999,29.650000,25.063740,16284300
