Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,17.948700,18.635925,17.787001,18.352949,15.509599,3259200
2009-04-08,18.272100,18.716776,18.110399,18.352949,15.509599,3367100
2009-04-09,18.797625,19.808250,18.676350,19.808250,16.739429,4009800
2009-04-13,18.999750,19.646549,18.878475,19.444426,16.431973,3317000
2009-04-14,19.282724,19.323151,18.555075,18.918900,15.987868,4288400
2009-04-15,18.595501,20.212500,18.595501,19.686975,16.636950,5275600
2009-04-16,20.050800,20.899725,19.565701,20.616751,17.422678,5145500
2009-04-17,20.899725,22.799700,20.414625,22.476299,18.994135,9919900
2009-04-20,22.031626,22.233749,20.899725,21.182699,17.900942,6576300
2009-04-21,20.940149,22.718849,20.818874,22.516726,19.028292,6498600
2009-04-22,22.678425,23.567776,21.829500,22.880550,19.335751,6011800
2009-04-23,22.799700,22.799700,21.263550,22.274176,18.823318,5429600
2009-04-24,22.476299,24.012449,21.869925,23.486925,19.848181,6954200
2009-04-27,23.123100,23.486925,22.638000,23.082676,19.506569,4459200
2009-04-28,22.880550,23.810326,22.233749,23.486925,19.848181,4359900
2009-04-29,23.244375,24.295425,23.203951,24.093300,20.360617,4725500
2009-04-30,24.052876,24.254999,21.829500,22.355024,18.891647,8974500
2009-05-01,22.233749,22.476299,20.697599,22.395451,18.925806,7529000
2009-05-04,22.557150,23.203951,22.274176,23.082676,19.506569,5689600
2009-05-05,22.597574,23.850750,22.597574,23.729475,20.053162,4211700
2009-05-06,23.648624,25.669874,23.648624,25.508175,21.556293,9207400
2009-05-07,25.669874,26.195400,24.699675,25.144350,21.248835,8290700
2009-05-08,25.103926,26.276251,24.537975,26.276251,22.205366,5555500
2009-05-11,25.346476,25.831575,24.901800,25.346476,21.419643,4292400
2009-05-12,25.831575,25.831575,23.972025,24.537975,20.736404,6101200
2009-05-13,24.254999,24.457125,22.638000,22.880550,19.335751,6868400
2009-05-14,22.961399,23.567776,22.678425,23.365650,19.745699,3735300
2009-05-15,23.446501,24.335850,23.244375,23.891174,20.189806,4719500
2009-05-18,24.052876,25.023075,24.012449,24.861376,21.009705,5884800
2009-05-19,25.225201,25.508175,24.295425,25.225201,21.317160,4748400
2009-05-20,25.467751,25.629450,24.497549,24.618826,20.804726,4668400
2009-05-21,24.174150,24.578400,23.406075,23.810326,20.121485,4229400
2009-05-22,23.972025,24.497549,23.608200,23.850750,20.155645,3275600
2009-05-26,24.012449,24.335850,23.123100,24.214575,20.463106,3284500
2009-05-27,24.416700,24.861376,23.850750,23.931601,20.223969,3461400
2009-05-28,24.659250,24.820950,23.850750,24.295425,20.531425,6030900
2009-05-29,24.780525,24.780525,24.093300,24.497549,20.702242,3970800
2009-06-01,24.861376,25.831575,24.699675,25.589025,21.624619,4285300
2009-06-02,25.669874,26.276251,25.063499,25.912424,21.897913,5278400
2009-06-03,26.033701,26.033701,24.537975,25.063499,21.180515,3552400
2009-06-04,25.144350,25.952850,25.023075,25.791149,21.795429,3511500
2009-06-05,25.791149,26.074125,24.942225,25.225201,21.317160,3132900
2009-06-08,24.820950,26.316675,24.618826,26.033701,22.000402,4345300
2009-06-09,26.316675,27.852825,26.074125,27.125175,22.922781,4904600
2009-06-10,27.286875,27.489000,25.912424,26.559225,22.444508,3507700
2009-06-11,26.195400,28.054951,26.195400,27.771975,23.469374,5170600
2009-06-12,27.206024,27.529425,26.478374,27.206024,22.991104,3477800
2009-06-15,26.680500,26.882626,26.074125,26.195400,22.137051,3694400
2009-06-16,26.033701,26.640076,25.346476,25.346476,21.419643,3925900
2009-06-17,25.225201,25.750725,24.618826,25.306049,21.385483,7469700
2009-06-18,25.306049,25.467751,24.901800,25.386900,21.453810,6427500
2009-06-19,25.791149,25.952850,24.578400,24.699675,20.873051,5881800
2009-06-22,24.537975,24.942225,23.931601,24.376274,20.599752,6126400
2009-06-23,25.265625,25.427324,24.820950,25.346476,21.419643,8541300
2009-06-24,25.669874,25.791149,25.184774,25.589025,21.624619,15726400
2009-06-25,25.386900,26.316675,25.103926,26.154976,22.102892,15152800
2009-06-26,26.276251,26.963474,25.750725,26.761351,22.615320,8718400
2009-06-29,27.125175,27.125175,26.114550,26.720924,22.581150,5998100
2009-06-30,27.691126,28.095375,26.397526,26.801775,22.649481,6763300
2009-07-01,26.842199,27.489000,26.033701,26.114550,22.068724,5400700
2009-07-02,25.791149,26.033701,24.942225,25.023075,21.146349,5125300
2009-07-06,24.780525,25.184774,24.457125,24.780525,20.941374,4773700
2009-07-07,24.780525,25.750725,24.699675,24.861376,21.009705,7849600
2009-07-08,24.780525,25.063499,24.214575,24.618826,20.804726,5326100
2009-07-09,24.942225,25.023075,24.416700,24.537975,20.736404,3587100
2009-07-10,24.295425,24.820950,24.214575,24.457125,20.668077,3030000
2009-07-13,24.335850,24.497549,23.891174,24.416700,20.633913,5317800
2009-07-14,24.537975,25.144350,24.254999,24.942225,21.078024,3756400
2009-07-15,25.427324,26.761351,25.225201,26.720924,22.581150,5367200
2009-07-16,25.306049,25.952850,24.780525,25.589025,21.624619,6005000
