Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,3.893910,3.968566,3.854617,3.917485,2.558645,4915900
2009-04-08,3.905697,4.015717,3.905697,4.011788,2.620237,6664500
2009-04-09,4.110020,4.145383,4.011788,4.082515,2.666431,11898300
2009-04-13,4.074656,4.117878,3.988212,4.086444,2.668998,6695600
2009-04-14,4.058939,4.110020,4.027505,4.058939,2.651033,9099100
2009-04-15,4.051081,4.129666,4.051081,4.117878,2.689528,6605000
2009-04-16,4.129666,4.212181,4.102161,4.172888,2.725457,6599900
2009-04-17,4.192534,4.223969,4.157171,4.184676,2.733156,6180700
2009-04-20,4.165030,4.165030,4.051081,4.074656,2.661299,6619000
2009-04-21,4.070727,4.184676,4.070727,4.153242,2.712625,8793400
2009-04-22,4.137525,4.208251,4.055010,4.133595,2.699794,7447400
2009-04-23,4.129666,4.204322,4.110020,4.188605,2.735723,10085000
2009-04-24,4.223969,4.282907,4.188605,4.259332,2.781916,9560800
2009-04-27,4.227898,4.400786,4.223969,4.341847,2.835810,8178300
2009-04-28,4.271120,4.298625,4.235756,4.247544,2.833187,7894800
2009-04-29,4.282907,4.333988,4.267190,4.294695,2.864637,8043400
2009-04-30,4.318271,4.385069,4.306483,4.318271,2.880363,11075800
2009-05-01,4.326129,4.428291,4.326129,4.416503,2.945885,8735400
2009-05-04,4.412574,4.530452,4.412574,4.510806,3.008787,11412700
2009-05-05,4.483301,4.557957,4.459725,4.487230,2.993061,9295800
2009-05-06,4.522593,4.565815,4.451867,4.479372,2.987820,10371800
2009-05-07,4.424362,4.491159,4.369352,4.396857,2.932781,11264100
2009-05-08,4.459725,4.565815,4.416503,4.479372,2.987820,12477100
2009-05-11,4.436149,4.502947,4.373281,4.388998,2.927539,10268000
2009-05-12,4.416503,4.455796,4.357564,4.373281,2.917056,6938900
2009-05-13,4.341847,4.440079,4.231827,4.235756,2.825325,8436600
2009-05-14,4.235756,4.286837,4.204322,4.271120,2.848912,7206600
2009-05-15,4.255403,4.314342,4.157171,4.180747,2.788631,7483000
2009-05-18,4.212181,4.247544,4.176817,4.196464,2.799115,9270400
2009-05-19,4.212181,4.298625,4.192534,4.204322,2.804357,9452800
2009-05-20,4.239686,4.318271,4.165030,4.176817,2.786011,17513600
2009-05-21,4.157171,4.172888,4.094303,4.117878,2.746697,5823900
2009-05-22,4.129666,4.176817,4.102161,4.113949,2.744076,4622200
2009-05-26,4.110020,4.286837,4.082515,4.259332,2.841049,5712500
2009-05-27,4.263261,4.290766,4.125737,4.125737,2.751939,8277300
2009-05-28,4.149312,4.243615,4.133595,4.220039,2.814841,6335000
2009-05-29,4.247544,4.251473,4.145383,4.200393,2.801736,9053800
2009-06-01,4.243615,4.357564,4.243615,4.345776,2.898708,6537500
2009-06-02,4.349705,4.412574,4.322200,4.361493,2.909192,6246100
2009-06-03,4.330059,4.353634,4.239686,4.302554,2.869880,6893600
2009-06-04,4.322200,4.349705,4.286837,4.314342,2.877742,4664200
2009-06-05,4.349705,4.385069,4.247544,4.298625,2.867258,9011800
2009-06-08,4.310412,4.416503,4.310412,4.365422,2.911814,10062900
2009-06-09,4.400786,4.416503,4.290766,4.302554,2.869880,5262000
2009-06-10,4.349705,4.420432,4.326129,4.369352,2.914434,15626800
2009-06-11,4.408644,4.514735,4.353634,4.471513,2.982577,7387300
2009-06-12,4.455796,4.554028,4.408644,4.538311,3.027133,4852000
2009-06-15,4.495089,4.495089,4.388998,4.416503,2.945885,5773500
2009-06-16,4.436149,4.483301,4.353634,4.373281,2.917056,4465400
2009-06-17,4.357564,4.428291,4.337917,4.396857,2.932781,6417700
2009-06-18,4.408644,4.518664,4.400786,4.502947,3.003545,5228700
2009-06-19,4.557957,4.557957,4.440079,4.467584,2.979957,8364100
2009-06-22,4.416503,4.554028,4.416503,4.510806,3.008787,8415200
2009-06-23,4.514735,4.546169,4.420432,4.440079,2.961610,5987300
2009-06-24,4.471513,4.475442,4.408644,4.432220,2.956369,6467000
2009-06-25,4.408644,4.530452,4.392927,4.510806,3.008787,4028700
2009-06-26,4.502947,4.518664,4.455796,4.502947,3.003545,8399500
2009-06-29,4.510806,4.644401,4.510806,4.581532,3.055963,9479100
2009-06-30,4.589391,4.632613,4.526523,4.581532,3.055963,8476100
2009-07-01,4.609037,4.793713,4.605108,4.770137,3.181765,9496900
