Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.625000,5.625000,5.031250,5.281250,4.302984,923600
2000-01-04,5.218750,5.218750,5.000000,5.031250,4.099295,196400
2000-01-05,5.031250,5.062500,4.890625,4.937500,4.022910,1044800
2000-01-06,4.953125,4.953125,4.859375,4.906250,3.997448,469200
2000-01-07,4.875000,5.031250,4.875000,4.984375,4.061102,509600
2000-01-10,4.953125,5.015625,4.890625,4.890625,3.984719,1116400
2000-01-11,4.937500,4.968750,4.625000,4.687500,3.819219,1533200
2000-01-12,4.750000,4.750000,4.468750,4.531250,3.691912,1540400
2000-01-13,4.546875,4.750000,4.546875,4.750000,3.870141,1454800
2000-01-14,4.812500,4.843750,4.609375,4.718750,3.844681,692800
2000-01-18,4.687500,4.703125,4.640625,4.671875,3.806489,354400
2000-01-19,4.703125,4.703125,4.453125,4.484375,3.653719,973600
2000-01-20,4.500000,4.609375,4.328125,4.531250,3.691912,1896800
2000-01-21,4.812500,4.843750,4.531250,4.593750,3.742835,1245200
2000-01-24,4.625000,4.703125,4.421875,4.468750,3.640988,1358800
2000-01-25,4.531250,4.531250,4.187500,4.250000,3.462759,1631600
2000-01-26,4.296875,4.421875,4.281250,4.359375,3.551873,2785600
2000-01-27,4.375000,4.500000,4.343750,4.484375,3.653719,1858800
2000-01-28,4.515625,4.562500,4.437500,4.437500,3.615527,1246400
2000-01-31,4.484375,4.484375,4.328125,4.359375,3.551873,1228000
2000-02-01,4.406250,4.437500,4.281250,4.296875,3.500950,798800
2000-02-02,4.359375,4.359375,4.234375,4.250000,3.462759,1172400
2000-02-03,4.312500,4.359375,4.250000,4.312500,3.513683,999600
2000-02-04,4.328125,4.390625,4.265625,4.312500,3.513683,4247200
2000-02-07,4.312500,4.328125,4.109375,4.140625,3.373643,1506400
2000-02-08,4.250000,4.515625,4.234375,4.453125,3.628258,1397600
2000-02-09,4.437500,4.468750,4.375000,4.421875,3.602797,860400
2000-02-10,4.421875,4.484375,4.328125,4.359375,3.551873,937200
2000-02-11,4.359375,4.484375,4.343750,4.406250,3.590064,785200
2000-02-14,4.421875,4.453125,4.375000,4.390625,3.577335,664800
2000-02-15,4.359375,4.781250,4.359375,4.625000,3.768296,1352400
2000-02-16,4.625000,4.625000,4.390625,4.421875,3.602797,676000
2000-02-17,4.468750,4.562500,4.390625,4.421875,3.602797,1258400
2000-02-18,4.406250,4.437500,4.218750,4.437500,3.615527,796000
2000-02-22,4.406250,4.500000,4.312500,4.328125,3.526413,324400
2000-02-23,4.406250,4.406250,4.250000,4.265625,3.475490,383600
2000-02-24,4.312500,4.375000,4.140625,4.203125,3.424567,634800
2000-02-25,4.187500,4.234375,4.031250,4.046875,3.297259,810800
2000-02-28,4.000000,4.109375,4.000000,4.093750,3.335451,594400
2000-02-29,4.140625,4.296875,4.078125,4.203125,3.424567,741200
2000-03-01,4.203125,4.328125,4.140625,4.265625,3.475490,714400
2000-03-02,4.265625,4.281250,4.000000,4.156250,3.386373,1325600
2000-03-03,4.203125,4.250000,4.046875,4.125000,3.360913,523600
2000-03-06,4.125000,4.171875,4.031250,4.046875,3.297259,433600
2000-03-07,4.078125,4.093750,3.906250,3.984375,3.246336,606000
2000-03-08,3.937500,4.000000,3.843750,3.921875,3.195413,416800
2000-03-09,3.875000,4.062500,3.812500,4.046875,3.297259,943600
2000-03-10,4.000000,4.046875,3.953125,3.968750,3.233606,1440000
2000-03-13,4.015625,4.062500,3.953125,4.046875,3.297259,1011600
2000-03-14,4.015625,4.078125,3.890625,3.937500,3.208144,613600
2000-03-15,3.937500,4.359375,3.937500,4.281250,3.524019,1652400
2000-03-16,4.281250,4.828125,4.281250,4.812500,3.961308,2527600
2000-03-17,4.500000,4.843750,4.500000,4.703125,3.871279,1604800
2000-03-20,4.718750,4.875000,4.687500,4.828125,3.974167,944000
2000-03-21,4.796875,4.828125,4.765625,4.812500,3.961308,624000
2000-03-22,4.796875,4.796875,4.687500,4.750000,3.909859,1052400
2000-03-23,4.718750,5.031250,4.671875,4.875000,4.012753,1113600
2000-03-24,4.890625,4.984375,4.750000,4.859375,3.999891,1296400
2000-03-27,4.859375,4.968750,4.765625,4.828125,3.974167,350400
2000-03-28,4.781250,4.828125,4.671875,4.734375,3.897000,610000
2000-03-29,4.812500,5.000000,4.750000,4.953125,4.077059,842800
2000-03-30,4.968750,5.234375,4.968750,5.109375,4.205674,1167200
2000-03-31,5.171875,5.265625,5.078125,5.218750,4.295702,1401200
2000-04-03,5.187500,5.328125,5.187500,5.218750,4.295702,702400
2000-04-04,5.234375,5.312500,5.046875,5.109375,4.205674,867200
2000-04-05,5.109375,5.375000,5.109375,5.359375,4.411456,1392000
2000-04-06,5.375000,5.453125,5.343750,5.359375,4.411456,932800
2000-04-07,5.312500,5.453125,5.312500,5.375000,4.424317,716800
2000-04-10,5.312500,5.421875,5.265625,5.312500,4.372873,431200
2000-04-11,5.312500,5.515625,5.312500,5.375000,4.424317,927200
2000-04-12,5.390625,5.750000,5.343750,5.656250,4.655821,775200
2000-04-13,5.625000,5.812500,5.578125,5.703125,4.694407,1052800
2000-04-14,5.656250,5.718750,5.312500,5.343750,4.398594,2032400
2000-04-17,5.250000,5.500000,5.218750,5.437500,4.475762,916800
