Date,Open,High,Low,Close,Adj Close,Volume
2011-12-19,98.320000,99.190002,97.150002,98.029999,92.622238,1109600
2011-12-20,99.400002,101.639999,99.309998,100.800003,95.239433,1308000
2011-12-21,100.980003,102.650002,99.580002,102.470001,96.817322,1362000
2011-12-22,102.279999,104.699997,100.419998,100.779999,95.220528,1675500
2011-12-23,100.809998,101.440002,99.820000,100.959999,95.390602,753100
2011-12-27,102.080002,102.389999,99.970001,100.680000,95.126076,584600
2011-12-28,101.040001,101.040001,98.559998,98.900002,93.444267,540100
2011-12-29,98.519997,99.510002,98.519997,99.040001,93.576530,476600
2011-12-30,99.400002,99.629997,97.300003,97.300003,91.932526,681700
2012-01-03,98.730003,99.290001,96.970001,98.550003,93.113556,1090400
2012-01-04,97.029999,97.480003,95.089996,95.089996,89.844398,1132400
2012-01-05,94.199997,96.440002,94.040001,96.150002,90.845955,995100
2012-01-06,96.209999,96.910004,94.800003,96.059998,90.760910,819200
2012-01-09,96.470001,96.959999,95.790001,96.559998,91.233330,784600
2012-01-10,97.800003,100.379997,97.779999,99.580002,94.086761,1456000
2012-01-11,99.059998,99.239998,96.910004,97.419998,92.045898,951600
2012-01-12,97.970001,98.989998,97.250000,97.489998,92.112053,528200
2012-01-13,96.980003,97.580002,96.500000,97.019997,91.667953,596100
2012-01-17,98.410004,98.750000,97.570000,97.889999,92.489990,463700
2012-01-18,98.279999,99.849998,98.129997,99.849998,94.341850,712400
2012-01-19,100.449997,100.610001,99.230003,99.430000,93.945030,672100
2012-01-20,99.510002,100.029999,98.230003,98.480003,93.047440,635100
2012-01-23,98.889999,100.760002,98.669998,99.660004,94.162323,634500
2012-01-24,99.010002,99.239998,96.360001,97.540001,92.159286,982800
2012-01-25,96.989998,99.129997,96.269997,98.769997,93.321381,592000
2012-01-26,97.440002,99.220001,95.910004,96.129997,90.827065,714100
2012-01-27,96.160004,96.529999,94.860001,96.099998,90.798698,1068900
2012-01-30,95.180000,95.570000,93.760002,95.220001,89.967262,769400
2012-01-31,95.900002,95.900002,94.849998,95.599998,90.326286,678500
2012-02-01,96.250000,97.239998,94.949997,94.989998,89.749954,921500
2012-02-02,94.790001,94.959999,92.620003,93.129997,87.992546,1100200
2012-02-03,94.110001,95.459999,92.680000,93.660004,88.493301,1420000
2012-02-06,92.089996,95.070000,92.089996,94.010002,88.823997,1638000
2012-02-07,98.110001,98.660004,94.559998,95.260002,90.005043,2736600
2012-02-08,94.599998,95.000000,90.180000,93.949997,88.767311,2266200
2012-02-09,94.209999,94.449997,93.000000,94.050003,88.861794,871500
2012-02-10,93.470001,93.470001,92.599998,93.309998,88.162628,637800
2012-02-13,93.860001,95.699997,93.779999,94.970001,89.731056,940000
2012-02-14,94.489998,95.180000,94.070000,94.730003,89.504280,505100
2012-02-15,94.940002,95.040001,93.239998,93.500000,88.342117,577000
2012-02-16,93.500000,94.820000,93.169998,94.519997,89.305862,917700
2012-02-17,95.000000,96.000000,94.320000,94.900002,89.664894,946200
2012-02-21,94.839996,95.190002,93.449997,94.349998,89.145256,916100
2012-02-22,94.010002,95.389999,93.129997,94.760002,89.532631,800600
2012-02-23,94.180000,96.160004,93.800003,96.000000,90.704201,808700
2012-02-24,95.690002,96.730003,95.040001,96.239998,90.931007,1039100
2012-02-27,94.209999,98.480003,94.199997,98.010002,92.603371,1586000
2012-02-28,97.760002,104.620003,97.580002,100.400002,94.861526,2901600
2012-02-29,101.000000,104.000000,99.949997,103.059998,97.452415,1884800
2012-03-01,102.410004,107.250000,102.120003,107.120003,101.291519,2196800
2012-03-02,106.919998,107.180000,105.500000,105.800003,100.043343,935900
2012-03-05,106.330002,108.500000,104.269997,105.500000,99.759636,1261900
2012-03-06,104.040001,104.779999,102.510002,103.279999,97.660431,800400
2012-03-07,104.040001,105.330002,103.750000,105.040001,99.324669,714000
2012-03-08,105.010002,106.669998,105.010002,105.550003,99.806946,587600
2012-03-09,105.900002,105.949997,104.980003,105.089996,99.371941,685000
2012-03-12,104.779999,104.980003,104.190002,104.550003,98.861336,494400
2012-03-13,104.489998,105.220001,103.260002,104.250000,98.577667,567400
2012-03-14,104.019997,104.529999,103.199997,103.680000,98.038673,727600
2012-03-15,103.790001,104.040001,102.279999,102.599998,97.017448,515500
2012-03-16,101.959999,102.239998,100.599998,101.290001,95.778725,1099000
2012-03-19,101.220001,102.959999,100.900002,102.190002,96.629753,678000
2012-03-20,101.809998,102.279999,101.349998,102.089996,96.535194,372900
2012-03-21,102.430000,103.099998,102.279999,102.690002,97.102592,769600
2012-03-22,102.220001,103.650002,101.900002,103.540001,97.906281,461700
