Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,60.720001,60.919998,56.770000,56.919998,39.761993,4855200
2009-04-08,57.549999,59.470001,57.020000,58.790001,41.068302,4020400
2009-04-09,60.970001,65.250000,60.080002,65.029999,45.427315,6240300
2009-04-13,63.889999,65.620003,62.240002,64.449997,45.022141,4881800
2009-04-14,62.889999,63.480000,58.520000,58.950001,41.180054,5677900
2009-04-15,57.680000,64.269997,57.290001,63.820000,44.582047,5432000
2009-04-16,64.400002,67.800003,61.400002,64.589996,45.119946,4994400
2009-04-17,63.990002,66.169998,62.790001,64.830002,45.287586,5153800
2009-04-20,63.549999,64.389999,59.009998,59.290001,41.417583,4889600
2009-04-21,58.689999,65.269997,57.650002,65.269997,45.594967,6554800
2009-04-22,63.439999,64.470001,60.490002,60.490002,42.255836,7175100
2009-04-23,60.720001,64.410004,60.400002,63.910000,44.644913,3897800
2009-04-24,64.160004,68.349998,63.320000,67.059998,46.845375,5303100
2009-04-27,65.709999,66.540001,62.860001,64.510002,45.064060,4622300
2009-04-28,63.849998,64.650002,62.380001,63.099998,44.079086,3053400
2009-04-29,64.519997,66.610001,63.619999,66.400002,46.384335,3678500
2009-04-30,66.620003,67.809998,65.650002,66.860001,46.705673,3948100
2009-05-01,66.610001,67.070000,63.939999,64.660004,45.168842,3024600
2009-05-04,66.309998,68.860001,64.029999,68.750000,48.025959,4628300
2009-05-05,67.430000,67.430000,62.650002,64.000000,44.707790,4606700
2009-05-06,63.810001,65.529999,61.730000,65.169998,45.525108,4426000
2009-05-07,67.019997,67.029999,61.419998,62.799999,43.869522,3839600
2009-05-08,63.779999,66.459999,60.880001,66.320000,46.328449,5218500
2009-05-11,64.889999,65.199997,62.709999,62.930000,43.960339,3676000
2009-05-12,63.480000,65.500000,61.950001,64.300003,44.917358,3628600
2009-05-13,62.980000,63.759998,61.439999,61.610001,43.038242,3667700
2009-05-14,61.790001,64.050003,61.090000,63.430000,44.309620,3444700
2009-05-15,62.410000,63.340000,60.459999,61.400002,42.891541,3432900
2009-05-18,62.349998,66.699997,61.779999,66.019997,46.118889,4337800
