Date,Open,High,Low,Close,Adj Close,Volume
2013-10-29,48.529999,48.599998,48.000000,48.220001,41.680885,7194600
2013-10-30,48.240002,48.330002,47.000000,47.290001,40.877007,6599700
2013-10-31,47.189999,47.639999,46.869999,47.070000,40.686836,4008200
2013-11-01,47.040001,47.630001,46.330002,47.560001,41.110390,9460700
2013-11-04,47.700001,48.799999,47.689999,48.380001,41.819191,6018400
2013-11-05,47.900002,48.310001,47.700001,48.209999,41.672241,4265100
2013-11-06,48.680000,49.060001,48.400002,49.029999,42.381042,6114700
2013-11-07,50.709999,52.950001,50.509998,52.450001,45.337254,15277200
2013-11-08,52.209999,53.840000,51.900002,53.450001,46.201649,7035300
2013-11-11,54.849998,55.740002,54.650002,55.369999,47.861275,12488600
2013-11-12,54.970001,55.500000,54.470001,55.139999,47.662464,6327400
2013-11-13,54.380001,55.400002,54.380001,55.299999,48.291214,6092700
2013-11-14,54.990002,55.169998,54.400002,54.669998,47.741058,4386600
2013-11-15,54.970001,55.250000,53.889999,54.439999,47.540207,5111400
2013-11-18,54.939999,55.130001,54.029999,54.230000,47.356823,4417100
2013-11-19,54.160000,54.279999,53.459999,53.970001,47.129776,3707400
2013-11-20,54.020000,54.330002,53.680000,53.939999,47.103573,3086400
2013-11-21,53.639999,53.680000,51.560001,52.380001,45.741295,8102000
2013-11-22,52.310001,52.619999,51.669998,52.090000,45.488049,4224800
2013-11-25,51.529999,51.610001,50.660000,51.000000,44.536194,4295700
2013-11-26,50.439999,50.689999,50.200001,50.400002,44.012241,4375900
2013-11-27,50.389999,50.750000,50.180000,50.540001,44.134499,2916800
2013-11-29,50.459999,50.700001,50.259998,50.380001,43.994778,1600500
2013-12-02,50.250000,50.680000,49.910000,50.220001,43.855061,3401600
2013-12-03,49.750000,50.450001,49.630001,50.099998,43.750263,3616200
2013-12-04,49.820000,50.470001,49.759998,50.290001,43.916183,3371200
2013-12-05,50.070000,50.150002,49.610001,49.709999,43.409695,3178400
2013-12-06,49.900002,49.970001,49.520000,49.770000,43.462090,3035300
