Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.984375,3.085938,2.906250,3.082031,2.629159,24232000
2000-01-04,3.007813,3.109375,2.968750,2.984375,2.545852,21564800
2000-01-05,2.992188,3.078125,2.960938,3.023438,2.579175,28206400
2000-01-06,3.000000,3.203125,3.000000,3.132813,2.672479,30825600
2000-01-07,3.093750,3.125000,3.031250,3.117188,2.659150,26044800
2000-01-10,3.234375,3.343750,3.226563,3.250000,2.772446,29031200
2000-01-11,3.242188,3.257813,3.148438,3.156250,2.692472,19623200
2000-01-12,3.171875,3.218750,3.093750,3.164063,2.699137,17745600
2000-01-13,3.171875,3.406250,3.171875,3.390625,2.892408,21556000
2000-01-14,3.398438,3.445313,3.289063,3.304688,2.819099,22196800
2000-01-18,3.273438,3.328125,3.164063,3.257813,2.779112,10513600
2000-01-19,3.257813,3.328125,3.179688,3.187500,2.719130,15800800
2000-01-20,3.195313,3.218750,3.070313,3.132813,2.672479,18167200
2000-01-21,3.164063,3.171875,3.093750,3.121094,2.662482,11176000
2000-01-24,3.125000,3.195313,2.890625,3.070313,2.619162,31140000
2000-01-25,3.039063,3.375000,2.976563,3.250000,2.772446,47650400
2000-01-26,3.367188,3.671875,3.343750,3.625000,3.092345,75863200
2000-01-27,3.609375,3.640625,3.539063,3.609375,3.079015,37517600
2000-01-28,3.625000,3.773438,3.617188,3.726563,3.178983,60170400
2000-01-31,3.742188,4.000000,3.734375,4.000000,3.412242,51054400
2000-02-01,3.968750,4.046875,3.929688,4.039063,3.445564,30592000
2000-02-02,4.031250,4.062500,3.859375,3.976563,3.392249,20413600
2000-02-03,3.984375,4.000000,3.796875,3.929688,3.352260,20513600
2000-02-04,4.062500,4.343750,3.937500,4.296875,3.665494,51308800
2000-02-07,4.289063,4.312500,4.171875,4.281250,3.652164,19449600
2000-02-08,4.281250,4.375000,4.257813,4.375000,3.732141,21536000
2000-02-09,4.351563,4.359375,4.257813,4.312500,3.678823,17676000
2000-02-10,4.312500,4.335938,3.945313,4.000000,3.412242,24207200
2000-02-11,3.984375,4.187500,3.984375,4.109375,3.505546,19193600
2000-02-14,4.171875,4.351563,4.109375,4.242188,3.618842,20843200
2000-02-15,4.242188,4.359375,4.046875,4.328125,3.692152,16425600
2000-02-16,4.328125,4.335938,4.265625,4.273438,3.645500,16617600
2000-02-17,4.296875,4.343750,4.250000,4.328125,3.692152,11840800
