Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.687500,26.187500,25.437500,26.093750,19.783421,987600
2000-01-04,25.812500,27.562500,25.812500,27.093750,20.541590,1704600
2000-01-05,27.125000,27.281250,26.625000,27.093750,20.541590,1033800
2000-01-06,27.187500,27.937500,27.125000,27.812500,21.086519,925800
2000-01-07,28.250000,28.875000,28.125000,28.812500,21.844685,1197400
2000-01-10,29.125000,29.875000,28.921875,29.656250,22.484396,1759400
2000-01-11,29.562500,29.625000,29.218750,29.281250,22.200079,940400
2000-01-12,29.375000,30.187500,29.187500,29.875000,22.650238,1231400
2000-01-13,29.906250,30.937500,29.843750,30.375000,23.029327,3895600
2000-01-14,30.500000,30.562500,29.468750,30.093750,22.816093,2019000
2000-01-18,30.093750,30.093750,29.125000,29.593750,22.437006,783600
2000-01-19,29.250000,29.375000,28.437500,28.812500,21.844685,979600
2000-01-20,28.687500,28.750000,27.250000,27.718750,21.015442,1358600
2000-01-21,28.250000,28.375000,27.406250,27.468750,20.825897,918400
2000-01-24,27.500000,27.750000,26.750000,27.000000,20.470510,1201000
2000-01-25,27.000000,27.375000,26.500000,26.656250,20.209887,469000
2000-01-26,27.500000,28.500000,27.375000,28.031250,21.252365,1418800
2000-01-27,27.937500,28.968750,27.937500,28.625000,21.702524,915600
2000-01-28,28.625000,29.375000,27.937500,28.656250,21.726229,939200
2000-01-31,28.531250,28.531250,27.125000,28.062500,21.276062,923000
2000-02-01,27.937500,28.062500,27.375000,27.562500,20.896978,544200
2000-02-02,27.687500,28.000000,27.000000,27.187500,20.612663,604200
2000-02-03,27.312500,27.562500,26.500000,26.718750,20.257273,810800
2000-02-04,26.843750,26.968750,26.000000,26.250000,19.901886,860000
2000-02-07,26.125000,26.125000,25.250000,25.500000,19.333258,770400
2000-02-08,24.750000,25.875000,24.750000,25.562500,19.380644,1447800
2000-02-09,26.062500,26.500000,25.812500,25.906250,19.641264,1011200
2000-02-10,26.031250,26.687500,25.562500,25.906250,19.641264,1902400
2000-02-11,26.000000,26.000000,25.250000,25.343750,19.214794,784400
2000-02-14,25.187500,25.437500,24.968750,25.000000,18.954172,401400
2000-02-15,25.312500,25.562500,24.968750,25.375000,19.238491,611000
2000-02-16,25.250000,25.437500,24.468750,24.500000,18.575090,824800
2000-02-17,24.375000,25.125000,24.250000,24.593750,18.646170,1256800
2000-02-18,24.468750,24.500000,23.250000,23.875000,18.101236,914200
2000-02-22,24.125000,24.843750,24.000000,24.718750,18.740934,529200
2000-02-23,24.718750,25.125000,24.718750,24.968750,18.930483,543400
2000-02-24,24.968750,24.968750,24.218750,24.312500,18.432938,1013200
2000-02-25,24.281250,24.812500,24.125000,24.125000,18.290781,485800
2000-02-28,23.875000,23.937500,23.593750,23.656250,17.935387,606800
2000-02-29,23.656250,25.156250,23.656250,24.843750,18.835707,1237000
2000-03-01,25.250000,25.906250,25.125000,25.718750,19.499113,1147400
2000-03-02,25.718750,26.062500,25.437500,25.500000,19.333258,1119600
2000-03-03,25.468750,26.062500,25.312500,25.562500,19.380644,976800
2000-03-06,25.562500,25.562500,24.593750,24.812500,18.812017,692000
2000-03-07,25.000000,25.062500,23.843750,24.031250,18.219698,3306400
2000-03-08,23.687500,23.750000,22.125000,22.187500,16.821833,4690800
2000-03-09,22.500000,22.812500,22.187500,22.468750,17.035065,1624600
2000-03-10,22.437500,23.000000,22.312500,22.375000,16.963985,1019000
2000-03-13,21.875000,22.812500,21.687500,22.562500,17.106138,1283600
2000-03-14,22.593750,23.218750,21.968750,22.187500,16.821833,1840800
2000-03-15,22.250000,23.218750,21.718750,22.718750,17.224615,2136600
2000-03-16,23.250000,25.000000,23.125000,24.531250,18.598776,1833400
2000-03-17,24.562500,24.750000,23.937500,24.000000,18.196005,883600
2000-03-20,24.281250,25.000000,24.250000,24.312500,18.432938,850000
2000-03-21,24.312500,25.125000,24.187500,25.062500,19.001558,1335600
2000-03-22,25.031250,25.093750,24.375000,24.437500,18.527706,2615200
2000-03-23,24.375000,26.312500,24.375000,25.781250,19.546495,3031800
2000-03-24,25.781250,26.250000,25.500000,26.000000,19.712339,818400
2000-03-27,26.000000,26.093750,24.687500,24.906250,18.883095,896600
2000-03-28,25.031250,25.562500,24.750000,24.968750,18.930483,683400
2000-03-29,24.968750,25.343750,24.093750,24.812500,18.812017,1248000
2000-03-30,25.500000,26.812500,25.468750,26.343750,19.972965,1448800
2000-03-31,26.218750,27.531250,26.125000,27.156250,20.588974,1217200
2000-04-03,27.281250,27.875000,27.062500,27.625000,20.944363,718400
2000-04-04,27.750000,27.906250,26.625000,27.375000,20.754822,1537200
2000-04-05,27.750000,27.750000,26.687500,26.843750,20.352043,520600
2000-04-06,26.937500,27.218750,26.687500,26.781250,20.304670,364600
2000-04-07,27.562500,28.218750,26.937500,28.093750,21.299759,867200
2000-04-10,28.718750,29.500000,28.562500,29.343750,22.247459,1803200
2000-04-11,29.218750,29.375000,28.843750,29.312500,22.223774,1244200
2000-04-12,29.500000,29.750000,28.875000,28.906250,21.915766,1085400
2000-04-13,28.968750,28.968750,28.218750,28.468750,21.584072,625800
2000-04-14,28.093750,28.187500,27.125000,27.406250,20.778515,659200
2000-04-17,27.281250,27.281250,26.437500,26.687500,20.233585,859000
2000-04-18,26.687500,28.000000,26.125000,26.968750,20.446819,1152000
2000-04-19,26.906250,27.187500,26.687500,26.968750,20.446819,370200
2000-04-20,26.656250,27.375000,26.500000,27.343750,20.731131,697400
2000-04-24,27.218750,27.500000,27.093750,27.375000,20.754822,1013600
2000-04-25,27.250000,28.875000,27.250000,28.687500,21.749920,738800
2000-04-26,28.687500,28.875000,27.937500,28.531250,21.631458,763600
2000-04-27,27.843750,28.406250,26.531250,28.218750,21.394526,2119600
2000-04-28,28.500000,28.500000,27.468750,27.812500,21.086519,755800
2000-05-01,27.812500,28.125000,27.656250,28.093750,21.299759,658400
2000-05-02,27.750000,28.000000,26.781250,27.156250,20.588974,765600
2000-05-03,27.062500,27.281250,26.750000,26.968750,20.446819,1214400
2000-05-04,26.875000,27.125000,26.781250,26.843750,20.352043,920200
2000-05-05,26.781250,27.062500,26.343750,26.906250,20.399429,1068800
2000-05-08,26.781250,27.468750,26.750000,27.156250,20.588974,825200
2000-05-09,27.093750,27.750000,26.718750,26.718750,20.257273,1631400
