Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,6.200000,6.350000,6.100000,6.150000,3.918527,6666400
2009-04-08,5.960000,6.390000,5.940000,6.350000,4.045958,8796500
2009-04-09,6.600000,6.790000,6.410000,6.650000,4.237106,10464000
2009-04-13,6.300000,6.490000,5.870000,6.340000,4.039587,16267100
2009-04-14,6.180000,6.300000,5.680000,6.050000,3.854811,14846000
2009-04-15,5.810000,6.030000,5.610000,5.850000,3.727378,13835800
2009-04-16,5.970000,6.490000,5.910000,6.350000,4.045958,14255300
2009-04-17,6.300000,6.980000,6.150000,6.830000,4.351794,14858600
2009-04-20,6.300000,6.720000,6.300000,6.460000,4.116045,9185100
2009-04-21,6.370000,6.750000,6.310000,6.670000,4.249850,11757200
2009-04-22,6.570000,7.350000,6.570000,7.150000,4.555686,23113500
2009-04-23,7.260000,7.260000,6.870000,7.020000,4.472854,18314500
2009-04-24,7.200000,7.300000,6.890000,7.280000,4.638515,14603500
2009-04-27,7.120000,7.500000,6.940000,7.020000,4.472854,13049400
2009-04-28,6.950000,7.150000,6.930000,7.020000,4.472854,8095400
2009-04-29,7.050000,7.570000,7.040000,7.440000,4.740461,10543800
2009-04-30,7.800000,8.370000,7.700000,8.160000,5.199216,19682200
2009-05-01,8.160000,8.630000,8.060000,8.450000,5.383991,13016600
2009-05-04,8.750000,9.110000,8.720000,9.090000,5.791774,12887300
2009-05-05,9.070000,9.070000,8.390000,8.460000,5.390363,16786200
2009-05-06,8.460000,8.640000,8.110000,8.410000,5.358503,14482100
2009-05-07,8.500000,8.580000,7.550000,7.700000,4.906122,15354200
2009-05-08,7.990000,7.990000,7.170000,7.790000,4.963467,16932500
2009-05-11,7.680000,7.840000,7.470000,7.570000,4.823292,11357900
2009-05-12,7.650000,7.890000,7.000000,7.340000,4.676745,15147200
2009-05-13,7.250000,7.280000,6.780000,6.980000,4.447368,19403500
2009-05-14,7.000000,7.350000,6.830000,7.290000,4.644887,13707100
2009-05-15,7.170000,7.590000,7.160000,7.250000,4.619402,8781100
2009-05-18,7.170000,7.650000,7.130000,7.620000,4.855149,8637300
2009-05-19,7.670000,8.320000,7.600000,8.110000,5.167356,11984400
2009-05-20,8.300000,8.410000,7.820000,7.910000,5.039925,15830400
2009-05-21,7.820000,8.030000,7.600000,8.010000,5.103642,10178600
2009-05-22,8.160000,8.530000,7.980000,8.440000,5.377620,13414800
2009-05-26,8.220000,8.800000,8.200000,8.780000,5.594253,12889300
2009-05-27,8.800000,8.960000,8.570000,8.580000,5.466821,12595100
2009-05-28,8.770000,8.850000,8.290000,8.680000,5.530538,12409300
2009-05-29,8.640000,8.930000,8.560000,8.710000,5.549652,23409900
2009-06-01,9.000000,9.490000,8.880000,9.460000,6.027523,13236200
2009-06-02,9.300000,9.300000,8.600000,8.780000,5.594253,18511900
2009-06-03,8.590000,8.720000,8.310000,8.460000,5.390363,11261200
2009-06-04,8.480000,8.980000,8.460000,8.930000,5.689828,9990400
