Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,8.370000,8.520000,8.300000,8.400000,7.750220,2469400
2009-04-08,8.480000,8.800000,8.410000,8.800000,8.119278,3783000
2009-04-09,8.980000,9.250000,8.910000,9.220000,8.506790,4933700
2009-04-13,9.100000,9.100000,8.570000,8.920000,8.229993,3643800
2009-04-14,9.000000,9.120000,8.780000,8.950000,8.257673,3285200
2009-04-15,8.900000,8.940000,8.650000,8.860000,8.174637,3293300
2009-04-16,9.070000,9.300000,8.670000,8.970000,8.276129,6513100
2009-04-17,8.990000,9.160000,8.700000,9.010000,8.313031,3273000
2009-04-20,8.810000,8.970000,8.620000,8.780000,8.100822,3804600
2009-04-21,8.730000,8.870000,8.570000,8.830000,8.146955,2743600
2009-04-22,8.680000,9.180000,8.640000,8.790000,8.110050,3762000
2009-04-23,8.800000,9.320000,8.450000,9.250000,8.534467,9203700
2009-04-24,8.920000,8.950000,7.850000,8.480000,7.824031,13449400
2009-04-27,8.370000,8.750000,8.230000,8.450000,7.796353,5586400
2009-04-28,8.410000,8.410000,7.920000,8.020000,7.399615,6647200
2009-04-29,8.290000,8.670000,8.020000,8.510000,7.851711,6182800
2009-04-30,8.530000,9.170000,8.460000,8.840000,8.156184,6987400
2009-05-01,9.210000,9.500000,8.900000,9.220000,8.506790,5702300
2009-05-04,9.550000,9.860000,9.390000,9.720000,8.968110,5725800
2009-05-05,9.750000,9.900000,9.520000,9.820000,9.060374,3753600
2009-05-06,9.850000,9.940000,9.710000,9.770000,9.014242,3882900
2009-05-07,9.750000,9.770000,8.970000,9.190000,8.479108,6388100
2009-05-08,9.310000,9.420000,8.710000,9.050000,8.349940,3606800
2009-05-11,9.080000,9.350000,8.800000,9.010000,8.313031,2672000
2009-05-12,9.020000,9.040000,8.350000,8.470000,7.814803,5315400
2009-05-13,8.340000,8.660000,8.210000,8.210000,7.574915,4691500
2009-05-14,8.230000,8.750000,8.200000,8.600000,7.934749,3191100
2009-05-15,8.650000,8.890000,8.650000,8.760000,8.082370,3466100
2009-05-18,8.910000,9.120000,8.760000,9.030000,8.331487,2592400
2009-05-19,9.120000,9.260000,8.930000,9.060000,8.359165,2814600
2009-05-20,9.150000,9.320000,8.950000,8.970000,8.276129,2042400
2009-05-21,8.980000,9.050000,8.620000,8.850000,8.165409,2815900
2009-05-22,8.870000,8.930000,8.640000,8.680000,8.008561,1500400
2009-05-26,8.640000,9.050000,8.600000,9.020000,8.322260,3807500
2009-05-27,9.060000,9.520000,8.980000,9.080000,8.377618,4312800
2009-05-28,9.170000,9.340000,8.900000,9.220000,8.506790,2690000
2009-05-29,9.280000,9.640000,9.250000,9.530000,8.792804,4456500
2009-06-01,9.690000,10.030000,9.570000,9.900000,9.134185,3610300
2009-06-02,9.830000,10.080000,9.610000,9.780000,9.023469,4120000
2009-06-03,9.770000,9.780000,9.320000,9.480000,8.746675,2617800
2009-06-04,9.520000,9.930000,9.500000,9.880000,9.115731,2826000
2009-06-05,10.000000,10.010000,9.650000,9.810000,9.051147,2057800
2009-06-08,9.710000,9.810000,9.470000,9.740000,8.986564,2404200
2009-06-09,9.900000,10.340000,9.840000,10.180000,9.392528,3743400
2009-06-10,10.330000,10.370000,9.950000,10.230000,9.438660,3368700
2009-06-11,10.300000,10.660000,10.230000,10.500000,9.687772,4624000
2009-06-12,10.340000,10.380000,9.960000,10.260000,9.466339,3735300
2009-06-15,10.070000,10.180000,9.880000,10.050000,9.272583,1969000
2009-06-16,10.030000,10.080000,9.550000,9.710000,8.958883,6210900
2009-06-17,9.680000,10.110000,9.440000,9.820000,9.060374,5171700
2009-06-18,9.780000,9.960000,9.570000,9.730000,8.977337,2771000
2009-06-19,9.900000,9.960000,9.630000,9.680000,8.931204,2399300
2009-06-22,9.660000,9.690000,9.250000,9.250000,8.534467,2468900
