Date,Open,High,Low,Close,Adj Close,Volume
2009-04-07,35.119999,35.750000,34.830002,35.040001,26.856310,925500
2009-04-08,35.080002,35.150002,34.180000,34.509998,26.450096,1269000
2009-04-09,34.970001,35.619999,34.560001,35.470001,27.185892,1793900
2009-04-13,34.880001,35.330002,34.270000,34.880001,26.733685,1132600
2009-04-14,34.720001,35.630001,34.389999,35.209999,26.986610,2566100
2009-04-15,34.799999,36.270000,34.740002,35.799999,27.438808,2175900
2009-04-16,35.889999,37.290001,35.889999,37.110001,28.442869,1992100
2009-04-17,37.119999,39.090000,37.119999,38.380001,29.416252,3193900
2009-04-20,38.049999,38.650002,37.029999,37.049999,28.396879,1346700
2009-04-21,36.650002,37.570000,36.450001,37.180000,28.496508,940600
2009-04-22,37.020000,37.220001,36.389999,36.770000,28.182278,1241000
2009-04-23,36.730000,36.980000,35.919998,36.450001,27.937006,1307000
2009-04-24,36.450001,37.200001,36.310001,37.070000,28.412209,1182700
2009-04-27,36.779999,37.150002,36.509998,36.730000,28.151608,1237100
2009-04-28,36.369999,36.869999,36.220001,36.450001,27.937006,1506800
2009-04-29,36.779999,36.959999,36.400002,36.730000,28.151608,1870700
2009-04-30,37.029999,38.770000,36.930000,38.250000,29.316610,2185000
2009-05-01,38.320000,39.040001,37.939999,39.040001,29.922102,1267500
2009-05-04,38.930000,39.099998,38.330002,38.500000,29.508226,1794600
2009-05-05,40.900002,43.389999,40.520000,42.169998,32.321072,4909300
2009-05-06,42.299999,42.680000,40.919998,42.020000,32.206120,1704600
2009-05-07,42.259998,42.259998,41.349998,41.560001,31.853546,1327500
2009-05-08,41.889999,42.599998,41.720001,42.000000,32.190784,1613100
2009-05-11,41.560001,42.340000,41.450001,41.990002,32.183121,1299000
2009-05-12,42.110001,42.580002,41.520000,42.240002,32.374733,1278500
2009-05-13,41.970001,42.310001,41.540001,41.580002,31.868891,1458200
2009-05-14,41.700001,42.520000,41.599998,42.020000,32.206120,1415200
2009-05-15,42.000000,42.459999,41.820000,41.959999,32.160126,1362800
2009-05-18,42.270000,43.250000,42.060001,43.250000,33.148849,2161400
2009-05-19,43.299999,44.000000,42.869999,43.450001,33.302139,1826500
2009-05-20,43.660000,43.880001,43.070000,43.490002,33.332802,2392700
2009-05-21,43.130001,43.770000,42.759998,43.470001,33.317471,1343000
2009-05-22,43.520000,43.849998,43.169998,43.560001,33.386436,846600
2009-05-26,43.509998,44.910000,43.299999,44.910000,34.421150,2131700
2009-05-27,44.779999,44.980000,44.209999,44.279999,34.120617,1715800
2009-05-28,44.500000,44.840000,44.029999,44.689999,34.436554,1146100
2009-05-29,44.509998,45.270000,43.930000,43.990002,33.897167,3334400
2009-06-01,44.430000,45.340000,43.869999,44.630001,34.390327,3796700
2009-06-02,44.650002,46.439999,44.630001,46.340000,35.707996,2036000
2009-06-03,46.180000,46.810001,45.779999,46.430000,35.777340,1595600
2009-06-04,46.549999,46.900002,46.160000,46.189999,35.592415,1668600
