Date,Open,High,Low,Close,Adj Close,Volume
2000-10-06,2.546875,2.578125,2.343750,2.437500,1.790836,7776800
2000-10-09,2.429688,2.429688,2.265625,2.265625,1.664559,2759200
2000-10-10,2.250000,2.375000,2.250000,2.296875,1.687518,2257600
2000-10-11,2.289063,2.289063,2.203125,2.218750,1.630120,3709600
2000-10-12,2.187500,2.187500,2.000000,2.109375,1.549762,4552000
2000-10-13,2.078125,2.156250,2.062500,2.156250,1.584201,1595200
2000-10-16,2.156250,2.187500,2.140625,2.164063,1.589941,1236800
2000-10-17,2.156250,2.328125,2.156250,2.296875,1.687518,620000
2000-10-18,2.281250,2.296875,2.171875,2.179688,1.601420,1392000
2000-10-19,2.195313,2.203125,2.125000,2.132813,1.566982,1219200
2000-10-20,2.148438,2.148438,2.109375,2.125000,1.561242,1064800
2000-10-23,2.125000,2.125000,2.093750,2.093750,1.538282,1488800
2000-10-24,2.125000,2.187500,2.117188,2.187500,1.607160,533600
2000-10-25,2.187500,2.343750,2.171875,2.281250,1.676039,1664000
2000-10-26,2.265625,2.265625,2.203125,2.265625,1.664559,338400
2000-10-27,2.289063,2.453125,2.273438,2.437500,1.790836,400000
2000-10-30,2.414063,2.687500,2.406250,2.687500,1.974511,741600
2000-10-31,2.812500,3.031250,2.812500,2.921875,2.146707,3561600
2000-11-01,2.890625,2.929688,2.796875,2.898438,2.129488,2935200
2000-11-02,2.914063,3.015625,2.890625,2.984375,2.192626,914400
2000-11-03,2.953125,3.156250,2.875000,3.156250,2.318903,2640800
2000-11-06,3.156250,3.156250,3.000000,3.007813,2.209845,677600
2000-11-07,3.000000,3.000000,2.890625,2.968750,2.181146,866400
2000-11-08,2.781250,3.000000,2.703125,3.000000,2.204105,2896000
2000-11-09,3.000000,3.031250,2.921875,2.992188,2.198365,1449600
2000-11-10,2.984375,3.125000,2.984375,3.093750,2.272984,368000
2000-11-13,3.062500,3.062500,2.750000,2.765625,2.031910,726400
2000-11-14,2.750000,2.843750,2.656250,2.843750,2.089309,1000800
2000-11-15,2.859375,2.906250,2.804688,2.875000,2.112268,736800
2000-11-16,2.859375,2.875000,2.859375,2.867188,2.106528,72800
2000-11-17,2.890625,2.921875,2.851563,2.921875,2.146707,272800
2000-11-20,2.906250,2.906250,2.750000,2.843750,2.089309,264800
2000-11-21,2.835938,2.843750,2.820313,2.828125,2.077829,712800
2000-11-22,2.843750,2.875000,2.812500,2.875000,2.112268,404000
2000-11-24,2.875000,2.875000,2.867188,2.875000,2.112268,242400
2000-11-27,2.906250,2.976563,2.875000,2.968750,2.181146,833600
2000-11-28,2.945313,3.023438,2.937500,2.937500,2.158186,1260800
2000-11-29,2.906250,2.906250,2.750000,2.781250,2.043389,128000
2000-11-30,2.750000,2.765625,2.718750,2.765625,2.031910,688000
2000-12-01,2.734375,2.750000,2.687500,2.750000,2.020431,416800
2000-12-04,2.734375,2.890625,2.734375,2.890625,2.123747,1025600
2000-12-05,2.890625,2.890625,2.781250,2.781250,2.043389,1095200
2000-12-06,2.765625,2.898438,2.765625,2.882813,2.118007,408800
2000-12-07,2.914063,3.062500,2.914063,3.000000,2.204105,440000
2000-12-08,3.031250,3.218750,3.007813,3.171875,2.330383,424800
2000-12-11,3.171875,3.250000,3.156250,3.226563,2.370562,264800
2000-12-12,3.164063,3.218750,3.109375,3.117188,2.290203,470400
2000-12-13,3.101563,3.101563,3.000000,3.000000,2.204105,324000
2000-12-14,3.000000,3.000000,2.515625,2.632813,1.934332,1654400
2000-12-15,2.640625,2.640625,2.625000,2.632813,1.934332,32800
2000-12-18,2.656250,2.664063,2.515625,2.578125,1.894153,369600
2000-12-19,2.570313,2.593750,2.546875,2.593750,1.905633,316800
2000-12-20,2.585938,2.585938,2.515625,2.531250,1.859714,838400
2000-12-21,2.546875,2.625000,2.531250,2.625000,1.928592,652000
2000-12-22,2.625000,2.812500,2.625000,2.796875,2.054869,232000
2000-12-26,2.804688,3.000000,2.804688,2.937500,2.158186,272000
2000-12-27,3.000000,3.125000,3.000000,3.125000,2.295944,406400
2000-12-28,3.125000,3.578125,3.125000,3.531250,2.594416,1199200
2000-12-29,3.531250,3.671875,3.531250,3.593750,2.640335,590400
2001-01-02,3.578125,3.625000,3.250000,3.265625,2.399261,1202400
2001-01-03,3.250000,3.281250,3.218750,3.257813,2.393520,487200
