Date,Open,High,Low,Close,Adj Close,Volume
2002-08-21,32.500000,32.759998,31.690001,31.950001,20.448231,1953900
2002-08-22,31.950001,32.639999,31.350000,32.500000,20.800236,1809100
2002-08-23,32.500000,32.500000,31.520000,31.719999,20.301023,974800
2002-08-26,31.969999,32.000000,30.980000,31.780001,20.339426,632900
2002-08-27,31.850000,32.310001,30.740000,30.980000,19.827415,1045800
2002-08-28,30.549999,30.870001,29.650000,30.340000,19.417805,1084600
2002-08-29,29.760000,30.639999,29.559999,30.340000,19.417805,854300
2002-08-30,30.090000,30.940001,30.000000,30.420000,19.469013,779300
2002-09-03,30.420000,30.420000,29.389999,29.629999,18.963409,1087700
2002-09-04,30.150000,30.549999,29.400000,30.469999,19.501005,1507600
2002-09-05,30.250000,30.260000,29.459999,29.639999,18.969803,1246700
2002-09-06,29.889999,30.110001,29.480000,30.059999,19.238613,1069600
2002-09-09,29.969999,30.910000,29.440001,30.559999,19.558617,943000
2002-09-10,30.530001,30.950001,30.379999,30.900000,19.776211,920100
2002-09-11,31.500000,31.900000,31.400000,31.719999,20.301023,1441800
2002-09-12,31.639999,32.500000,31.510000,31.750000,20.320217,2003000
2002-09-13,31.600000,32.230000,31.379999,32.099998,20.544224,1211500
2002-09-16,32.099998,32.099998,31.020000,31.950001,20.448231,1216300
2002-09-17,32.950001,33.150002,30.879999,31.120001,19.917019,1247300
2002-09-18,31.000000,31.400000,30.250000,30.959999,19.814617,1045300
2002-09-19,30.969999,30.969999,29.750000,30.139999,19.289808,1268300
2002-09-20,30.350000,30.730000,29.469999,29.660000,18.982601,2220200
2002-09-23,29.670000,30.200001,29.500000,30.150000,19.296211,1378000
2002-09-24,29.900000,30.870001,29.750000,29.879999,19.123419,2092000
2002-09-25,30.350000,30.540001,29.120001,30.000000,19.200211,1368600
2002-09-26,30.049999,30.799999,29.950001,30.400000,19.646128,1724000
2002-09-27,29.870001,30.100000,28.559999,28.790001,18.605663,1699900
2002-09-30,28.250000,28.900000,27.430000,28.719999,18.560410,1462800
2002-10-01,28.770000,30.150000,28.299999,30.030001,19.407015,1308200
2002-10-02,30.250000,30.250000,28.180000,28.330000,18.308382,1861600
2002-10-03,28.540001,29.400000,27.910000,27.980000,18.082186,1296300
2002-10-04,28.100000,28.620001,26.840000,27.740000,17.927084,1402900
2002-10-07,27.740000,28.080000,27.049999,27.389999,17.700901,1296800
2002-10-08,27.600000,29.150000,27.230000,28.650000,18.515177,1865500
2002-10-09,28.660000,28.740000,26.900000,27.049999,17.481167,1316300
2002-10-10,27.040001,29.379999,27.000000,29.379999,18.986948,1998600
2002-10-11,31.500000,31.950001,31.139999,31.420000,20.305302,2362500
2002-10-14,31.250000,32.000000,30.100000,30.559999,19.749533,1187600
2002-10-15,31.400000,33.110001,31.400000,32.660000,21.106655,1321700
2002-10-16,32.660000,33.209999,32.380001,32.919998,21.274679,1290100
2002-10-17,33.700001,34.750000,33.490002,34.029999,21.992025,2146300
2002-10-18,33.889999,34.150002,33.099998,33.599998,21.714138,1202300
2002-10-21,33.610001,34.750000,33.049999,34.400002,22.231146,1612300
2002-10-22,34.000000,34.119999,33.450001,33.560001,21.688284,1299500
2002-10-23,33.619999,33.630001,27.059999,32.009998,20.686598,5543800
2002-10-24,32.250000,34.419998,32.250000,33.060001,21.365164,3021900
2002-10-25,33.250000,33.910000,32.529999,33.740002,21.804611,1532600
2002-10-28,34.400002,34.849998,33.419998,33.470001,21.630131,2605500
2002-10-29,32.750000,33.169998,31.650000,32.570000,21.048489,1461000
2002-10-30,32.570000,33.700001,32.200001,33.450001,21.617195,3601700
2002-10-31,33.360001,33.650002,32.459999,32.799999,21.197136,1818400
2002-11-01,32.549999,33.570000,32.290001,33.369999,21.565498,1095300
2002-11-04,33.650002,33.889999,33.250000,33.360001,21.559038,1333800
2002-11-05,33.360001,33.610001,32.799999,33.119999,21.403940,708400
2002-11-06,33.500000,33.959999,32.700001,33.610001,21.720604,1029900
2002-11-07,33.619999,33.619999,32.439999,32.470001,20.983866,772400
2002-11-08,32.340000,32.900002,31.790001,32.400002,20.938631,924500
2002-11-11,32.240002,32.560001,31.969999,32.160000,20.783537,831500
2002-11-12,32.220001,33.250000,32.099998,32.700001,21.132507,914700
2002-11-13,32.349998,33.599998,31.910000,32.820000,21.210064,1062000
2002-11-14,33.200001,34.110001,33.200001,33.820000,21.856312,906300
2002-11-15,33.500000,35.049999,33.459999,35.049999,22.651207,1119900
2002-11-18,35.070000,35.139999,34.099998,34.299999,22.166506,897300
2002-11-19,34.299999,34.619999,33.950001,34.230000,22.121275,833000
2002-11-20,34.230000,35.430000,34.020000,35.430000,22.896774,970900
2002-11-21,35.750000,36.500000,35.660000,35.759998,23.110043,1849500
2002-11-22,35.759998,36.709999,35.520000,36.560001,23.627050,988000
2002-11-25,36.400002,36.630001,35.509998,35.860001,23.174675,1109000
2002-11-26,35.680000,36.400002,35.250000,35.619999,23.019571,1905600
2002-11-27,35.650002,36.250000,35.480000,36.040001,23.291002,843400
2002-11-29,36.290001,37.270000,36.000000,37.240002,24.066509,574200
2002-12-02,37.490002,37.549999,35.669998,36.000000,23.265144,989100
2002-12-03,35.750000,36.169998,35.630001,35.930000,23.219910,583200
2002-12-04,35.939999,35.950001,34.959999,35.560001,22.980793,839900
2002-12-05,35.700001,35.759998,35.090000,35.400002,22.877394,753900
2002-12-06,35.090000,35.650002,34.950001,35.290001,22.806303,749700
2002-12-09,35.049999,35.400002,34.389999,34.580002,22.347469,672200
2002-12-10,34.689999,35.299999,34.259998,35.250000,22.780457,873800
