Date,Open,High,Low,Close,Adj Close,Volume
2016-01-05,123.430000,126.250000,122.309998,125.839996,118.464790,2163600
2016-01-06,125.239998,125.540001,119.940002,119.980003,112.948227,2386400
2016-01-07,116.379997,119.739998,114.930000,114.949997,108.213020,2489500
2016-01-08,115.480003,117.440002,113.500000,116.620003,109.785156,2006300
2016-01-11,117.010002,117.330002,114.089996,114.970001,108.231857,1408600
2016-01-12,115.510002,116.059998,114.500000,115.550003,108.777878,1098000
2016-01-13,116.459999,117.070000,112.589996,112.849998,106.236115,949600
2016-01-14,113.510002,115.029999,110.050003,114.379997,107.676422,785300
2016-01-15,113.330002,114.879997,111.919998,112.529999,105.934853,1093700
2016-01-19,113.660004,115.870003,109.870003,110.379997,103.910866,1523500
2016-01-20,109.059998,111.599998,108.320000,109.300003,102.894173,1653900
2016-01-21,109.730003,110.580002,108.320000,110.000000,103.553131,944300
2016-01-22,111.879997,112.949997,110.190002,111.949997,105.388855,744900
2016-01-25,111.320000,114.629997,110.000000,110.120003,103.666100,703800
2016-01-26,110.419998,111.400002,107.300003,111.000000,104.494537,563100
2016-01-27,110.769997,112.570000,109.019997,110.709999,104.221519,896100
2016-01-28,110.900002,112.970001,109.900002,112.580002,105.981918,680400
2016-01-29,113.349998,114.589996,111.669998,114.470001,107.761162,749900
2016-02-01,114.000000,114.849998,112.900002,114.500000,107.789398,574200
2016-02-02,113.250000,113.860001,109.750000,110.559998,104.080307,694800
2016-02-03,113.379997,114.639999,109.639999,114.050003,107.365753,896300
2016-02-04,114.080002,116.320000,114.080002,115.709999,108.928474,956300
2016-02-05,115.120003,116.489998,109.709999,114.019997,107.337524,997100
2016-02-08,113.300003,113.300003,110.459999,111.160004,104.645157,1200500
2016-02-09,111.169998,112.110001,109.639999,110.650002,104.165024,1725200
2016-02-10,106.730003,112.110001,106.360001,107.519997,101.218483,1946000
2016-02-11,105.629997,109.260002,104.110001,107.129997,100.851334,1319500
2016-02-12,108.559998,109.430000,107.070000,107.839996,101.519714,922400
2016-02-16,109.110001,111.300003,107.010002,110.769997,104.278000,1185100
2016-02-17,110.830002,112.110001,107.970001,111.239998,104.720467,921500
2016-02-18,111.120003,112.199997,108.930000,111.599998,105.059364,440900
2016-02-19,111.370003,112.400002,107.279999,110.330002,103.863800,1244300
2016-02-22,111.360001,113.230003,111.010002,113.040001,106.414986,681300
2016-02-23,112.370003,112.800003,111.349998,111.889999,105.332367,411200
2016-02-24,110.769997,112.489998,109.820000,111.559998,105.021721,447300
2016-02-25,111.599998,112.989998,110.750000,112.879997,106.264343,559200
2016-02-26,113.339996,114.180000,111.010002,112.750000,106.141983,459900
2016-02-29,113.040001,115.360001,111.650002,113.320000,106.678558,971600
2016-03-01,114.269997,115.570000,112.650002,115.510002,108.740204,694100
2016-03-02,115.349998,117.089996,115.199997,116.779999,109.935783,1159600
2016-03-03,116.489998,117.669998,115.419998,117.000000,110.142876,884700
2016-03-04,116.610001,117.480003,115.570000,117.190002,110.321739,692000
2016-03-07,116.050003,117.480003,115.989998,116.949997,110.095795,898000
2016-03-08,116.500000,117.370003,115.449997,116.709999,109.869865,844500
2016-03-09,117.050003,117.309998,115.500000,116.489998,109.662781,796500
2016-03-10,116.910004,118.000000,114.139999,116.820000,109.973442,416800
2016-03-11,117.930000,120.760002,116.629997,120.620003,113.550720,590200
2016-03-14,120.419998,121.040001,118.599998,120.629997,113.560120,495100
2016-03-15,119.839996,120.760002,118.089996,120.699997,113.626038,515800
2016-03-16,120.349998,121.040001,119.010002,120.820000,113.738983,562100
2016-03-17,121.010002,124.410004,119.449997,124.029999,116.760864,809300
2016-03-18,124.250000,124.559998,120.089996,121.269997,114.162621,1607300
2016-03-21,120.860001,121.839996,119.139999,121.449997,114.332085,1001300
2016-03-22,121.029999,122.910004,120.720001,121.470001,114.350891,711400
2016-03-23,121.470001,121.470001,119.099998,119.379997,112.383392,444200
2016-03-24,118.889999,119.440002,117.639999,119.410004,112.411644,534100
2016-03-28,119.510002,120.879997,118.000000,118.720001,111.762093,798200
2016-03-29,117.989998,118.930000,117.019997,117.980003,111.516312,591000
2016-03-30,118.400002,119.669998,118.120003,118.739998,112.234665,443200
2016-03-31,118.779999,119.339996,117.860001,118.660004,112.159081,578000
2016-04-01,118.080002,120.339996,117.029999,119.930000,113.359489,765100
2016-04-04,119.660004,120.349998,117.379997,117.650002,111.204391,514300
2016-04-05,116.400002,116.440002,113.250000,114.070000,107.820534,1150000
2016-04-06,114.089996,115.610001,113.730003,115.470001,109.143837,2035300
2016-04-07,114.739998,115.269997,113.339996,113.540001,107.319565,702200
2016-04-08,114.879997,115.000000,112.589996,113.410004,107.196693,689100
2016-04-11,114.110001,115.949997,114.110001,114.639999,108.359306,553200
2016-04-12,114.989998,115.989998,114.750000,115.790001,109.446289,775900
2016-04-13,115.809998,118.010002,115.099998,117.989998,111.525772,621700
2016-04-14,118.160004,119.680000,117.169998,117.720001,111.270569,358100
2016-04-15,117.500000,118.800003,115.930000,118.449997,111.960556,939300
2016-04-18,118.320000,121.269997,117.510002,121.260002,114.616623,735500
2016-04-19,121.349998,122.419998,121.169998,121.680000,115.013596,924600
2016-04-20,121.099998,122.459999,121.019997,122.309998,115.609093,658800
2016-04-21,122.610001,124.129997,121.930000,123.010002,116.270737,1055400
2016-04-22,123.480003,124.739998,122.580002,123.790001,117.008011,695300
2016-04-25,123.199997,124.000000,122.169998,123.300003,116.544846,460000
2016-04-26,123.959999,124.459999,123.160004,124.400002,117.584602,532900
2016-04-27,124.589996,124.989998,123.129997,124.690002,117.858711,462600
2016-04-28,123.540001,124.620003,122.680000,124.150002,117.348297,910700
2016-04-29,123.800003,125.169998,122.050003,124.900002,118.057190,889600
2016-05-02,125.440002,126.739998,124.800003,125.959999,119.059120,734700
2016-05-03,124.559998,126.430000,123.660004,126.269997,119.352142,1304800
2016-05-04,125.389999,126.779999,124.970001,126.559998,119.626259,1598200
2016-05-05,126.660004,127.790001,126.199997,127.660004,120.666008,1917500
2016-05-06,127.360001,127.360001,121.239998,121.559998,114.900177,3221500
2016-05-09,122.279999,123.639999,121.199997,123.440002,116.677177,919800
2016-05-10,123.889999,125.989998,122.809998,125.510002,118.633789,1991600
2016-05-11,125.699997,125.940002,124.070000,124.209999,117.405014,594800
2016-05-12,124.440002,124.570000,122.010002,123.889999,117.102531,475800
2016-05-13,123.910004,126.269997,122.750000,122.970001,116.232933,715100
2016-05-16,123.120003,124.610001,122.870003,123.910004,117.121437,528500
2016-05-17,123.400002,124.169998,121.139999,123.410004,116.648842,580000
2016-05-18,123.220001,125.400002,122.519997,125.269997,118.406937,629700
2016-05-19,124.519997,125.470001,122.690002,125.120003,118.265144,598200
2016-05-20,125.150002,125.769997,123.900002,125.570000,118.690498,816700
2016-05-23,125.480003,126.230003,124.760002,125.949997,119.049652,640800
2016-05-24,126.129997,127.080002,125.169998,126.620003,119.682991,761100
2016-05-25,127.080002,128.059998,125.940002,126.459999,119.531731,462100
2016-05-26,126.360001,126.980003,125.419998,126.610001,119.673523,627000
2016-05-27,126.510002,127.989998,126.120003,127.910004,120.902290,722500
2016-05-31,128.500000,128.690002,127.190002,128.020004,121.006264,1384200
2016-06-01,127.669998,128.139999,126.750000,128.070007,121.053528,441500
2016-06-02,127.989998,128.830002,126.970001,128.750000,121.696266,423600
2016-06-03,127.809998,127.849998,126.010002,127.480003,120.495850,496700
2016-06-06,127.699997,128.750000,124.660004,127.680000,120.684898,536700
2016-06-07,128.050003,129.699997,127.690002,129.250000,122.168869,429400
2016-06-08,128.990005,129.410004,128.029999,129.029999,121.960930,719100
2016-06-09,128.729996,129.669998,128.139999,129.580002,122.480797,394500
2016-06-10,128.869995,128.940002,126.300003,127.010002,120.051605,548000
2016-06-13,127.099998,127.650002,125.309998,125.470001,118.595978,263300
2016-06-14,124.720001,125.699997,123.940002,124.959999,118.113899,329300
2016-06-15,125.949997,125.949997,123.699997,124.139999,117.338821,378700
2016-06-16,123.339996,124.870003,122.750000,124.839996,118.000488,404800
2016-06-17,124.669998,125.750000,123.430000,125.330002,118.463638,659300
2016-06-20,126.510002,128.259995,126.089996,126.269997,119.352142,550300
2016-06-21,126.540001,127.430000,125.349998,127.330002,120.354057,485600
2016-06-22,127.089996,127.910004,126.330002,126.489998,119.560081,561900
2016-06-23,127.940002,127.940002,126.599998,127.650002,120.656540,512300
2016-06-24,121.000000,121.250000,115.930000,117.010002,110.599480,1638000
2016-06-27,114.660004,116.080002,112.989998,113.400002,107.187233,884400
2016-06-28,113.809998,117.629997,113.639999,117.559998,111.591675,795200
2016-06-29,118.339996,121.010002,118.050003,121.000000,114.857033,1049700
2016-06-30,121.360001,124.430000,120.070000,124.309998,117.998978,1162100
2016-07-01,124.480003,125.510002,122.680000,124.000000,117.704758,858400
2016-07-05,120.190002,123.540001,120.190002,123.480003,117.211128,761400
2016-07-06,123.320000,124.989998,122.660004,124.870003,118.530556,749900
2016-07-07,124.279999,125.480003,123.980003,124.440002,118.122375,591100
2016-07-08,126.040001,126.040001,124.599998,125.059998,118.710907,692800
2016-07-11,125.099998,126.110001,124.040001,125.519997,119.147560,482600
2016-07-12,125.889999,127.320000,125.370003,127.199997,120.742271,844000
2016-07-13,127.610001,127.739998,126.150002,126.419998,120.001869,630000
2016-07-14,127.620003,127.680000,125.980003,126.040001,119.641167,567100
2016-07-15,126.400002,126.400002,124.070000,124.589996,118.264763,512200
2016-07-18,124.830002,124.830002,123.620003,123.980003,117.685753,462200
2016-07-19,123.199997,124.529999,122.860001,124.169998,117.866081,706100
2016-07-20,124.510002,124.570000,121.690002,124.000000,117.704758,533900
2016-07-21,123.680000,124.500000,123.050003,123.330002,117.068748,374700
2016-07-22,123.220001,124.059998,122.599998,123.940002,117.647774,373800
2016-07-25,123.570000,124.239998,123.070000,124.000000,117.704758,365700
2016-07-26,124.290001,125.169998,123.589996,123.760002,117.476913,313900
2016-07-27,123.830002,124.620003,123.160004,124.269997,117.961021,401000
2016-07-28,124.010002,124.300003,123.389999,123.739998,117.457939,275500
2016-07-29,123.419998,124.050003,122.839996,123.620003,117.344025,426700
2016-08-01,123.870003,125.330002,123.680000,123.839996,117.552849,574600
2016-08-02,123.610001,124.160004,122.980003,123.169998,116.916862,793200
2016-08-03,123.510002,124.480003,123.410004,123.820000,117.533859,446900
2016-08-04,123.559998,126.000000,123.559998,124.089996,117.790146,766700
2016-08-05,121.730003,123.080002,118.260002,119.919998,113.831856,1865200
2016-08-08,119.570000,121.419998,118.080002,120.589996,114.467842,930800
2016-08-09,120.290001,121.580002,118.900002,121.230003,115.075348,502700
2016-08-10,121.650002,122.430000,121.029999,121.820000,115.635399,709700
2016-08-11,121.860001,122.980003,121.849998,122.750000,116.518196,563900
2016-08-12,122.510002,122.830002,121.070000,121.470001,115.303169,342900
2016-08-15,122.000000,122.230003,121.370003,121.529999,115.360123,478800
2016-08-16,121.370003,121.980003,120.500000,121.480003,115.312653,501800
2016-08-17,121.900002,122.220001,121.440002,121.930000,115.739815,410300
2016-08-18,121.739998,122.730003,121.459999,122.559998,116.337830,443800
2016-08-19,122.099998,123.050003,120.430000,122.720001,116.489708,1414800
2016-08-22,122.550003,124.129997,122.180000,122.949997,116.708031,570700
2016-08-23,123.239998,124.000000,122.599998,123.110001,116.859909,391300
2016-08-24,123.099998,124.260002,121.949997,122.209999,116.005600,425200
2016-08-25,121.809998,122.760002,121.800003,122.209999,116.005600,526300
2016-08-26,122.580002,124.449997,122.110001,122.989998,116.745987,514700
2016-08-29,123.150002,124.760002,122.910004,123.919998,117.628777,456500
2016-08-30,124.180000,124.480003,121.879997,123.940002,117.647774,414100
2016-08-31,123.989998,124.370003,122.110001,124.010002,117.714226,464500
2016-09-01,124.000000,125.239998,123.589996,124.849998,118.511574,526200
2016-09-02,125.500000,126.610001,124.839996,126.529999,120.106277,487300
2016-09-06,126.820000,127.660004,126.059998,127.660004,121.178917,752300
2016-09-07,127.660004,128.979996,127.260002,128.550003,122.023743,632500
2016-09-08,127.860001,128.279999,125.379997,125.419998,119.052643,728300
2016-09-09,124.389999,124.839996,122.040001,122.040001,115.844231,641100
2016-09-12,121.709999,125.459999,121.459999,125.250000,118.891266,655500
2016-09-13,124.000000,124.050003,122.860001,123.089996,116.840912,488900
2016-09-14,122.900002,123.589996,121.610001,122.300003,116.091042,741900
2016-09-15,122.230003,125.500000,121.199997,125.120003,118.767876,713400
2016-09-16,124.230003,124.489998,122.669998,123.949997,117.657272,1847200
2016-09-19,124.599998,125.000000,124.120003,124.680000,118.350212,310700
2016-09-20,125.930000,126.379997,125.419998,125.680000,119.299431,311000
2016-09-21,125.870003,128.500000,125.110001,128.399994,121.881332,927700
2016-09-22,129.000000,129.759995,127.930000,129.179993,122.621727,716500
2016-09-23,128.710007,128.970001,128.059998,128.089996,121.587082,797000
2016-09-26,127.809998,128.029999,127.290001,128.000000,121.501648,410300
2016-09-27,128.419998,129.679993,128.210007,128.899994,122.355949,503600
2016-09-28,128.639999,129.380005,126.949997,127.989998,121.946266,567200
2016-09-29,128.089996,130.720001,127.790001,129.789993,123.661263,1504500
2016-09-30,129.169998,133.399994,129.169998,132.770004,126.500580,1461900
2016-10-03,132.449997,132.740005,130.029999,132.110001,125.871719,1142100
2016-10-04,132.000000,132.089996,130.490005,131.570007,125.357208,1068500
2016-10-05,131.380005,132.639999,130.889999,131.960007,125.728798,700200
2016-10-06,131.820007,132.639999,131.119995,132.089996,125.852676,767200
2016-10-07,132.309998,132.630005,131.000000,131.059998,124.871292,855100
2016-10-10,131.940002,132.570007,130.990005,131.020004,124.833199,423800
2016-10-11,130.520004,131.419998,128.169998,128.729996,122.651306,575700
2016-10-12,129.029999,130.949997,128.729996,129.889999,123.756546,681900
2016-10-13,128.940002,128.949997,127.349998,127.910004,121.870041,540300
2016-10-14,128.690002,129.199997,127.980003,128.369995,122.308319,548000
2016-10-17,128.649994,128.649994,126.320000,127.089996,121.088753,564500
2016-10-18,128.550003,129.289993,127.570000,128.009995,121.965309,505600
2016-10-19,128.460007,129.429993,127.879997,128.759995,122.679893,435600
2016-10-20,127.379997,128.630005,126.239998,127.480003,121.460350,554800
2016-10-21,126.339996,127.250000,126.040001,126.790001,120.802925,496600
2016-10-24,127.330002,128.240005,127.120003,127.290001,121.279327,312000
2016-10-25,127.089996,127.089996,125.669998,126.449997,120.478981,414700
2016-10-26,126.129997,126.919998,125.360001,126.110001,120.155045,478300
2016-10-27,126.650002,127.160004,125.459999,125.629997,119.697685,417000
2016-10-28,125.889999,126.720001,124.519997,125.650002,119.716774,445700
2016-10-31,126.260002,126.820000,125.029999,125.900002,119.954956,459200
2016-11-01,126.519997,126.860001,123.870003,124.330002,118.459099,475800
2016-11-02,124.489998,124.639999,122.699997,122.970001,117.163322,693200
2016-11-03,123.120003,125.040001,121.809998,123.669998,117.830261,736700
2016-11-04,120.239998,120.239998,112.760002,116.779999,111.265617,3531200
2016-11-07,119.120003,119.120003,116.129997,117.690002,112.132645,1345600
2016-11-08,117.129997,119.510002,116.339996,118.790001,113.180695,967600
2016-11-09,117.010002,119.230003,116.070000,118.000000,112.428001,1291600
2016-11-10,118.669998,122.980003,117.699997,122.269997,116.496361,1524500
2016-11-11,121.550003,121.959999,120.839996,121.480003,115.743683,754300
2016-11-14,120.959999,122.599998,120.040001,122.489998,116.705963,1089100
2016-11-15,123.730003,123.919998,122.290001,123.330002,117.506310,639700
2016-11-16,123.169998,123.169998,122.250000,122.669998,116.877472,818400
2016-11-17,122.790001,124.639999,122.190002,124.599998,118.716339,524500
2016-11-18,124.790001,125.949997,124.300003,124.820000,118.925949,819000
2016-11-21,125.099998,125.459999,123.529999,123.889999,118.039848,475900
2016-11-22,124.370003,125.400002,122.919998,124.820000,118.925949,1011700
2016-11-23,124.820000,125.550003,123.669998,124.559998,118.678230,380200
2016-11-25,124.550003,125.419998,123.949997,125.300003,119.383286,284000
2016-11-28,124.820000,125.190002,123.209999,124.370003,118.497200,439900
2016-11-29,124.760002,124.839996,123.820000,124.379997,118.506729,352900
2016-11-30,125.500000,126.000000,124.120003,124.370003,118.497200,676700
2016-12-01,125.099998,125.370003,120.889999,121.419998,115.686501,898700
2016-12-02,121.430000,121.559998,119.699997,119.940002,114.276390,855800
2016-12-05,120.690002,122.059998,120.180000,121.480003,115.743683,604700
2016-12-06,121.480003,124.919998,121.330002,124.760002,118.868790,1301200
2016-12-07,124.900002,125.519997,124.050003,124.750000,118.859276,928300
2016-12-08,125.190002,125.910004,121.949997,123.000000,117.191887,988500
2016-12-09,122.800003,123.300003,122.430000,122.790001,116.991814,943400
2016-12-12,122.639999,122.970001,120.970001,121.209999,115.486412,822500
2016-12-13,126.449997,126.930000,123.629997,124.459999,118.582954,1168200
2016-12-14,124.000000,124.889999,122.019997,122.260002,116.486839,846400
2016-12-15,122.800003,123.230003,121.760002,122.370003,116.591652,826600
2016-12-16,122.440002,123.370003,121.699997,122.330002,116.553543,1232700
2016-12-19,122.320000,123.970001,121.790001,123.629997,117.792137,937600
2016-12-20,124.330002,124.489998,123.419998,123.839996,117.992226,651500
2016-12-21,123.900002,124.150002,122.870003,122.989998,117.182358,614600
2016-12-22,122.519997,123.690002,121.730003,122.849998,117.048973,557200
2016-12-23,123.089996,124.660004,122.709999,124.489998,118.611542,361900
2016-12-27,124.570000,124.900002,124.010002,124.279999,118.411446,382900
2016-12-28,124.300003,124.300003,121.900002,122.379997,117.053253,429900
2016-12-29,122.449997,123.070000,121.599998,122.169998,116.852409,216600
2016-12-30,122.589996,123.559998,121.389999,122.279999,116.957603,466400
2017-01-03,123.230003,124.769997,122.120003,123.239998,117.875832,789800
2017-01-04,123.540001,125.120003,122.930000,124.760002,119.329666,477200
2017-01-05,124.160004,126.040001,124.029999,125.959999,120.477432,583600
2017-01-06,126.989998,127.849998,126.169998,126.779999,121.261749,812200
2017-01-09,126.360001,127.440002,125.930000,126.010002,120.525261,467800
2017-01-10,126.029999,127.029999,125.559998,126.220001,120.726112,643700
2017-01-11,125.959999,126.580002,125.190002,125.750000,120.276581,609300
2017-01-12,125.070000,127.269997,124.580002,125.730003,120.257439,519300
2017-01-13,125.849998,126.400002,124.620003,124.730003,119.300980,635000
2017-01-17,124.430000,125.940002,123.510002,125.330002,119.874855,778600
2017-01-18,125.849998,126.610001,125.309998,126.169998,120.678291,771600
2017-01-19,126.389999,126.400002,125.120003,125.489998,120.027893,473100
2017-01-20,125.739998,126.139999,124.639999,126.070000,120.582642,555800
2017-01-23,125.660004,126.199997,124.970001,125.610001,120.142693,539000
2017-01-24,125.540001,126.449997,125.199997,126.169998,120.678291,550400
2017-01-25,126.690002,127.720001,126.540001,127.570000,122.017365,777200
2017-01-26,127.480003,127.940002,127.120003,127.580002,122.026924,442800
2017-01-27,127.099998,127.099998,124.519997,126.440002,120.936562,664600
2017-01-30,125.980003,126.010002,123.989998,125.570000,120.104401,542000
2017-01-31,125.830002,125.989998,124.599998,125.129997,119.683548,710400
2017-02-01,125.790001,125.790001,124.129997,124.300003,118.889687,670800
2017-02-02,124.000000,125.620003,123.839996,125.239998,119.788780,544300
2017-02-03,125.919998,126.639999,124.910004,125.250000,119.798340,1436600
2017-02-06,124.279999,124.790001,123.599998,123.669998,118.287125,660500
2017-02-07,124.269997,124.690002,123.199997,123.440002,118.067123,775300
2017-02-08,122.949997,123.410004,122.540001,122.989998,117.636703,957400
2017-02-09,125.000000,126.000000,120.870003,122.540001,117.206299,2461700
2017-02-10,122.440002,124.540001,121.199997,124.070000,118.669701,909900
2017-02-13,124.330002,125.349998,124.099998,125.139999,119.693123,714800
2017-02-14,125.269997,125.709999,124.190002,125.169998,119.721825,650500
2017-02-15,124.970001,125.809998,124.290001,125.430000,119.970505,490800
2017-02-16,125.440002,126.550003,125.440002,126.400002,120.898293,524500
2017-02-17,125.989998,128.360001,125.739998,128.350006,122.763412,719100
2017-02-21,128.000000,129.130005,127.080002,127.750000,122.189529,781500
2017-02-22,126.849998,128.089996,126.589996,127.000000,121.472160,531700
2017-02-23,127.250000,127.629997,126.269997,127.160004,121.625206,582900
2017-02-24,126.760002,128.160004,125.389999,128.089996,122.514732,577600
2017-02-27,128.130005,128.750000,127.250000,128.240005,122.658211,422800
2017-02-28,128.289993,128.830002,127.800003,128.429993,122.839928,717000
2017-03-01,129.199997,131.600006,128.809998,131.039993,125.336319,876200
2017-03-02,130.789993,130.880005,129.000000,129.520004,123.882492,805500
2017-03-03,129.330002,130.199997,129.039993,129.960007,124.303337,531200
2017-03-06,128.710007,129.529999,128.339996,128.350006,122.763412,640700
2017-03-07,128.050003,128.570007,126.629997,127.629997,122.074745,504400
2017-03-08,127.849998,128.070007,126.550003,126.690002,121.175674,595900
2017-03-09,126.989998,127.370003,126.260002,126.860001,121.338272,619300
2017-03-10,127.330002,128.020004,126.449997,127.980003,122.409515,735300
2017-03-13,127.919998,129.070007,127.860001,128.929993,123.318161,493000
2017-03-14,128.389999,129.210007,128.169998,129.020004,123.404259,641400
2017-03-15,129.509995,130.339996,128.880005,129.970001,124.312904,781400
2017-03-16,129.919998,130.910004,129.220001,129.300003,123.672058,807300
2017-03-17,129.520004,130.399994,127.800003,129.960007,124.303337,968700
2017-03-20,129.500000,130.600006,129.289993,130.190002,124.523323,655900
2017-03-21,130.389999,130.830002,129.009995,129.190002,123.566849,924100
2017-03-22,129.369995,130.070007,128.550003,129.350006,123.719887,637700
2017-03-23,129.320007,130.339996,128.729996,129.179993,123.557281,629300
2017-03-24,129.250000,130.550003,129.050003,129.880005,124.226814,722300
2017-03-27,128.529999,130.220001,128.169998,130.020004,124.360718,444900
2017-03-28,129.509995,132.130005,129.509995,131.929993,126.187576,668300
2017-03-29,130.679993,131.240005,130.679993,130.949997,125.755424,563500
2017-03-30,130.449997,131.750000,130.289993,131.169998,125.966728,537000
2017-03-31,130.869995,131.240005,130.470001,130.889999,125.697815,628100
2017-04-03,130.929993,131.509995,128.889999,129.929993,124.775902,1039000
2017-04-04,129.800003,130.410004,129.320007,130.320007,125.150444,706900
2017-04-05,130.460007,131.380005,129.860001,129.940002,124.785492,434200
2017-04-06,129.800003,130.320007,127.489998,129.669998,124.526222,942500
2017-04-07,129.410004,129.639999,128.410004,128.460007,123.364212,724600
2017-04-10,128.270004,128.889999,127.559998,127.760002,122.691994,1081600
2017-04-11,127.129997,127.550003,125.709999,127.139999,122.096573,719700
2017-04-12,126.889999,127.050003,125.660004,126.279999,121.270699,658000
2017-04-13,126.000000,127.370003,125.660004,126.540001,121.520378,962000
2017-04-17,126.860001,128.720001,125.779999,128.630005,123.527481,570700
2017-04-18,127.849998,128.750000,127.000000,128.110001,123.028091,534100
2017-04-19,128.759995,129.000000,128.149994,128.250000,123.162544,543100
2017-04-20,128.710007,130.320007,128.070007,129.860001,124.708702,488800
2017-04-21,129.809998,130.160004,127.760002,128.050003,122.970482,798100
2017-04-24,130.199997,130.500000,128.910004,130.080002,124.919952,859900
2017-04-25,130.490005,132.110001,130.490005,131.789993,126.562103,505900
2017-04-26,131.559998,133.169998,131.509995,132.529999,127.272751,819500
2017-04-27,132.639999,133.429993,131.960007,133.050003,127.772163,610600
2017-04-28,133.309998,133.460007,132.460007,132.619995,127.359215,1017500
2017-05-01,133.389999,133.649994,132.509995,133.229996,127.945007,770000
2017-05-02,133.080002,133.720001,132.860001,133.710007,128.405975,883800
2017-05-03,133.259995,134.919998,133.110001,134.009995,128.694046,1619200
2017-05-04,136.000000,142.850006,136.000000,142.339996,136.693619,2863000
2017-05-05,142.350006,144.210007,142.350006,144.199997,138.479828,1696800
2017-05-08,144.449997,146.300003,143.850006,144.289993,138.566254,2015200
2017-05-09,144.550003,145.259995,141.940002,142.110001,136.472733,1405500
2017-05-10,142.149994,142.660004,140.940002,141.960007,136.328690,1272000
2017-05-11,141.580002,142.679993,141.029999,142.460007,136.808868,1434400
2017-05-12,142.000000,143.000000,141.589996,142.320007,136.674423,937700
2017-05-15,142.320007,142.960007,142.000000,142.470001,136.818466,1020100
2017-05-16,142.800003,143.550003,140.149994,142.649994,136.991318,789800
2017-05-17,141.490005,142.039993,140.490005,140.630005,135.051453,1340000
2017-05-18,139.919998,140.740005,139.360001,139.850006,134.302414,1493600
2017-05-19,140.250000,141.190002,139.809998,140.059998,134.504059,1365700
2017-05-22,140.320007,141.190002,139.699997,140.679993,135.099457,794800
2017-05-23,140.550003,141.809998,140.369995,141.220001,135.618042,673700
2017-05-24,141.080002,142.850006,140.539993,142.759995,137.096954,689700
2017-05-25,143.029999,145.300003,142.380005,144.800003,139.056000,948800
2017-05-26,145.039993,145.119995,143.250000,145.000000,139.248123,956700
2017-05-30,144.149994,145.330002,141.669998,145.039993,139.286499,797800
2017-05-31,145.050003,147.119995,144.039993,146.630005,140.813446,1238000
2017-06-01,146.610001,147.940002,146.229996,146.630005,140.813446,1045500
2017-06-02,146.089996,147.500000,145.779999,147.179993,141.341629,795400
2017-06-05,147.440002,148.000000,146.940002,147.050003,141.216797,592400
2017-06-06,146.470001,146.470001,145.160004,145.389999,139.622635,524200
2017-06-07,145.520004,145.660004,144.440002,145.369995,139.603394,613100
2017-06-08,145.089996,146.360001,144.740005,145.509995,139.737839,721300
2017-06-09,145.539993,146.449997,144.750000,145.660004,139.881927,1042200
2017-06-12,146.039993,146.679993,144.440002,146.240005,140.438919,827700
2017-06-13,145.770004,147.710007,145.589996,147.179993,141.341629,661100
2017-06-14,147.210007,148.360001,146.660004,147.979996,142.109894,515600
2017-06-15,147.330002,148.690002,145.809998,148.419998,142.532425,451900
2017-06-16,149.130005,149.990005,147.539993,149.649994,143.713654,1180000
2017-06-19,150.000000,150.470001,148.889999,149.570007,143.636826,535000
2017-06-20,149.979996,150.339996,147.619995,149.570007,143.636826,622700
2017-06-21,149.350006,149.889999,148.279999,148.600006,142.705307,817900
2017-06-22,147.960007,148.380005,144.789993,145.050003,139.296127,1189800
2017-06-23,145.699997,145.720001,143.899994,145.360001,139.593796,7654200
2017-06-26,145.360001,146.500000,144.500000,145.080002,139.324921,829800
2017-06-27,145.070007,146.000000,144.619995,144.910004,139.161682,767200
2017-06-28,145.149994,147.220001,144.429993,146.839996,141.532745,864100
2017-06-29,146.699997,147.800003,145.559998,146.710007,141.407486,895600
2017-06-30,146.669998,147.029999,145.229996,145.460007,140.202637,653900
2017-07-03,146.479996,147.490005,145.639999,146.389999,141.098999,371600
2017-07-05,146.350006,146.649994,145.449997,145.490005,140.231537,671900
2017-07-06,145.589996,147.759995,144.740005,145.029999,139.788193,686800
