Date,Open,High,Low,Close,Adj Close,Volume
2019-12-05,69.230003,69.800003,68.809998,69.709999,69.709999,1702600
2019-12-06,70.129997,70.370003,69.669998,70.089996,70.089996,1128200
2019-12-09,70.230003,70.489998,69.870003,70.150002,70.150002,970300
2019-12-10,70.070000,70.440002,69.779999,69.919998,69.919998,780900
2019-12-11,70.309998,70.309998,69.279999,69.559998,69.559998,715600
2019-12-12,69.459999,70.050003,69.269997,69.599998,69.599998,619500
2019-12-13,69.290001,69.760002,69.190002,69.559998,69.559998,874800
2019-12-16,69.870003,69.919998,69.059998,69.269997,69.269997,989600
2019-12-17,69.300003,69.830002,69.150002,69.570000,69.570000,1370900
2019-12-18,69.639999,69.639999,68.889999,69.120003,69.120003,1202600
2019-12-19,69.190002,69.269997,68.589996,68.739998,68.739998,557600
2019-12-20,69.379997,69.480003,68.690002,68.930000,68.930000,1241900
2019-12-23,69.150002,69.290001,68.129997,68.400002,68.400002,435600
2019-12-24,68.480003,68.739998,68.139999,68.419998,68.419998,130500
2019-12-26,68.550003,68.870003,68.169998,68.470001,68.470001,301200
2019-12-27,68.550003,68.629997,68.269997,68.570000,68.570000,419500
2019-12-30,68.720001,68.790001,68.370003,68.629997,68.629997,522500
2019-12-31,68.660004,69.110001,68.610001,69.099998,69.099998,851800
2020-01-02,69.489998,69.489998,68.410004,68.959999,68.959999,873500
2020-01-03,68.349998,69.180000,68.160004,69.050003,69.050003,438400
2020-01-06,68.639999,69.000000,68.419998,68.949997,68.949997,650500
2020-01-07,68.820000,68.900002,67.650002,67.690002,67.690002,686200
2020-01-08,67.800003,68.589996,67.739998,68.169998,68.169998,574500
2020-01-09,68.370003,68.620003,67.959999,68.570000,68.570000,905500
2020-01-10,68.540001,68.550003,67.739998,67.860001,67.860001,620500
2020-01-13,67.709999,68.379997,67.699997,68.110001,68.110001,903100
2020-01-14,67.970001,68.660004,67.720001,68.290001,68.290001,1042100
2020-01-15,68.230003,69.180000,68.209999,68.949997,68.949997,453000
2020-01-16,69.080002,69.750000,68.919998,69.730003,69.730003,515200
2020-01-17,69.900002,70.360001,69.699997,70.360001,70.360001,775300
2020-01-21,70.089996,70.370003,69.629997,69.849998,69.849998,688500
2020-01-22,71.099998,71.379997,70.660004,71.239998,71.239998,957100
2020-01-23,70.900002,71.430000,70.190002,71.379997,71.379997,667300
2020-01-24,71.360001,72.120003,71.309998,72.070000,72.070000,671200
2020-01-27,71.540001,72.050003,71.379997,71.589996,71.589996,736600
2020-01-28,71.750000,72.750000,71.750000,72.370003,72.370003,961800
2020-01-29,72.839996,73.449997,71.190002,72.750000,72.750000,1009100
2020-01-30,72.400002,74.660004,72.120003,74.580002,74.580002,747200
2020-01-31,74.320000,74.800003,73.239998,73.529999,73.529999,939800
2020-02-03,73.949997,74.887299,73.847000,74.389999,74.389999,773333
