Date,Included,Excluded
2020-01-28,PAYC,WCG
2019-12-23,LYV,AMG
2019-12-23,ZBRA,TRIP
2019-12-23,STE,MAC
2019-12-09,ODFL,STI
2019-12-05,WRB,VIAB
2019-11-21,NOW,CELG
2019-10-03,LVS,NKTR
2019-09-26,NVR,JEF
2019-09-23,CDW,TSS
2019-08-09,LDOS,APC
2019-08-09,IEX,FL
2019-07-15,TMUS,RHT
2019-07-01,MKTX,LLL
2019-06-07,BMS,MAT
2019-06-03,CTVA,FLR
2019-04-02,DOW,BHF
2019-02-27,WAB,GT
2019-02-15,ATO,NFX
2019-01-18,TFX,PCG
2019-01-02,FRC,SCG
2018-12-24,CE,ESRX
2018-12-03,LW,COL
2018-12-03,MXIM,AET
2018-12-03,FANG,SRCL
2018-11-13,JKHY,EQT
2018-11-06,KEYS,CA
2018-10-11,FTNT,EVHC
2018-10-01,ROL,ANDV
2018-09-14,WCG,XL
2018-08-28,ANET,GGP
2018-07-02,CPRT,DPS
2018-06-20,FLT,TWX
2018-06-18,BR,RRC
2018-06-18,HFC,AYI
2018-06-07,TWTR,MON
2018-06-05,EVRG,NAVI
2018-05-31,ABMD,WYN
2018-04-04,MSCI,CSRA
2018-03-19,TTWO,SIG
2018-03-19,SIVB,PDCO
2018-03-19,NKTR,CHK
2018-03-07,IPGP,SNI
2018-01-03,HII,BCR
2017-10-13,NCLH,LVLT
2017-09-18,CDNS,SPLS
2017-09-01,SBAC,DD
2017-08-29,Q,WFM
2017-08-08,BHF,AN
2017-07-26,DRE,RIG
2017-07-26,AOS,BBBY
2017-07-26,PKG,MUR
2017-07-26,RMD,MNK
2017-07-26,MGM,RAI
2017-06-19,HLT,YHOO
2017-06-19,ALGN,TDC
2017-06-19,ANSS,R
2017-06-19,RE,MJN
2017-06-02,INFO,TGNA
2017-04-05,IT,DNB
2017-04-04,DXC,SWN
2017-03-20,AMD,URBN
2017-03-20,RJF,FTR
2017-03-20,ARE,FSLR
2017-03-16,SNPS,HAR
2017-03-13,DISH,LLTC
2017-03-02,REG,ENDP
2017-03-01,CBOE,PBI
2017-02-28,INCY,SE
2017-01-05,IDXX,STJ
2016-12-02,MAA,OI
2016-12-02,EVHC,LM
2016-09-30,COTY,DO
2016-09-22,COO,HOT
2016-09-08,CHTR,EMC
2016-09-06,MTD,JCI
2016-07-05,FTV,CPGX
2016-07-01,LNT,GAS
2016-07-01,ALB,TE
2016-06-22,FBHS,CVC
2016-06-20,UA-C,
2016-06-03,TDG,BXLT
2016-05-31,AJG,CCE
2016-05-23,LKQ,ARG
2016-05-18,DLR,TWC
2016-05-13,ALK,SNDK
2016-05-03,AYI,ADT
2016-04-25,GPN,GME
2016-04-18,ULTA,THC
2016-04-04,FL,CAM
2016-03-30,HOLX,POM
2016-03-30,CNC,ESV
2016-03-07,UDR,GMCR
2016-03-04,AWK,CNX
2016-02-22,CXO,PCL
2016-02-01,CFG,PCP
2016-02-01,FRT,BRCM
2016-01-19,EXR,CB
2016-01-05,WLTW,FOSL
2015-12-29,CHD,ALTR
2015-12-15,,CMCSK
2015-12-01,CSRA,CSC
2015-11-19,ILMN,SIAL
2015-11-18,SYF,GNW
2015-11-02,HPE,HCBK
2015-10-07,VRSK,JOY
2015-09-18,CMCSK,
2015-09-18,FOX,
2015-09-18,NWS,
2015-09-02,UAL,HSP
2015-08-28,ATVI,PLL
2015-07-29,SIG,DTV
2015-07-20,PYPL,NE
2015-07-08,AAP,FDO
2015-07-06,KHC,KRFT
2015-07-02,CPGX,ATI
2015-07-01,JBHT,TEG
2015-07-01,BXLT,QEP
2015-06-11,QRVO,LO
2015-04-07,O,WIN
2015-03-23,AAL,AGN
2015-03-23,EQIX,DNR
2015-03-23,SLG,NBR
2015-03-23,HBI,AVP
2015-03-18,HSIC,CFN
2015-03-12,SWKS,PETM
2015-01-27,HCA,SWY
2015-01-27,ENDP,COV
2014-12-05,RCL,BMS
2014-11-05,LVLT,JBL
2014-09-20,URI,BTU
2014-09-20,UHS,GHC
2014-08-18,MNK,RDC
2014-08-06,DISCK,
2014-07-02,MLM,X
2014-07-01,AMG,FRX
2014-06-20,XEC,IGT
2014-05-08,AVGO,LSI
2014-05-01,UA,BEAM
2014-05-01,NAVI,SLM
2014-04-03,GOOGL,
2014-04-02,ESS,CLF
2014-03-21,GMCR,WPX
2014-01-24,TSCO,LIFE
2013-12-23,ADS,ANF
2013-12-23,MHK,JDSU
2013-12-23,FB,TER
2013-12-10,GGP,MOLX
2013-12-02,ALLE,JCP
2013-11-13,KORS,NYX
2013-10-29,RIG,DELL
2013-09-20,VRTX,AMD
2013-09-20,AME,SAI
2013-09-10,DAL,BMC
2013-07-08,NLSN,S
2013-06-28,FOXA,APOL
2013-06-21,ZTS,FHN
2013-06-06,GM,HNZ
2013-05-23,KSU,DF
2013-05-08,MAC,CVH
2013-04-30,REGN,PCS
2013-02-15,PVH,BIG
2012-12-31,ABBV,FII
2012-12-21,DLPH,TIE
2012-12-11,GRMN,RRD
2012-12-03,DG,CBE
2012-10-10,PETM,SUN
2012-10-02,KRFT,ANR
2012-10-01,ADT,LXK
2012-10-01,PNR,DV
2012-09-05,LYB,SHLD
2012-07-31,ESV,GR
2012-07-02,STX,PGN
2012-06-29,MNST,SLE
2012-06-05,LRCX,NVLS
2012-05-21,ALXN,MMI
2012-05-17,KMI,EP
2012-04-23,PSX,SVU
2012-04-03,FOSL,MHS
2012-03-13,CCI,CEG
2011-12-31,WPX,CPWR
2011-12-20,TRIP,TLAB
2011-12-16,BWA,AKS
2011-12-16,PRGO,MWW
2011-12-16,DLTR,WFR
2011-12-12,GAS,GAS
2011-11-18,CBE,JNS
2011-10-31,XYL,ITT
2011-10-14,TEL,CEPH
2011-09-23,MOS,NSM
2011-07-05,ACN,MI
2011-06-30,MPC,RSH
2011-06-01,ANR,MEE
2011-04-27,CMG,NOVL
2011-04-01,BLK,GENZ
2011-03-31,EW,Q
2011-02-28,COV,MFE
2011-02-25,JOY,AYE
2010-12-17,CVC,KG
2010-12-17,FFIV,EK
2010-12-17,NFLX,ODP
2010-12-17,NFX,NYT
2010-08-26,TYC,SII
2010-07-14,CB,MIL
2010-06-30,QEP,STR
2010-06-28,KMX,XTO
2010-04-29,CERN,BJS
2010-02-26,HP,RX
2009-11-03,PCLN,SGP
2009-09-28,ARG,CBE
2009-03-03,HRL,ACAS
2009-03-03,VTR,JNY
2008-06-10,LO,ABK
2007-12-20,RRC,TRB
2007-12-13,GME,DJ
2007-10-25,JEC,AV
2007-08-24,LUK,KSE
2007-03-30,KFT,TSG
2007-01-10,AVB,SBL
2005-07-01,STZ,GLK
2003-09-25,ESRX,QTRN
2000-12-05,INTU,BS
2000-12-05,SBL,OI
2000-12-05,AYE,GRA
2000-12-05,ABK,CCK
