Symbol,From,To
MMM,1957-03-04,2020-02-04
MO,1957-03-04,2020-02-04
AEP,1957-03-04,2020-02-04
BA,1957-03-04,2020-02-04
BMY,1957-03-04,2020-02-04
CPB,1957-03-04,2020-02-04
CAT,1957-03-04,2020-02-04
CVX,1957-03-04,2020-02-04
KO,1957-03-04,2020-02-04
CL,1957-03-04,2020-02-04
COP,1957-03-04,2020-02-04
ED,1957-03-04,2020-02-04
GLW,1957-03-04,2020-02-04
CVS,1957-03-04,2020-02-04
DHI,1957-03-04,2020-02-04
DHR,1957-03-04,2020-02-04
DRI,1957-03-04,2020-02-04
DE,1957-03-04,2020-02-04
D,1957-03-04,2020-02-04
DTE,1957-03-04,2020-02-04
DD,1957-03-04,2020-02-04
ETN,1957-03-04,2020-02-04
EBAY,1957-03-04,2020-02-04
EIX,1957-03-04,2020-02-04
ETR,1957-03-04,2020-02-04
ES,1957-03-04,2020-02-04
EXC,1957-03-04,2020-02-04
XOM,1957-03-04,2020-02-04
FITB,1957-03-04,2020-02-04
FE,1957-03-04,2020-02-04
F,1957-03-04,2020-02-04
BEN,1957-03-04,2020-02-04
FCX,1957-03-04,2020-02-04
GD,1957-03-04,2020-02-04
GE,1957-03-04,2020-02-04
HAL,1957-03-04,2020-02-04
HOG,1957-03-04,2020-02-04
HIG,1957-03-04,2020-02-04
HSY,1957-03-04,2020-02-04
HUM,1957-03-04,2020-02-04
HBAN,1957-03-04,2020-02-04
IBM,1957-03-04,2020-02-04
IP,1957-03-04,2020-02-04
JNPR,1957-03-04,2020-02-04
K,1957-03-04,2020-02-04
KMB,1957-03-04,2020-02-04
KLAC,1957-03-04,2020-02-04
KSS,1957-03-04,2020-02-04
KR,1957-03-04,2020-02-04
LHX,1957-03-04,2020-02-04
LEG,1957-03-04,2020-02-04
L,1957-03-04,2020-02-04
MTB,1957-03-04,2020-02-04
M,1957-03-04,2020-02-04
MAR,1957-03-04,2020-02-04
MKC,1957-03-04,2020-02-04
MCK,1957-03-04,2020-02-04
MRK,1957-03-04,2020-02-04
MET,1957-03-04,2020-02-04
MCO,1957-03-04,2020-02-04
MS,1957-03-04,2020-02-04
MSI,1957-03-04,2020-02-04
NI,1957-03-04,2020-02-04
NSC,1957-03-04,2020-02-04
NTRS,1957-03-04,2020-02-04
OMC,1957-03-04,2020-02-04
PAYX,1957-03-04,2020-02-04
PEP,1957-03-04,2020-02-04
PFE,1957-03-04,2020-02-04
PNW,1957-03-04,2020-02-04
PPG,1957-03-04,2020-02-04
PPL,1957-03-04,2020-02-04
PG,1957-03-04,2020-02-04
PEG,1957-03-04,2020-02-04
QCOM,1957-03-04,2020-02-04
RTN,1957-03-04,2020-02-04
ROK,1957-03-04,2020-02-04
SPGI,1957-03-04,2020-02-04
SEE,1957-03-04,2020-02-04
SRE,1957-03-04,2020-02-04
SO,1957-03-04,2020-02-04
SBUX,1957-03-04,2020-02-04
STT,1957-03-04,2020-02-04
TROW,1957-03-04,2020-02-04
TPR,1957-03-04,2020-02-04
TXN,1957-03-04,2020-02-04
TMO,1957-03-04,2020-02-04
TSN,1957-03-04,2020-02-04
USB,1957-03-04,2020-02-04
UNP,1957-03-04,2020-02-04
UTX,1957-03-04,2020-02-04
VLO,1957-03-04,2020-02-04
VIAC,1957-03-04,2020-02-04
VNO,1957-03-04,2020-02-04
WM,1957-03-04,2020-02-04
WAT,1957-03-04,2020-02-04
WU,1957-03-04,2020-02-04
WRK,1957-03-04,2020-02-04
WY,1957-03-04,2020-02-04
WHR,1957-03-04,2020-02-04
XEL,1957-03-04,2020-02-04
XRX,1957-03-04,2020-02-04
ABT,1964-03-31,2020-02-04
ARNC,1964-03-31,2020-02-04
HON,1964-03-31,2020-02-04
SHW,1964-06-30,2020-02-04
CMI,1965-03-31,2020-02-04
EMR,1965-03-31,2020-02-04
SLB,1965-03-31,2020-02-04
CSX,1967-09-30,2020-02-04
CLX,1969-03-31,2020-02-04
GIS,1969-03-31,2020-02-04
NEM,1969-06-30,2020-02-04
MCD,1970-06-30,2020-02-04
LLY,1970-12-31,2020-02-04
BAX,1972-09-30,2020-02-04
BDX,1972-09-30,2020-02-04
JNJ,1973-06-30,2020-02-04
GPC,1973-12-31,2020-02-04
HPQ,1974-12-31,2020-02-04
WMB,1975-03-31,2020-02-04
JPM,1975-06-30,2020-02-04
IFF,1976-03-31,2020-02-04
AXP,1976-06-30,2020-02-04
BAC,1976-06-30,2020-02-04
CI,1976-06-30,2020-02-04
DUK,1976-06-30,2020-02-04
LNC,1976-06-30,2020-02-04
TAP,1976-06-30,2020-02-04
NEE,1976-06-30,2020-02-04
DIS,1976-06-30,2020-02-04
WFC,1976-06-30,2020-02-04
INTC,1976-12-31,2020-02-04
TGT,1976-12-31,2020-02-04
TXT,1978-12-31,2020-02-04
VFC,1979-06-30,2020-02-04
WBA,1979-12-31,2020-02-04
AIG,1980-03-31,2020-02-04
FDX,1980-12-31,2020-02-04
PCAR,1980-12-31,2020-02-04
ADP,1981-03-31,2020-02-04
GWW,1981-06-30,2020-02-04
MAS,1981-06-30,2020-02-04
ADM,1981-07-29,2020-02-04
WMT,1982-08-31,2020-02-04
SNA,1982-09-30,2020-02-04
SWK,1982-09-30,2020-02-04
BF.B,1982-10-31,2020-02-04
AAPL,1982-11-30,2020-02-04
OXY,1982-12-31,2020-02-04
CAG,1983-08-31,2020-02-04
LB,1983-09-30,2020-02-04
T,1983-11-30,2020-02-04
VZ,1983-11-30,2020-02-04
LOW,1984-02-29,2020-02-04
PHM,1984-04-30,2020-02-04
HES,1984-05-31,2020-02-04
LMT,1984-07-31,2020-02-04
HAS,1984-09-30,2020-02-04
BLL,1984-10-31,2020-02-04
APD,1985-04-30,2020-02-04
NUE,1985-04-30,2020-02-04
PKI,1985-05-31,2020-02-04
NOC,1985-06-30,2020-02-04
CNP,1985-07-31,2020-02-04
TJX,1985-09-30,2020-02-04
DOV,1985-10-31,2020-02-04
PH,1985-11-30,2020-02-04
ITW,1986-02-28,2020-02-04
GPS,1986-08-31,2020-02-04
JWN,1986-08-31,2020-02-04
MDT,1986-10-31,2020-02-04
HRB,1986-11-30,2020-02-04
SYY,1986-12-31,2020-02-04
MMC,1987-08-31,2020-02-04
AVY,1987-12-31,2020-02-04
HD,1988-03-31,2020-02-04
PNC,1988-04-30,2020-02-04
C,1988-05-31,2020-02-04
NKE,1988-11-30,2020-02-04
ECL,1989-01-31,2020-02-04
GL,1989-04-30,2020-02-04
NWL,1989-04-30,2020-02-04
ORCL,1989-08-31,2020-02-04
ADSK,1989-12-01,2020-02-04
MRO,1991-05-01,2020-02-04
AEE,1991-09-19,2020-02-04
AMGN,1992-01-02,2020-02-04
LIN,1992-07-01,2020-02-04
IPG,1992-10-01,2020-02-04
COST,1993-10-01,2020-02-04
CSCO,1993-12-01,2020-02-04
EMN,1994-01-01,2020-02-04
KEY,1994-03-01,2020-02-04
UNM,1994-03-01,2020-02-04
MSFT,1994-06-01,2020-02-04
LUV,1994-07-01,2020-02-04
UNH,1994-07-01,2020-02-04
MU,1994-09-27,2020-02-04
BSX,1995-02-24,2020-02-04
AMAT,1995-03-16,2020-02-04
BK,1995-03-31,2020-02-04
ALL,1995-07-13,2020-02-04
CMA,1995-12-01,2020-02-04
AON,1996-04-23,2020-02-04
AZO,1997-01-02,2020-02-04
ADBE,1997-05-05,2020-02-04
CAH,1997-05-27,2020-02-04
SCHW,1997-06-02,2020-02-04
EFX,1997-06-19,2020-02-04
APA,1997-07-28,2020-02-04
PGR,1997-08-04,2020-02-04
YUM,1997-10-06,2020-02-04
TFC,1997-12-04,2020-02-04
CINF,1997-12-18,2020-02-04
COF,1998-07-01,2020-02-04
RF,1998-08-28,2020-02-04
AES,1998-10-02,2020-02-04
CCL,1998-12-22,2020-02-04
CTL,1999-03-25,2020-02-04
AGN,1999-04-12,2020-02-04
CMS,1999-05-03,2020-02-04
