Date,Open,High,Low,Close,Adj Close,Volume
2014-02-21,62.671429,62.671429,61.378571,61.747143,61.747143,13483400
2014-02-24,62.209999,64.241432,61.214287,63.857143,63.857143,26043500
2014-02-25,64.285713,65.398575,63.57143,64.718575,64.718575,18700500
2014-02-26,65.128571,65.14286,63.714287,64.112854,64.112854,15010100
2014-02-27,63.977142,64.875717,63.977142,64.604286,64.604286,10304700
2014-02-28,64.732857,64.885712,63.0,63.66143,63.66143,15751400
2014-03-03,63.027142,63.67857,62.585712,63.655716,63.655716,13528200
2014-03-04,64.417145,65.0,63.655716,64.997147,64.997147,12387900
2014-03-05,64.855713,65.262856,64.558571,64.785713,64.785713,10868900
2014-03-06,64.991432,65.428574,64.141426,64.358574,64.358574,11809000
2014-03-07,64.867142,64.934288,63.644287,64.052856,64.052856,11573800
2014-03-10,64.067146,64.111427,61.728573,62.849998,62.849998,15439200
2014-03-11,63.234287,63.811428,62.235714,62.497143,62.497143,10448200
2014-03-12,61.954285,62.785713,61.382858,62.368572,62.368572,12134500
2014-03-13,62.815716,62.897144,61.182858,61.437141,61.437141,11390400
2014-03-14,61.104286,62.14143,60.42857,60.64143,60.64143,14989100
2014-03-17,61.169998,61.542858,60.330002,60.388573,60.388573,10695300
2014-03-18,60.33857,60.894287,59.5,60.035713,60.035713,14688100
2014-03-19,59.98143,60.778572,59.580002,60.012856,60.012856,10531500
2014-03-20,59.952858,61.742859,59.92857,60.610001,60.610001,14494900
2014-03-21,60.871429,61.191429,57.962856,57.998573,57.998573,26770800
2014-03-24,57.927143,58.064285,52.657143,54.128571,54.128571,42483700
2014-03-25,54.142857,54.990002,52.25,52.977142,52.977142,30356900
2014-03-26,53.287144,53.921429,52.367142,53.182858,53.182858,27152300
2014-03-27,53.001427,53.975716,51.647144,52.025715,52.025715,28672000
2014-03-28,51.459999,52.714287,50.82143,51.267143,51.267143,24699500
2014-03-31,51.644287,52.408573,49.982857,50.290001,50.290001,22125600
2014-04-01,50.25,52.17857,50.248573,52.098572,52.098572,21338800
2014-04-02,52.237144,53.007141,51.185715,51.84,51.84,24194100
2014-04-03,51.618572,52.157143,50.014286,50.669998,50.669998,21983500
2014-04-04,50.778572,50.857143,47.982857,48.187141,48.187141,34958000
2014-04-07,48.644287,49.741428,47.30143,48.285713,48.285713,37351300
2014-04-08,48.578571,50.112858,48.341427,49.841427,49.841427,25761400
2014-04-09,50.147144,50.557144,49.021427,50.432858,50.432858,20511400
2014-04-10,50.639999,51.068573,47.715714,47.818573,47.818573,24871000
2014-04-11,47.257141,47.831429,46.23,46.672855,46.672855,30146200
2014-04-14,47.555714,47.857143,46.505714,47.368572,47.368572,17994200
2014-04-15,47.011429,47.367142,44.585712,46.610001,46.610001,30799300
2014-04-16,47.292858,47.709999,46.194286,47.344284,47.344284,16114700
2014-04-17,48.10857,49.96143,47.5,49.39143,49.39143,32116000
2014-04-21,49.900002,49.914288,48.328571,49.784286,49.784286,47892600
2014-04-22,53.804287,54.41143,52.118572,53.271427,53.271427,64702400
2014-04-23,51.818573,52.5,50.42857,50.5,50.5,40285000
2014-04-24,50.357143,50.842857,47.828571,49.152859,49.152859,30639000
2014-04-25,48.208572,48.772858,46.0,46.011429,46.011429,33071500
2014-04-28,45.435715,45.842857,42.785713,44.887142,44.887142,47123300
2014-04-29,44.605713,46.375713,44.575714,45.695713,45.695713,23132900
2014-04-30,45.417141,46.057144,44.32143,46.005714,46.005714,23618700
2014-05-01,46.292858,49.384285,46.150002,48.074287,48.074287,37001300
2014-05-02,48.215714,49.128571,47.721428,48.664288,48.664288,26194700
2014-05-05,48.295715,49.354286,48.014286,49.197144,49.197144,20330800
2014-05-06,49.102856,49.674286,46.52,46.598572,46.598572,22722700
2014-05-07,46.59,46.834286,45.029999,45.791428,45.791428,25680900
2014-05-08,45.308571,47.388573,44.908573,45.951427,45.951427,21168700
2014-05-09,46.011429,47.134285,45.335712,46.935715,46.935715,17968300
2014-05-12,47.265713,49.361427,47.217144,49.349998,49.349998,21395500
2014-05-13,49.207142,50.610001,48.677143,49.591427,49.591427,20832000
2014-05-14,49.578571,50.628571,49.437141,50.26857,50.26857,19891900
2014-05-15,50.121429,50.255714,48.482857,49.169998,49.169998,23370200
2014-05-16,49.352856,49.995716,48.548573,49.982857,49.982857,19072200
2014-05-19,49.57143,52.459999,49.507141,52.07143,52.07143,25393200
2014-05-20,52.144287,53.242859,51.771427,53.095715,53.095715,28828100
2014-05-21,53.58857,55.812859,53.335712,55.799999,55.799999,39939900
2014-05-22,55.84,56.785713,55.357143,55.971428,55.971428,33222700
